model,endpoint,dataset,law_book,article,query,target,answer,score,completion_tokens,prompt_tokens,total_cost,finish_reason,time
google/gemini-2.5-flash-lite,openrouter,GPBam Laws,gg,2,gg 2,"(1) Jeder hat das Recht auf die freie Entfaltung seiner Persönlichkeit, soweit er nicht die Rechte anderer verletzt und nicht gegen die verfassungsmäßige Ordnung oder das Sittengesetz verstößt. (2) Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unverletzlich. In diese Rechte darf nur auf Grund eines Gesetzes eingegriffen werden.","Artikel 2
(1) Jeder hat das Recht auf die freie Entfaltung seiner Persönlichkeit, soweit er nicht die Rechte anderer verletzt und nicht gegen die verfassungsmäßige Ordnung oder das Sittengesetz verstößt.
(2) Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unverletzlich. In diese Eingriffe darf nur auf Grund eines Gesetzes eingegriffen werden.",0.9666666666666667,2142,77,0.0008645,stop,7.271422624588013
google/gemini-2.5-flash-lite,openrouter,GPBam Laws,gg,14,gg 14,"(1) Das Eigentum und das Erbrecht werden gewährleistet. Inhalt und Schranken werden durch die Gesetze bestimmt. (2) Eigentum verpflichtet. Sein Gebrauch soll zugleich dem Wohle der Allgemeinheit dienen. (3) Eine Enteignung ist nur zum Wohle der Allgemeinheit zulässig. Sie darf nur durch Gesetz oder auf Grund eines Gesetzes erfolgen, das Art und Ausmaß der Entschädigung regelt. Die Entschädigung ist unter gerechter Abwägung der Interessen der Allgemeinheit und der Beteiligten zu bestimmen. Wegen der Höhe der Entschädigung steht im Streitfalle der Rechtsweg vor den ordentlichen Gerichten offen.","Artikel 14 Grundgesetz

(1) Das Eigentum und das Erbrecht werden gewährleistet. Inhalt und Schranken der Eigentums können durch die Gesetze bestimmt werden.

(2) Eigentum verpflichtet. Sein Gebrauch soll zugleich dem Wohle der Allgemeinheit dienen.

(3) Eine Enteignung ist nur zum Wohle der Allgemeinheit zulässig und kann nur durch Gesetz oder auf Grund eines Gesetzes erfolgen, das Art und Ausmaß der Entschädigung regelt. Die Entschädigung ist angemessen zu bestimmen. Niemand darf wegen seiner Zugehörigkeit zu einer Volksgruppe oder eines Teils davon enteignet werden.",0.6961325966850829,439,78,0.0001834,stop,2.3323705196380615
google/gemini-2.5-flash-lite,openrouter,GPBam Laws,gg,12,gg 12,"(1) Alle Deutschen haben das Recht, Beruf, Arbeitsplatz und Ausbildungsstätte frei zu wählen. Die Berufsausübung kann durch Gesetz oder auf Grund eines Gesetzes geregelt werden. (2) Niemand darf zu einer bestimmten Arbeit gezwungen werden, außer im Rahmen einer herkömmlichen allgemeinen, für alle gleichen öffentlichen Dienstleistungspflicht. (3) Zwangsarbeit ist nur bei einer gerichtlich angeordneten Freiheitsentziehung zulässig.","Artikel 12 des Grundgesetzes (GG) lautet:

(1) Alle Deutschen genießen Freiheit der Wahl des Berufs, des Arbeitsplatzes und des Ortes der Arbeitsleistung. Die freie Wahl des Berufs kann durch Gesetz oder auf Grund eines Gesetzes für die lebensnotwendigen Aufgabengebiete der staatlichen Gemeinschaft nur solchen Deutschen entzogen werden, die die dafür erforderliche Befähigung nicht besitzen.

(2) Niemand darf zu einer bestimmten Arbeit gezwungen werden, soweit nicht dieses Grundgesetz sie allgemein für die Dauer einer rechtlich geregelten Freiheitsentziehung zulässt.

(3) Alle Arbeitsverhältnisse sind für alle gleich und ohne Unterschiede zu regeln. Frauen und Männer sind gleichberechtigt. Sie haben einen Anspruch auf gleichen Lohn für gleiche oder gleichwertige Arbeit.",0.31460674157303375,1186,78,0.0004822,stop,5.083065986633301
google/gemini-2.5-flash-lite,openrouter,GPBam Laws,gg,5,gg 5,"(1) Jeder hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten und sich aus allgemein zugänglichen Quellen ungehindert zu unterrichten. Die Pressefreiheit und die Freiheit der Berichterstattung durch Rundfunk und Film werden gewährleistet. Eine Zensur findet nicht statt. (2) Diese Rechte finden ihre Schranken in den Vorschriften der allgemeinen Gesetze, den gesetzlichen Bestimmungen zum Schutze der Jugend und in dem Recht der persönlichen Ehre. (3) Kunst und Wissenschaft, Forschung und Lehre sind frei. Die Freiheit der Lehre entbindet nicht von der Treue zur Verfassung.","Artikel 5
(1) Jeder hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten und sich aus allgemein zugänglichen Quellen ungehindert zu unterrichten. Die Pressefreiheit und die Freiheit der Berichterstattung durch Rundfunk und Film sind gewährleistet. Eine Zensur findet nicht statt.
(2) Kunst und Wissenschaft, ihre Forschung und ihre Lehre sind frei.
(3) Die Freiheit der Lehre befreit von der Treuepflicht gegen den Staat und seine Verfassung.
(4) Ein Recht zur Zensur besteht nicht.",0.7078651685393258,1751,77,0.0007081,stop,6.661272287368774
google/gemini-2.5-flash-lite,openrouter,GPBam Laws,gg,20,gg 20,"(1) Die Bundesrepublik Deutschland ist ein demokratischer und sozialer Bundesstaat. (2) Alle Staatsgewalt geht vom Volke aus. Sie wird vom Volke in Wahlen und Abstimmungen und durch besondere Organe der Gesetzgebung, der vollziehenden Gewalt und der Rechtsprechung ausgeübt. (3) Die Gesetzgebung ist an die verfassungsmäßige Ordnung, die vollziehende Gewalt und die Rechtsprechung sind an Gesetz und Recht gebunden. (4) Gegen jeden, der es unternimmt, diese Ordnung zu beseitigen, haben alle Deutschen das Recht zum Widerstand, wenn andere Abhilfe nicht möglich ist.","(1) Die Bundesrepublik Deutschland ist ein demokratischer und sozialer Bundesstaat.
(2) Alle Staatsgewalt geht vom Volke aus. Sie wird vom Volke in Wahlen und Abstimmungen und durch besondere Organe der Gesetzgebung, der vollziehenden Gewalt und der Rechtsprechung ausgeübt.
(3) Die Gesetzgebung ist an die verfassungsmäßige Ordnung, die vollziehende Gewalt und die Rechtsprechung sind an Gesetz und Recht gebunden.
(4) Gegen jeden, der es unternimmt, diese Ordnung zu beseitigen, haben alle Deutschen das Recht zum Widerstand, wenn andere Abhilfe nicht möglich ist.",1.0,494,78,0.0002054,stop,2.5254344940185547
google/gemini-2.5-flash-lite,openrouter,GPBam Laws,gg,3,gg 3,"(1) Alle Menschen sind vor dem Gesetz gleich. (2) Männer und Frauen sind gleichberechtigt. Der Staat fördert die tatsächliche Durchsetzung der Gleichberechtigung von Frauen und Männern und wirkt auf die Beseitigung bestehender Nachteile hin. (3) Niemand darf wegen seines Geschlechtes, seiner Abstammung, seiner Rasse, seiner Sprache, seiner Heimat und Herkunft, seines Glaubens, seiner religiösen oder politischen Anschauungen benachteiligt oder bevorzugt werden. Niemand darf wegen seiner Behinderung benachteiligt werden.","Artikel 3

(1) Alle Menschen sind vor dem Gesetz gleich.
(2) Männer und Frauen sind gleichberechtigt. Der Staat fördert die tatsächliche Durchsetzung der Gleichberechtigung von Frauen und Männern und wirkt auf die Beseitigung von Nachteilen hin.
(3) Niemand darf wegen seines Geschlechtes, seiner Abstammung, seiner Rasse, seiner Sprache, seiner Heimat und Herkunft, seines Glaubens, seiner religiösen oder politischen Anschauungen benachteiligt oder bevorzugt werden. Niemand darf wegen seiner Behinderung benachteiligt werden.",0.9594594594594594,805,77,0.0003297,stop,3.4611237049102783
google/gemini-2.5-flash-lite,openrouter,GPBam Laws,gg,8,gg 8,"(1) Alle Deutschen haben das Recht, sich ohne Anmeldung oder Erlaubnis friedlich und ohne Waffen zu versammeln. (2) Für Versammlungen unter freiem Himmel kann dieses Recht durch Gesetz oder auf Grund eines Gesetzes beschränkt werden.","(1) Alle Deutschen genießen Koalitionsfreiheit.
(2) Vereinigungen zur Wahrung und Förderung der Arbeits- und Wirtschaftsbedingungen sind für jedermann frei. Eine Gründung ist nur durch Gesetz oder auf Grund eines Gesetzes an diese oder andere Voraussetzungen geknüpft.",0.33333333333333337,265,77,0.0001137,stop,1.956174612045288
google/gemini-2.5-flash-lite,openrouter,GPBam Laws,gg,19,gg 19,"(1) Soweit nach diesem Grundgesetz ein Grundrecht durch Gesetz oder auf Grund eines Gesetzes eingeschränkt werden kann, muß das Gesetz allgemein und nicht nur für den Einzelfall gelten. Außerdem muß das Gesetz das Grundrecht unter Angabe des Artikels nennen. (2) In keinem Falle darf ein Grundrecht in seinem Wesensgehalt angetastet werden. (3) Die Grundrechte gelten auch für inländische juristische Personen, soweit sie ihrem Wesen nach auf diese anwendbar sind. (4) Wird jemand durch die öffentliche Gewalt in seinen Rechten verletzt, so steht ihm der Rechtsweg offen. Soweit eine andere Zuständigkeit nicht begründet ist, ist der ordentliche Rechtsweg gegeben. Artikel 10 Abs. 2 Satz 2 bleibt unberührt.","(1) Das Recht, sich vor Gerichten zu berufen, ist für jedermann gewährleistet. Soweit eine Berufung nicht nach diesem Grundgesetz oder anderen Gesetzen ausgeschlossen ist, ist sie für jedermann zugelassen.
(2) Niemand darf wegen seines Geschlechtes, seiner Abstammung, seiner Rasse, seiner Sprache, seiner Heimat und Herkunft, seines Glaubens, seiner religiösen oder politischen Anschauungen benachteiligt oder bevorzugt werden. Niemand darf wegen seiner Behinderung benachteiligt werden.
(3) Die Freiheit der Person ist gewährleistet. In diese Freiheiten darf nur auf Grund eines Gesetzes eingegriffen werden. Das Gesetz muss bestimmen, welche Eingriffe unter welchen Voraussetzungen und mit welchen Folgen zulässig sind.
(4) Die Grundrechte dürfen in ihrem Wesensgehalt nicht angetastet werden.
(5) Eine Verletzung der Grundrechte durch die öffentliche Gewalt ist nur insoweit zulässig, als sie nach diesem Grundgesetz gestattet ist.
(6) Wegen einer rechtswidrigen Tat darf außer durch Gesetz niemand über sein richterliches Urteil hinaus bestraft oder einer sonstigen Rechtsbeschränkung unterworfen werden. Die Todesstrafe ist abgeschafft.",0.18115942028985504,24836,78,0.0099422,stop,47.715489625930786
google/gemini-2.5-flash-lite,openrouter,GPBam Laws,gg,34,gg 34,"Verletzt jemand in Ausübung eines ihm anvertrauten öffentlichen Amtes die ihm einem Dritten gegenüber obliegende Amtspflicht, so trifft die Verantwortlichkeit grundsätzlich den Staat oder die Körperschaft, in deren Dienst er steht. Bei Vorsatz oder grober Fahrlässigkeit bleibt der Rückgriff vorbehalten. Für den Anspruch auf Schadensersatz und für den Rückgriff darf der ordentliche Rechtsweg nicht ausgeschlossen werden.",Juristische Personen des Privatrechts sind nach Maßgabe der übrigen Vorschriften dieses Gesetzbuches sowie der auf Grund der übrigen Vorschriften dieses Gesetzbuches erlassenen Vorschriften rechtsfähig.,0.06593406593406594,372,78,0.0001566,stop,2.0542421340942383
google/gemini-2.5-flash-lite,openrouter,GPBam Laws,gg,4,gg 4,"(1) Die Freiheit des Glaubens, des Gewissens und die Freiheit des religiösen und weltanschaulichen Bekenntnisses sind unverletzlich. (2) Die ungestörte Religionsausübung wird gewährleistet. (3) Niemand darf gegen sein Gewissen zum Kriegsdienst mit der Waffe gezwungen werden. Das Nähere regelt ein Bundesgesetz.","(1) Die Freiheit des Glaubens, des Gewissens und die Freiheit des religiösen und weltanschaulichen Bekenntnisses sind unverletzlich.
(2) Die freie Glaubensausübung ist gewährleistet und wird von der Verfassung geschützt.
(3) Niemand darf gegen sein Gewissen zu einer Kriegsdienstleistung mit Waffen gezwungen werden. Das Nähere regelt ein Bundesgesetz.",0.7755102040816326,557,77,0.0002305,stop,2.52339506149292
