model,n,dsv4_pub,dsv4_new,nano_pub,oss120,qwen_pub,ds_delta
qwen/qwen3.5-397b-a17b,81,31.728,34.321,50.123,41.296,48.951,2.593
deepseek-ai/DeepSeek-V4-Flash,81,30.875,38.148,52.16,44.136,51.975,7.273
mistralai/Mistral-Medium-3.5-128B,81,27.438,29.877,52.346,38.765,45.926,2.439
mistralai/mistral-large-2512,81,27.407,31.111,47.625,38.704,46.79,3.704
google/gemini-2.5-flash-lite,81,26.111,30.0,44.5,33.827,41.358,3.889
RedHatAI/gemma-4-31B-it-FP8-block,81,25.864,29.63,38.395,32.625,41.975,3.765
deepseek/deepseek-v3.2,81,25.679,29.63,44.815,37.037,43.086,3.951
deepseek/deepseek-r1-0528,81,24.877,28.395,43.375,33.457,39.753,3.519
openai/gpt-5-mini,81,24.753,29.012,50.125,35.802,41.358,4.259
qwen/qwen3.5-122b-a10b,81,24.691,27.123,40.123,33.58,40.37,2.432
anthropic/claude-haiku-4.5,81,23.704,26.605,45.679,36.296,39.136,2.901
Qwen/Qwen3.6-35B-A3B-FP8,81,19.259,23.58,37.407,30.37,37.778,4.321
qwen/qwen3-235b-a22b-thinking-2507,81,18.951,24.198,38.025,32.716,34.691,5.247
deepseek/deepseek-chat-v3-0324,81,18.457,21.728,35.679,25.864,31.358,3.272
qwen3-next-80b-a3b-instruct,81,18.025,23.827,40.864,33.951,34.444,5.802
meta-llama/llama-4-maverick,81,17.84,22.222,28.272,25.556,27.407,4.383
openai/gpt-oss-120b,81,17.593,21.481,49.383,36.296,29.63,3.889
openai/gpt-5-nano,81,15.432,19.012,34.444,22.284,23.21,3.58
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,81,15.062,20.0,27.654,21.852,24.815,4.938
GaleneAI/Magistral-Small-2509-FP8-Dynamic,81,14.815,20.494,28.395,23.086,25.062,5.679
openai/gpt-4o-mini-2024-07-18,81,12.654,17.531,29.012,18.272,21.728,4.877
windprak/open_steuerllm,81,12.654,16.173,24.074,16.914,21.25,3.519
meta-llama/llama-3.3-70b-instruct,81,10.432,15.556,23.375,15.556,17.778,5.123
mistralai/Ministral-3-14B-Reasoning-2512,81,8.272,10.988,10.741,9.259,6.543,2.716
qwen/qwen3-32b,81,7.778,12.84,15.679,13.704,13.457,5.062
utter-project/EuroLLM-22B-Instruct-2512,81,5.185,9.383,15.926,7.901,10.37,4.198
ibm-granite/granite-4.1-3b,81,4.444,9.136,13.21,5.802,7.654,4.691
Microsoft/Phi-4-mini-instruct,81,3.333,7.654,10.864,4.444,5.062,4.321
meta-llama/llama-3.1-8b-instruct,81,2.901,7.654,7.407,3.457,5.802,4.753
mistralai/mistral-small-3.1-24b-instruct,81,0.0,0.0,0.0,0.0,0.0,0.0
