index,model,finish_reason,prompt_tokens,time,completion_tokens,total_tokens,total_cost,kb,top_k,pipeline,context_style,score_Judge (Qwen3.6-35B-A3B-FP8),score_Judge (DeepSeek-V4-Flash)
0,Qwen/Qwen3.6-35B-A3B-FP8,stop,3852,122.21027088165285,9085,12937,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.3
1,Qwen/Qwen3.6-35B-A3B-FP8,stop,3596,89.31821084022522,6760,10356,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.2
2,Qwen/Qwen3.6-35B-A3B-FP8,stop,4622,116.67820739746094,8716,13338,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.4
3,Qwen/Qwen3.6-35B-A3B-FP8,stop,4989,122.94838690757751,9122,14111,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.2
4,Qwen/Qwen3.6-35B-A3B-FP8,stop,3486,116.98066115379332,8724,12210,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.1
5,Qwen/Qwen3.6-35B-A3B-FP8,stop,4122,134.39616298675537,9945,14067,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.3
6,Qwen/Qwen3.6-35B-A3B-FP8,stop,4236,136.7301938533783,10128,14364,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.3
7,Qwen/Qwen3.6-35B-A3B-FP8,stop,4353,128.6340262889862,9544,13897,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.6,0.2
8,Qwen/Qwen3.6-35B-A3B-FP8,stop,4461,127.45323991775513,9462,13923,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
9,Qwen/Qwen3.6-35B-A3B-FP8,stop,4832,115.77789878845216,8662,13494,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.6,0.3
10,Qwen/Qwen3.6-35B-A3B-FP8,stop,3977,122.47597551345824,8807,12784,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.2,0.2
11,Qwen/Qwen3.6-35B-A3B-FP8,stop,4147,136.5711350440979,10102,14249,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.6,0.2
12,Qwen/Qwen3.6-35B-A3B-FP8,stop,3346,104.33659410476685,7610,10956,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
13,Qwen/Qwen3.6-35B-A3B-FP8,stop,3191,109.62543892860413,8027,11218,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.2
14,Qwen/Qwen3.6-35B-A3B-FP8,stop,4735,132.67376255989075,9840,14575,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.1,0.1
15,Qwen/Qwen3.6-35B-A3B-FP8,stop,4504,147.39566707611084,11505,16009,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.2
16,Qwen/Qwen3.6-35B-A3B-FP8,stop,4326,123.01277256011964,9175,13501,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.6,0.3
17,Qwen/Qwen3.6-35B-A3B-FP8,stop,4104,127.1187813282013,9470,13574,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.1
18,Qwen/Qwen3.6-35B-A3B-FP8,stop,3621,132.91297698020935,10386,14007,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.2
19,Qwen/Qwen3.6-35B-A3B-FP8,stop,4942,110.38586688041688,8225,13167,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
20,Qwen/Qwen3.6-35B-A3B-FP8,stop,4775,104.66791200637816,8786,13561,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.2
21,Qwen/Qwen3.6-35B-A3B-FP8,stop,4586,156.5191810131073,12363,16949,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
22,Qwen/Qwen3.6-35B-A3B-FP8,stop,3918,108.44424271583556,9083,13001,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.3
23,Qwen/Qwen3.6-35B-A3B-FP8,stop,4939,126.2046082019806,9767,14706,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.2
24,Qwen/Qwen3.6-35B-A3B-FP8,stop,3516,126.68418049812315,9792,13308,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
25,Qwen/Qwen3.6-35B-A3B-FP8,stop,4255,123.34925961494446,9545,13800,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.3
26,Qwen/Qwen3.6-35B-A3B-FP8,stop,4939,123.58789539337158,9556,14495,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.1
27,Qwen/Qwen3.6-35B-A3B-FP8,stop,4305,137.11819124221802,10674,14979,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.3
28,Qwen/Qwen3.6-35B-A3B-FP8,stop,3340,92.622642993927,7801,11141,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
29,Qwen/Qwen3.6-35B-A3B-FP8,stop,3818,97.48367190361024,8182,12000,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.3
30,Qwen/Qwen3.6-35B-A3B-FP8,stop,3548,113.53465294837952,8801,12349,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.2
31,Qwen/Qwen3.6-35B-A3B-FP8,stop,4233,108.901198387146,8442,12675,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.3
32,Qwen/Qwen3.6-35B-A3B-FP8,stop,3599,88.84558129310608,6710,10309,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.6,0.3
