index,model,legal_ref_sim,refex_now
0,Qwen/Qwen3.6-35B-A3B-FP8,0.1333333333333333,0.1875
1,Qwen/Qwen3.6-35B-A3B-FP8,0.1794871794871795,0.2
2,Qwen/Qwen3.6-35B-A3B-FP8,0.2127659574468085,0.18181818181818182
3,Qwen/Qwen3.6-35B-A3B-FP8,0.1956521739130435,0.2857142857142857
4,Qwen/Qwen3.6-35B-A3B-FP8,0.1034482758620689,0.14814814814814814
5,Qwen/Qwen3.6-35B-A3B-FP8,0.1272727272727272,0.1724137931034483
6,Qwen/Qwen3.6-35B-A3B-FP8,0.1125,0.1568627450980392
7,Qwen/Qwen3.6-35B-A3B-FP8,0.2894736842105263,
8,Qwen/Qwen3.6-35B-A3B-FP8,0.087719298245614,0.2
9,Qwen/Qwen3.6-35B-A3B-FP8,0.1333333333333333,0.07142857142857142
10,Qwen/Qwen3.6-35B-A3B-FP8,0.1724137931034483,0.16666666666666666
11,Qwen/Qwen3.6-35B-A3B-FP8,0.1126760563380281,0.09090909090909091
12,Qwen/Qwen3.6-35B-A3B-FP8,0.25,0.1
13,Qwen/Qwen3.6-35B-A3B-FP8,0.0493827160493827,0.07407407407407407
14,Qwen/Qwen3.6-35B-A3B-FP8,0.078125,0.13793103448275862
15,Qwen/Qwen3.6-35B-A3B-FP8,0.1454545454545454,0.32
16,Qwen/Qwen3.6-35B-A3B-FP8,0.3142857142857143,0.2727272727272727
17,Qwen/Qwen3.6-35B-A3B-FP8,0.1481481481481481,0.16666666666666666
18,Qwen/Qwen3.6-35B-A3B-FP8,0.0142857142857142,0.02127659574468085
19,Qwen/Qwen3.6-35B-A3B-FP8,0.217391304347826,0.2608695652173913
20,Qwen/Qwen3.6-35B-A3B-FP8,0.2127659574468085,0.13333333333333333
21,Qwen/Qwen3.6-35B-A3B-FP8,0.1886792452830188,0.20833333333333334
22,Qwen/Qwen3.6-35B-A3B-FP8,0.0985915492957746,0.08571428571428572
23,Qwen/Qwen3.6-35B-A3B-FP8,0.1538461538461538,0.09523809523809523
24,Qwen/Qwen3.6-35B-A3B-FP8,0.1186440677966101,0.05263157894736842
25,Qwen/Qwen3.6-35B-A3B-FP8,0.1,0.1
26,Qwen/Qwen3.6-35B-A3B-FP8,0.0694444444444444,0.08695652173913043
27,Qwen/Qwen3.6-35B-A3B-FP8,0.0735294117647058,0.11627906976744186
28,Qwen/Qwen3.6-35B-A3B-FP8,0.0625,0.13043478260869565
29,Qwen/Qwen3.6-35B-A3B-FP8,0.5,0.35714285714285715
30,Qwen/Qwen3.6-35B-A3B-FP8,0.1481481481481481,0.058823529411764705
31,Qwen/Qwen3.6-35B-A3B-FP8,0.1272727272727272,0.0625
32,Qwen/Qwen3.6-35B-A3B-FP8,0.0933333333333333,0.10714285714285714
33,Qwen/Qwen3.6-35B-A3B-FP8,0.0909090909090909,0.125
34,Qwen/Qwen3.6-35B-A3B-FP8,0.0444444444444444,0.08
35,Qwen/Qwen3.6-35B-A3B-FP8,0.1166666666666666,0.13333333333333333
36,Qwen/Qwen3.6-35B-A3B-FP8,0.0384615384615384,0.0625
37,Qwen/Qwen3.6-35B-A3B-FP8,0.1195652173913043,0.32
38,Qwen/Qwen3.6-35B-A3B-FP8,0.0588235294117647,0.07407407407407407
39,Qwen/Qwen3.6-35B-A3B-FP8,0.24,0.25
40,Qwen/Qwen3.6-35B-A3B-FP8,0.1395348837209302,0.1590909090909091
41,Qwen/Qwen3.6-35B-A3B-FP8,0.1833333333333333,0.25
42,Qwen/Qwen3.6-35B-A3B-FP8,0.1304347826086956,0.2413793103448276
43,Qwen/Qwen3.6-35B-A3B-FP8,0.0833333333333333,0.10606060606060606
44,Qwen/Qwen3.6-35B-A3B-FP8,0.4482758620689655,0.4
45,Qwen/Qwen3.6-35B-A3B-FP8,0.0434782608695652,0.09090909090909091
46,Qwen/Qwen3.6-35B-A3B-FP8,0.1428571428571428,0.2608695652173913
47,Qwen/Qwen3.6-35B-A3B-FP8,0.125,0.12195121951219512
48,Qwen/Qwen3.6-35B-A3B-FP8,0.16,0.2857142857142857
49,Qwen/Qwen3.6-35B-A3B-FP8,0.2692307692307692,0.2571428571428571
50,Qwen/Qwen3.6-35B-A3B-FP8,0.140625,0.17073170731707318
51,Qwen/Qwen3.6-35B-A3B-FP8,0.1384615384615384,0.1875
52,Qwen/Qwen3.6-35B-A3B-FP8,0.14,0.0
53,Qwen/Qwen3.6-35B-A3B-FP8,0.0833333333333333,0.11627906976744186
54,Qwen/Qwen3.6-35B-A3B-FP8,0.12,0.14583333333333334
55,Qwen/Qwen3.6-35B-A3B-FP8,0.1666666666666666,0.2631578947368421
56,Qwen/Qwen3.6-35B-A3B-FP8,0.1351351351351351,0.1794871794871795
57,Qwen/Qwen3.6-35B-A3B-FP8,0.0909090909090909,0.0
58,Qwen/Qwen3.6-35B-A3B-FP8,0.0919540229885057,0.14893617021276595
59,Qwen/Qwen3.6-35B-A3B-FP8,0.1525423728813559,0.18518518518518517
60,Qwen/Qwen3.6-35B-A3B-FP8,0.0641025641025641,0.0967741935483871
61,Qwen/Qwen3.6-35B-A3B-FP8,0.180327868852459,0.06666666666666667
62,Qwen/Qwen3.6-35B-A3B-FP8,0.0793650793650793,0.18181818181818182
63,Qwen/Qwen3.6-35B-A3B-FP8,0.1860465116279069,0.0
64,Qwen/Qwen3.6-35B-A3B-FP8,0.073170731707317,0.14285714285714285
65,Qwen/Qwen3.6-35B-A3B-FP8,0.1159420289855072,0.06818181818181818
