model,essay,essay_sem,gpt_oss,qwen36,dsv4,judge_tok,legal_ref,ans_tok,gen_cost,legal_ref_published,cost_imputed,rec_gpbam,rec_mostcited,aa_index
anthropic/claude-opus-5,76.41975308641975,2.3459226644086266,70.12345679012346,90.49382716049382,74.32098765432099,16400.85185185185,34.25408416868087,30645.753086419754,0.7822445679012345,,True,80.40085755653949,89.96703844958249,63.0
google/gemini-3.7-flash,67.09876543209876,1.918204289693204,62.34567901234568,79.01234567901234,61.17283950617284,16499.123456790123,33.56357402989355,13509.481481481482,0.026196296296296297,,False,72.38972235671287,69.83431440481952,56.0
deepseek-ai/DeepSeek-V4-Flash-0731,43.76543209876543,1.584869781321601,41.54320987654321,53.82716049382716,37.77777777777778,15376.962962962964,22.982311246315447,10618.246913580248,0.003327988395061729,,True,42.446326021846964,39.06327746282468,52.0
qwen/qwen3.5-397b-a17b,41.48148148148148,1.4918617823053948,41.29629629629629,50.37037037037037,34.32098765432098,14809.123456790123,20.933921621065643,8489.086419753086,0.028709749320987653,19.914397747252043,False,33.382853015081444,34.37669870358016,34.0
mistralai/mistral-large-2512,37.839506172839506,1.3747566327975362,38.703703703703695,46.41975308641976,31.11111111111111,14972.111111111111,17.573900613483737,4334.049382716049,0.007455233333333333,18.563783346783353,False,48.45542509296629,50.53647685158755,16.0
mistralai/Mistral-Medium-3.5-128B,37.407407407407405,1.3919718868863804,38.76543209876543,44.81481481481482,29.876543209876537,14969.987654320988,14.423060902956747,16058.086419753086,0.12389192592592593,15.762211596034199,True,28.263363918729066,28.83961523092651,30.0
deepseek/deepseek-v3.2,36.79012345679013,1.1892932917325723,37.03703703703704,44.567901234567906,29.629629629629626,14464.95061728395,20.456062475198333,6973.506172839506,0.0032653646388888886,17.03456327036186,False,28.007828163187487,27.287344959675707,33.0
google/gemini-2.5-flash-lite,35.18518518518518,1.1929721043264006,33.827160493827165,41.9753086419753,30.0,13714.234567901234,17.073205389639085,15275.123456790123,0.006315165432098765,14.427516618804937,False,16.91371732047968,20.275276748886295,11.0
openai/gpt-5-mini,34.81481481481482,1.1668136297795084,35.80246913580247,40.617283950617285,29.01234567901235,13907.567901234568,11.606164411808814,20195.25925925926,0.040933185185185184,12.135051942181198,False,13.17886934239494,17.414028107125702,26.0
anthropic/claude-haiku-4.5,34.81481481481482,1.084559293655283,36.29629629629629,39.50617283950617,26.604938271604933,14333.469135802468,14.470402683874669,19678.074074074073,0.10161051851851852,13.653030226453952,False,15.570929742454076,16.0722263087692,30.0
deepseek/deepseek-r1-0528,33.20987654320987,1.1892932917325723,33.456790123456784,39.75308641975308,28.39506172839506,13854.222222222223,18.97761648076976,5930.753086419753,0.01404091114814815,16.874350175388376,False,23.023716305508763,22.418519422450856,20.0
qwen/qwen3.5-122b-a10b,32.96296296296296,1.184316811505147,33.58024691358024,40.98765432098765,27.123456790123463,13970.876543209877,17.0838098930707,8886.62962962963,0.021877883209876544,15.759767604447154,False,22.677154497020847,25.501489146968957,33.0
RedHatAI/gemma-4-31B-it-FP8-block,32.901234567901234,1.0717478712209063,32.625,41.60493827160494,29.629629629629626,13609.975308641975,10.083171769033383,4496.691358024691,0.0017382495061728394,10.450662921711771,True,14.478053869116833,14.30459650050418,30.0
qwen/qwen3-235b-a22b-thinking-2507,31.11111111111111,1.0971343143406387,32.71604938271605,36.54320987654321,24.19753086419753,13948.20987654321,12.165697174459728,10880.160493827161,0.021652334660493825,13.756079457609038,False,13.900805887519017,16.145974238070245,20.0
Qwen/Qwen3.6-35B-A3B-FP8,30.617283950617285,0.9991613614962128,30.37037037037037,36.91358024691358,23.58024691358025,14029.543209876543,15.235560694599965,8912.666666666666,0.00923347061728395,14.359426863029615,True,16.65751836192615,20.265089419925687,32.0
qwen3-next-80b-a3b-instruct,30.617283950617285,0.9353430580185584,33.95061728395061,34.81481481481482,23.82716049382716,14071.58024691358,12.7914481054099,5674.234567901234,0.006484683580246914,14.20833049358094,True,12.091155021592503,13.601571786687494,14.0
openai/gpt-oss-120b,29.753086419753085,0.9934245024340174,36.29629629629629,30.74074074074074,21.481481481481485,14225.641975308641,9.399725337420593,13052.456790123457,0.0022864061728395065,10.653413508125618,True,12.402445962410198,13.752257182406554,24.0
deepseek/deepseek-chat-v3-0324,26.358024691358025,0.8193848644960552,25.864197530864203,31.358024691358015,21.728395061728392,12734.456790123457,14.724252401953217,1630.5925925925926,0.002270932716049383,13.44140314391451,False,22.392195514968975,24.062277054450956,15.0
soofi-s-isar-preview,26.11111111111111,0.9128709291752768,26.48148148148148,33.08641975308642,22.34567901234568,12908.074074074075,14.394410618114136,3831.0246913580245,0.00420583061728395,,True,16.238708508832694,24.91620272954472,
meta-llama/llama-4-maverick,24.444444444444443,0.6804138174397716,25.555555555555554,27.283950617283953,22.22222222222222,12283.604938271605,12.20199791285533,1361.283950617284,0.001927834197530864,10.67980688465847,False,26.781145221236834,36.12697657547357,14.0
GaleneAI/Magistral-Small-2509-FP8-Dynamic,23.333333333333332,0.7027283689263064,23.086419753086417,26.79012345679012,20.49382716049383,12517.777777777777,10.212682040669526,1578.888888888889,,10.174591333062327,False,12.496395823577256,14.848142799060767,11.0
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,21.97530864197531,0.6191330329935719,21.85185185185185,24.567901234567906,20.0,11930.530864197532,10.66135339971012,1824.358024691358,0.0006709818672839506,9.520121636114522,True,11.857787731801286,15.762795531721668,11.0
openai/gpt-5-nano,21.48148148148148,0.6599455437483505,22.283950617283953,23.086419753086417,19.012345679012345,11972.901234567902,10.205744009810642,13120.172839506173,0.005356128395061729,10.013796470761545,False,10.410809757118514,11.76577214758807,20.0
openai/gpt-4o-mini-2024-07-18,19.506172839506174,0.6550194269077685,18.271604938271604,22.96296296296296,17.530864197530864,11185.530864197532,8.231784011164397,1251.8024691358025,0.001079524074074074,6.921742237190988,False,12.86624996175979,16.301359247090545,7.0
windprak/open_steuerllm,17.77777777777778,0.6334307917217433,16.913580246913583,20.37037037037037,16.17283950617284,11274.58024691358,8.570316800600928,1199.4814814814815,,7.480390336105924,False,15.241652128159119,17.161109416650888,
meta-llama/llama-3.3-70b-instruct,16.790123456790123,0.6292058607813337,15.555555555555555,17.530864197530864,15.555555555555555,10964.037037037036,6.632656721894913,1263.175,0.001065015,6.22208349348911,False,12.566947856259162,17.12405720976842,9.0
qwen/qwen3-32b,13.209876543209877,0.8207787722762796,13.703703703703704,12.345679012345679,12.839506172839506,10955.716049382716,5.883779436918483,4035.8518518518517,0.001809508987654321,8.537920443543332,False,9.316366411554187,9.946924432783337,11.0
utter-project/EuroLLM-22B-Instruct-2512,9.25925925925926,0.7612890663368321,7.901234567901234,10.740740740740742,9.382716049382715,9683.62962962963,3.995463523306067,1091.2962962962963,,4.5858795216383665,False,9.770312160562657,12.112355385147415,
mistralai/Ministral-3-14B-Reasoning-2512,8.765432098765432,0.7532381955941531,9.25925925925926,6.419753086419753,10.987654320987655,10399.37037037037,7.360789439675461,5375.506172839506,0.0015335382716049383,9.028082316144385,True,9.155051815192197,12.29698464929758,10.0
ibm-granite/granite-4.1-3b,7.530864197530864,0.5701111056305588,5.802469135802468,7.28395061728395,9.1358024691358,9452.222222222223,3.3186964925728217,1760.79012345679,,4.3531553725673025,False,7.743099633163821,9.72766281412,4.0
Microsoft/Phi-4-mini-instruct,5.432098765432099,0.5839780224822376,4.444444444444445,5.555555555555555,7.65432098765432,9497.25925925926,3.1343502933602956,3319.8765432098767,,4.195104052584524,False,7.37443370989908,8.460882161785818,6.0
meta-llama/llama-3.1-8b-instruct,4.814814814814815,0.6829292190587325,3.4567901234567904,5.308641975308641,7.65432098765432,8484.728395061727,2.6263704234233702,3456.2345679012346,0.00020641000000000002,3.0385006414741533,False,8.005459832216845,10.195390637185618,7.0
