model,endpoint,dataset,law_book,article,query,target,answer,score,completion_tokens,prompt_tokens,total_cost,finish_reason,time
anthropic/claude-opus-5,openrouter,GPBam Laws,gg,2,gg 2,"(1) Jeder hat das Recht auf die freie Entfaltung seiner Persönlichkeit, soweit er nicht die Rechte anderer verletzt und nicht gegen die verfassungsmäßige Ordnung oder das Sittengesetz verstößt. (2) Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unverletzlich. In diese Rechte darf nur auf Grund eines Gesetzes eingegriffen werden.","**Grundgesetz für die Bundesrepublik Deutschland – Artikel 2**

(1) Jeder hat das Recht auf die freie Entfaltung seiner Persönlichkeit, soweit er nicht die Rechte anderer verletzt und nicht gegen die verfassungsmäßige Ordnung oder das Sittengesetz verstößt.

(2) Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unverletzlich. In diese Rechte darf nur auf Grund eines Gesetzes eingegriffen werden.

---

**Einordnung:** Art. 2 GG steht im I. Abschnitt („Die Grundrechte"") und ist seit Inkrafttreten des Grundgesetzes am 23. Mai 1949 unverändert geblieben. Er unterliegt als Grundrecht der Bindungswirkung des Art. 1 Abs. 3 GG sowie – hinsichtlich seines Kerngehalts in Verbindung mit Art. 1 Abs. 1 GG – der Ewigkeitsgarantie des Art. 79 Abs. 3 GG.

Zu beachten ist ferner Art. 104 GG, der die Freiheitsgarantie des Art. 2 Abs. 2 Satz 2 GG durch besondere Verfahrensanforderungen ergänzt (Erfordernis eines formellen Gesetzes, Richtervorbehalt bei Freiheitsentziehungen).",0.5592417061611374,750,164,0.01957,stop,9.891982078552246
anthropic/claude-opus-5,openrouter,GPBam Laws,gg,14,gg 14,"(1) Das Eigentum und das Erbrecht werden gewährleistet. Inhalt und Schranken werden durch die Gesetze bestimmt. (2) Eigentum verpflichtet. Sein Gebrauch soll zugleich dem Wohle der Allgemeinheit dienen. (3) Eine Enteignung ist nur zum Wohle der Allgemeinheit zulässig. Sie darf nur durch Gesetz oder auf Grund eines Gesetzes erfolgen, das Art und Ausmaß der Entschädigung regelt. Die Entschädigung ist unter gerechter Abwägung der Interessen der Allgemeinheit und der Beteiligten zu bestimmen. Wegen der Höhe der Entschädigung steht im Streitfalle der Rechtsweg vor den ordentlichen Gerichten offen.","**Art. 14 Grundgesetz für die Bundesrepublik Deutschland**

(1) Das Eigentum und das Erbrecht werden gewährleistet. Inhalt und Schranken werden durch die Gesetze bestimmt.

(2) Eigentum verpflichtet. Sein Gebrauch soll zugleich dem Wohle der Allgemeinheit dienen.

(3) Eine Enteignung ist nur zum Wohle der Allgemeinheit zulässig. Sie darf nur durch Gesetz oder auf Grund eines Gesetzes erfolgen, das Art und Ausmaß der Entschädigung regelt. Die Entschädigung ist unter gerechter Abwägung der Interessen der Allgemeinheit und der Beteiligten zu bestimmen. Wegen der Höhe der Entschädigung steht im Streitfalle der Rechtsweg vor den ordentlichen Gerichten offen.

*Hinweis: Die Vorschrift ist seit dem Inkrafttreten des Grundgesetzes am 24. Mai 1949 unverändert geblieben (Art. 14 gehört zu den Grundrechten der Art. 1–19 GG).*",0.8378378378378378,759,164,0.019795,stop,8.588800430297852
anthropic/claude-opus-5,openrouter,GPBam Laws,gg,12,gg 12,"(1) Alle Deutschen haben das Recht, Beruf, Arbeitsplatz und Ausbildungsstätte frei zu wählen. Die Berufsausübung kann durch Gesetz oder auf Grund eines Gesetzes geregelt werden. (2) Niemand darf zu einer bestimmten Arbeit gezwungen werden, außer im Rahmen einer herkömmlichen allgemeinen, für alle gleichen öffentlichen Dienstleistungspflicht. (3) Zwangsarbeit ist nur bei einer gerichtlich angeordneten Freiheitsentziehung zulässig.","**Artikel 12 des Grundgesetzes für die Bundesrepublik Deutschland**

*(Berufsfreiheit; Verbot der Zwangsarbeit)*

**(1)** Alle Deutschen haben das Recht, Beruf, Arbeitsplatz und Ausbildungsstätte frei zu wählen. Die Berufsausübung kann durch Gesetz oder auf Grund eines Gesetzes geregelt werden.

**(2)** Niemand darf zu einer bestimmten Arbeit gezwungen werden, außer im Rahmen einer herkömmlichen allgemeinen, für alle gleichen öffentlichen Dienstleistungspflicht.

**(3)** Zwangsarbeit ist nur bei einer gerichtlich angeordneten Freiheitsentziehung zulässig.

---

*Hinweis:* Die heutige Fassung geht auf das Gesetz zur Ergänzung des Grundgesetzes vom 19. März 1956 (BGBl. I S. 111) zurück, mit dem die früheren wehrdienstbezogenen Regelungen aus Art. 12 herausgelöst und in den neu eingefügten **Art. 12a GG** (Wehr- und Dienstpflicht) überführt wurden; Art. 12a wurde durch die Notstandsverfassung vom 24. Juni 1968 (BGBl. I S. 709) neu gefasst. Art. 12 Abs. 1 unterliegt dem Zitiergebot des Art. 19 Abs. 1 Satz 2 GG nicht in Bezug auf Regelungen der Berufsausübung, da es sich um einen Regelungsvorbehalt handelt.",0.5299145299145299,927,164,0.023995,stop,11.278682231903076
anthropic/claude-opus-5,openrouter,GPBam Laws,gg,5,gg 5,"(1) Jeder hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten und sich aus allgemein zugänglichen Quellen ungehindert zu unterrichten. Die Pressefreiheit und die Freiheit der Berichterstattung durch Rundfunk und Film werden gewährleistet. Eine Zensur findet nicht statt. (2) Diese Rechte finden ihre Schranken in den Vorschriften der allgemeinen Gesetze, den gesetzlichen Bestimmungen zum Schutze der Jugend und in dem Recht der persönlichen Ehre. (3) Kunst und Wissenschaft, Forschung und Lehre sind frei. Die Freiheit der Lehre entbindet nicht von der Treue zur Verfassung.","**Grundgesetz für die Bundesrepublik Deutschland – Artikel 5**

(1) Jeder hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten und sich aus allgemein zugänglichen Quellen ungehindert zu unterrichten. Die Freiheit der Presse und die Freiheit der Berichterstattung durch Rundfunk und Film werden gewährleistet. Eine Zensur findet nicht statt.

(2) Diese Rechte finden ihre Schranken in den Vorschriften der allgemeinen Gesetze, den gesetzlichen Bestimmungen zum Schutze der Jugend und in dem Recht der persönlichen Ehre.

(3) Kunst und Wissenschaft, Forschung und Lehre sind frei. Die Freiheit der Lehre entbindet nicht von der Treue zur Verfassung.

*Hinweis: Artikel 5 ist seit Inkrafttreten des Grundgesetzes am 23. Mai 1949 unverändert geblieben.*",0.8744186046511628,712,164,0.01862,stop,7.987844228744507
anthropic/claude-opus-5,openrouter,GPBam Laws,gg,20,gg 20,"(1) Die Bundesrepublik Deutschland ist ein demokratischer und sozialer Bundesstaat. (2) Alle Staatsgewalt geht vom Volke aus. Sie wird vom Volke in Wahlen und Abstimmungen und durch besondere Organe der Gesetzgebung, der vollziehenden Gewalt und der Rechtsprechung ausgeübt. (3) Die Gesetzgebung ist an die verfassungsmäßige Ordnung, die vollziehende Gewalt und die Rechtsprechung sind an Gesetz und Recht gebunden. (4) Gegen jeden, der es unternimmt, diese Ordnung zu beseitigen, haben alle Deutschen das Recht zum Widerstand, wenn andere Abhilfe nicht möglich ist.","**Grundgesetz für die Bundesrepublik Deutschland – Artikel 20**
(Verfassungsgrundsätze; Widerstandsrecht)

**(1)** Die Bundesrepublik Deutschland ist ein demokratischer und sozialer Bundesstaat.

**(2)** Alle Staatsgewalt geht vom Volke aus. Sie wird vom Volke in Wahlen und Abstimmungen und durch besondere Organe der Gesetzgebung, der vollziehenden Gewalt und der Rechtsprechung ausgeübt.

**(3)** Die Gesetzgebung ist an die verfassungsmäßige Ordnung, die vollziehende Gewalt und die Rechtsprechung sind an Gesetz und Recht gebunden.

**(4)** Gegen jeden, der es unternimmt, diese Ordnung zu beseitigen, haben alle Deutschen das Recht zum Widerstand, wenn andere Abhilfe nicht möglich ist.

---

**Hinweise zur Fassung:**
- Absatz 4 wurde durch das Siebzehnte Gesetz zur Ergänzung des Grundgesetzes vom 24. Juni 1968 (BGBl. I S. 709) eingefügt; die Absätze 1 bis 3 gelten unverändert seit dem 23. Mai 1949.
- Artikel 20 ist über Artikel 79 Abs. 3 GG („Ewigkeitsklausel“) änderungsfest: Eine Änderung des Grundgesetzes, durch welche die in Artikel 20 niedergelegten Grundsätze berührt werden, ist unzulässig.

**Ergänzend – Artikel 20a GG** (eingefügt 1994, geändert 2002):

Der Staat schützt auch in Verantwortung für die künftigen Generationen die natürlichen Lebensgrundlagen und die Tiere im Rahmen der verfassungsmäßigen Ordnung durch die Gesetzgebung und nach Maßgabe von Gesetz und Recht durch die vollziehende Gewalt und die Rechtsprechung.",0.5544554455445544,1261,164,0.032345,stop,13.910009622573853
anthropic/claude-opus-5,openrouter,GPBam Laws,gg,3,gg 3,"(1) Alle Menschen sind vor dem Gesetz gleich. (2) Männer und Frauen sind gleichberechtigt. Der Staat fördert die tatsächliche Durchsetzung der Gleichberechtigung von Frauen und Männern und wirkt auf die Beseitigung bestehender Nachteile hin. (3) Niemand darf wegen seines Geschlechtes, seiner Abstammung, seiner Rasse, seiner Sprache, seiner Heimat und Herkunft, seines Glaubens, seiner religiösen oder politischen Anschauungen benachteiligt oder bevorzugt werden. Niemand darf wegen seiner Behinderung benachteiligt werden.","**Artikel 3 des Grundgesetzes für die Bundesrepublik Deutschland**

(1) Alle Menschen sind vor dem Gesetz gleich.

(2) Männer und Frauen sind gleichberechtigt. Der Staat fördert die tatsächliche Durchsetzung der Gleichberechtigung von Frauen und Männern und wirkt auf die Beseitigung bestehender Nachteile hin.

(3) Niemand darf wegen seines Geschlechtes, seiner Abstammung, seiner Rasse, seiner Sprache, seiner Heimat und Herkunft, seines Glaubens, seiner religiösen oder politischen Anschauungen benachteiligt oder bevorzugt werden. Niemand darf wegen seiner Behinderung benachteiligt werden.

**Hinweise zur Entstehungsgeschichte der Fassung:**
- Absatz 2 Satz 2 wurde durch das Gesetz zur Änderung des Grundgesetzes vom 27. Oktober 1994 (BGBl. I S. 3146) eingefügt.
- Absatz 3 Satz 2 (Verbot der Benachteiligung wegen Behinderung) wurde ebenfalls durch das Änderungsgesetz vom 27. Oktober 1994 angefügt.
- Artikel 3 gehört über Artikel 79 Abs. 3 GG (Ewigkeitsgarantie) insoweit zum unabänderlichen Kernbestand, als er den in Artikel 1 GG niedergelegten Grundsätzen der Menschenwürde zugeordnet ist; der Gleichheitssatz selbst ist Bestandteil der Grundrechte und nach Artikel 1 Abs. 3 GG unmittelbar geltendes Recht, das Gesetzgebung, vollziehende Gewalt und Rechtsprechung bindet.",0.5680933852140078,951,164,0.024595,stop,10.759637594223022
anthropic/claude-opus-5,openrouter,GPBam Laws,gg,8,gg 8,"(1) Alle Deutschen haben das Recht, sich ohne Anmeldung oder Erlaubnis friedlich und ohne Waffen zu versammeln. (2) Für Versammlungen unter freiem Himmel kann dieses Recht durch Gesetz oder auf Grund eines Gesetzes beschränkt werden.","**Artikel 8 des Grundgesetzes für die Bundesrepublik Deutschland**

(1) Alle Deutschen haben das Recht, sich ohne Anmeldung oder Erlaubnis friedlich und ohne Waffen zu versammeln.

(2) Für Versammlungen unter freiem Himmel kann dieses Recht durch Gesetz oder auf Grund eines Gesetzes beschränkt werden.

*Hinweis:* Artikel 8 GG ist seit Inkrafttreten des Grundgesetzes am 23. Mai 1949 unverändert geblieben; er wurde nie durch ein Änderungsgesetz berührt. Die Vorschrift steht innerhalb des Abschnitts I („Die Grundrechte“) und ist gemäß Art. 19 Abs. 4 sowie Art. 93 Abs. 1 Nr. 4a GG mit der Verfassungsbeschwerde rügefähig. Zu beachten ist ferner Art. 17a Abs. 1 GG, der für Angehörige der Streitkräfte und des Ersatzdienstes Einschränkungen zulässt.",0.4596273291925466,571,164,0.015095,stop,7.8437440395355225
anthropic/claude-opus-5,openrouter,GPBam Laws,gg,19,gg 19,"(1) Soweit nach diesem Grundgesetz ein Grundrecht durch Gesetz oder auf Grund eines Gesetzes eingeschränkt werden kann, muß das Gesetz allgemein und nicht nur für den Einzelfall gelten. Außerdem muß das Gesetz das Grundrecht unter Angabe des Artikels nennen. (2) In keinem Falle darf ein Grundrecht in seinem Wesensgehalt angetastet werden. (3) Die Grundrechte gelten auch für inländische juristische Personen, soweit sie ihrem Wesen nach auf diese anwendbar sind. (4) Wird jemand durch die öffentliche Gewalt in seinen Rechten verletzt, so steht ihm der Rechtsweg offen. Soweit eine andere Zuständigkeit nicht begründet ist, ist der ordentliche Rechtsweg gegeben. Artikel 10 Abs. 2 Satz 2 bleibt unberührt.","**Grundgesetz für die Bundesrepublik Deutschland – Artikel 19**
*(Einschränkung von Grundrechten – Wesensgehaltsgarantie – Rechtsweg)*

**(1)** Soweit nach diesem Grundgesetz ein Grundrecht durch Gesetz oder auf Grund eines Gesetzes eingeschränkt werden kann, muß das Gesetz allgemein gelten und nicht nur für den einzelnen Fall. Außerdem muß das Gesetz das Grundrecht unter Angabe des Artikels nennen.

**(2)** In keinem Falle darf ein Grundrecht in seinem Wesensgehalt angetastet werden.

**(3)** Die Grundrechte gelten auch für inländische juristische Personen, soweit sie ihrem Wesen nach auf diese anwendbar sind.

**(4)** Wird jemand durch die öffentliche Gewalt in seinen Rechten verletzt, so steht ihm der Rechtsweg offen. Soweit eine andere Zuständigkeit nicht begründet ist, ist der ordentliche Rechtsweg gegeben. Artikel 10 Abs. 2 Satz 2 bleibt unberührt.

---

**Hinweise zur Fassung:** Absatz 4 Satz 3 wurde durch das Siebzehnte Gesetz zur Ergänzung des Grundgesetzes vom 24. Juni 1968 (BGBl. I S. 709) angefügt. Die übrigen Absätze entsprechen unverändert der Ursprungsfassung vom 23. Mai 1949.",0.7915194346289753,973,164,0.025145,stop,11.470394372940063
anthropic/claude-opus-5,openrouter,GPBam Laws,gg,34,gg 34,"Verletzt jemand in Ausübung eines ihm anvertrauten öffentlichen Amtes die ihm einem Dritten gegenüber obliegende Amtspflicht, so trifft die Verantwortlichkeit grundsätzlich den Staat oder die Körperschaft, in deren Dienst er steht. Bei Vorsatz oder grober Fahrlässigkeit bleibt der Rückgriff vorbehalten. Für den Anspruch auf Schadensersatz und für den Rückgriff darf der ordentliche Rechtsweg nicht ausgeschlossen werden.","**Grundgesetz für die Bundesrepublik Deutschland – Artikel 34** [Haftung bei Amtspflichtverletzung]

„Verletzt jemand in Ausübung eines öffentlichen Amtes die ihm einem Dritten gegenüber obliegende Amtspflicht, so trifft die Verantwortlichkeit grundsätzlich den Staat oder die Körperschaft, in deren Dienst er steht. Bei Vorsatz oder grober Fahrlässigkeit bleibt der Rückgriff vorbehalten. Für den Anspruch auf Schadensersatz und für den Rückgriff darf der ordentliche Rechtsweg nicht ausgeschlossen werden.""

**Hinweise zur Vorschrift:**

- Art. 34 GG besteht aus einem einzigen, nicht in Absätze gegliederten Satzgefüge (drei Sätze). Die Vorschrift ist seit Inkrafttreten des Grundgesetzes am 23./24. Mai 1949 unverändert geblieben; sie wurde durch keine der bisherigen Grundgesetzänderungen berührt.
- Sie steht im Abschnitt II des Grundgesetzes („Der Bund und die Länder"", Art. 20–37).
- Systematisch knüpft Art. 34 GG an § 839 BGB an: § 839 BGB begründet die persönliche Haftung des Beamten für Amtspflichtverletzungen, Art. 34 GG leitet diese Haftung („befreiende Haftungsübernahme"") auf den Staat bzw. die jeweilige Anstellungskörperschaft über. Beide Normen zusammen bilden die Grundlage des sogenannten Amtshaftungsanspruchs.
- Satz 2 eröffnet den Rückgriff (Regress) gegen den Amtsträger bei Vorsatz oder grober Fahrlässigkeit; die Einzelheiten regeln die Beamtengesetze (z. B. § 75 BBG, § 48 BeamtStG) sowie für Soldaten § 24 SG.
- Satz 3 enthält eine Rechtsweggarantie: Für Schadensersatz- und Rückgriffsansprüche ist der ordentliche Rechtsweg (Zivilgerichte, vgl. § 71 Abs. 2 Nr. 2 GVG) eröffnet und darf nicht ausgeschlossen werden.

*Ergänzend, falls „34"" auf eine andere Vorschrift zielen sollte:* § 34 StGB (Rechtfertigender Notstand) lautet: „Wer in einer gegenwärtigen, nicht anders abwendbaren Gefahr für Leben, Leib, Freiheit, Ehre, Eigentum oder ein anderes Rechtsgut eine Tat begeht, um die Gefahr von sich oder einem anderen abzuwenden, handelt nicht rechtswidrig, wenn bei Abwägung der widerstreitenden Interessen, namentlich der betroffenen Rechtsgüter und des Grades der ihnen drohenden Gefahren, das geschützte Interesse das beeinträchtigte wesentlich überwiegt. Dies gilt jedoch nur, soweit die Tat ein angemessenes Mittel ist, die Gefahr abzuwenden.""",0.3080684596577017,1505,164,0.038445,stop,19.125370502471924
anthropic/claude-opus-5,openrouter,GPBam Laws,gg,4,gg 4,"(1) Die Freiheit des Glaubens, des Gewissens und die Freiheit des religiösen und weltanschaulichen Bekenntnisses sind unverletzlich. (2) Die ungestörte Religionsausübung wird gewährleistet. (3) Niemand darf gegen sein Gewissen zum Kriegsdienst mit der Waffe gezwungen werden. Das Nähere regelt ein Bundesgesetz.","**Grundgesetz für die Bundesrepublik Deutschland
Artikel 4**

(1) Die Freiheit des Glaubens, des Gewissens und die Freiheit des religiösen und weltanschaulichen Bekenntnisses sind unverletzlich.

(2) Die ungestörte Religionsausübung wird gewährleistet.

(3) Niemand darf gegen sein Gewissen zum Kriegsdienst mit der Waffe gezwungen werden. Das Nähere regelt ein Bundesgesetz.

*Hinweis: Artikel 4 gehört zu den Grundrechten (Abschnitt I des Grundgesetzes) und ist seit Verkündung des Grundgesetzes am 23. Mai 1949 unverändert in Kraft. Er ist gemäß Art. 1 Abs. 3 GG unmittelbar geltendes Recht und bindet Gesetzgebung, vollziehende Gewalt und Rechtsprechung. Das in Abs. 3 Satz 2 genannte Bundesgesetz ist das Kriegsdienstverweigerungsgesetz (KDVG); die Wehrpflicht selbst ist seit 2011 ausgesetzt.*",0.5609756097560975,621,164,0.016345,stop,8.649804830551147
