index,model,finish_reason,prompt_tokens,time,completion_tokens,total_tokens,total_cost,kb,top_k,pipeline,context_style
0,RedHatAI/gemma-4-31B-it-FP8-block,stop,3904,772.0756316184998,3940,7844,,./my_knowledge_base_bayern_titled,10,ls_text,plain
1,RedHatAI/gemma-4-31B-it-FP8-block,stop,3678,786.9807541370392,4283,7961,,./my_knowledge_base_bayern_titled,10,ls_text,plain
2,RedHatAI/gemma-4-31B-it-FP8-block,stop,4699,796.196905374527,4477,9176,,./my_knowledge_base_bayern_titled,10,ls_text,plain
3,RedHatAI/gemma-4-31B-it-FP8-block,stop,5049,765.8907482624054,3798,8847,,./my_knowledge_base_bayern_titled,10,ls_text,plain
4,RedHatAI/gemma-4-31B-it-FP8-block,stop,3536,601.9727709293365,3997,7533,,./my_knowledge_base_bayern_titled,10,ls_text,plain
5,RedHatAI/gemma-4-31B-it-FP8-block,stop,4157,792.2863008975983,4394,8551,,./my_knowledge_base_bayern_titled,10,ls_text,plain
6,RedHatAI/gemma-4-31B-it-FP8-block,stop,4257,818.6554145812988,4991,9248,,./my_knowledge_base_bayern_titled,10,ls_text,plain
7,RedHatAI/gemma-4-31B-it-FP8-block,stop,4366,601.9054391384125,3816,8182,,./my_knowledge_base_bayern_titled,10,ls_text,plain
8,RedHatAI/gemma-4-31B-it-FP8-block,stop,4502,776.0575015544891,4027,8529,,./my_knowledge_base_bayern_titled,10,ls_text,plain
9,RedHatAI/gemma-4-31B-it-FP8-block,stop,4893,816.8359432220459,4958,9851,,./my_knowledge_base_bayern_titled,10,ls_text,plain
10,RedHatAI/gemma-4-31B-it-FP8-block,stop,4020,216.71313190460205,4992,9012,,./my_knowledge_base_bayern_titled,10,ls_text,plain
11,RedHatAI/gemma-4-31B-it-FP8-block,stop,4161,218.2724792957306,5017,9178,,./my_knowledge_base_bayern_titled,10,ls_text,plain
12,RedHatAI/gemma-4-31B-it-FP8-block,stop,3378,155.5497899055481,3957,7335,,./my_knowledge_base_bayern_titled,10,ls_text,plain
13,RedHatAI/gemma-4-31B-it-FP8-block,stop,3231,170.9400134086609,4730,7961,,./my_knowledge_base_bayern_titled,10,ls_text,plain
14,RedHatAI/gemma-4-31B-it-FP8-block,stop,4764,172.3132839202881,4869,9633,,./my_knowledge_base_bayern_titled,10,ls_text,plain
15,RedHatAI/gemma-4-31B-it-FP8-block,stop,4589,162.95567989349365,4686,9275,,./my_knowledge_base_bayern_titled,10,ls_text,plain
16,RedHatAI/gemma-4-31B-it-FP8-block,stop,4384,166.54941058158875,4957,9341,,./my_knowledge_base_bayern_titled,10,ls_text,plain
17,RedHatAI/gemma-4-31B-it-FP8-block,stop,4178,159.37206053733826,4728,8906,,./my_knowledge_base_bayern_titled,10,ls_text,plain
18,RedHatAI/gemma-4-31B-it-FP8-block,stop,3680,145.6121847629547,4558,8238,,./my_knowledge_base_bayern_titled,10,ls_text,plain
19,RedHatAI/gemma-4-31B-it-FP8-block,stop,4945,149.64418864250183,4795,9740,,./my_knowledge_base_bayern_titled,10,ls_text,plain
20,RedHatAI/gemma-4-31B-it-FP8-block,stop,4823,172.08792066574097,4434,9257,,./my_knowledge_base_bayern_titled,10,ls_text,plain
21,RedHatAI/gemma-4-31B-it-FP8-block,stop,4664,202.11627554893494,5091,9755,,./my_knowledge_base_bayern_titled,10,ls_text,plain
22,RedHatAI/gemma-4-31B-it-FP8-block,stop,3948,183.2674458026886,4671,8619,,./my_knowledge_base_bayern_titled,10,ls_text,plain
23,RedHatAI/gemma-4-31B-it-FP8-block,stop,5035,174.6693468093872,4481,9516,,./my_knowledge_base_bayern_titled,10,ls_text,plain
24,RedHatAI/gemma-4-31B-it-FP8-block,stop,3564,142.7870364189148,3739,7303,,./my_knowledge_base_bayern_titled,10,ls_text,plain
25,RedHatAI/gemma-4-31B-it-FP8-block,stop,4327,183.17712569236755,4672,8999,,./my_knowledge_base_bayern_titled,10,ls_text,plain
26,RedHatAI/gemma-4-31B-it-FP8-block,stop,4956,195.93972969055176,4952,9908,,./my_knowledge_base_bayern_titled,10,ls_text,plain
27,RedHatAI/gemma-4-31B-it-FP8-block,stop,4400,165.06162238121033,4273,8673,,./my_knowledge_base_bayern_titled,10,ls_text,plain
28,RedHatAI/gemma-4-31B-it-FP8-block,stop,3379,138.68822836875916,3647,7026,,./my_knowledge_base_bayern_titled,10,ls_text,plain
29,RedHatAI/gemma-4-31B-it-FP8-block,stop,3857,133.24912786483765,3518,7375,,./my_knowledge_base_bayern_titled,10,ls_text,plain
30,RedHatAI/gemma-4-31B-it-FP8-block,stop,3562,158.21150493621826,3980,7542,,./my_knowledge_base_bayern_titled,10,ls_text,plain
31,RedHatAI/gemma-4-31B-it-FP8-block,stop,4298,167.82262778282166,4231,8529,,./my_knowledge_base_bayern_titled,10,ls_text,plain
32,RedHatAI/gemma-4-31B-it-FP8-block,stop,3639,195.6258988380432,4931,8570,,./my_knowledge_base_bayern_titled,10,ls_text,plain
33,RedHatAI/gemma-4-31B-it-FP8-block,stop,3221,177.72143077850342,4578,7799,,./my_knowledge_base_bayern_titled,10,ls_text,plain
34,RedHatAI/gemma-4-31B-it-FP8-block,stop,4707,193.1701922416687,5384,10091,,./my_knowledge_base_bayern_titled,10,ls_text,plain
35,RedHatAI/gemma-4-31B-it-FP8-block,stop,5050,172.43128633499146,4535,9585,,./my_knowledge_base_bayern_titled,10,ls_text,plain
36,RedHatAI/gemma-4-31B-it-FP8-block,stop,3959,183.9098036289215,5211,9170,,./my_knowledge_base_bayern_titled,10,ls_text,plain
37,RedHatAI/gemma-4-31B-it-FP8-block,stop,4171,174.5521342754364,4821,8992,,./my_knowledge_base_bayern_titled,10,ls_text,plain
38,RedHatAI/gemma-4-31B-it-FP8-block,stop,4712,177.53367495536804,5233,9945,,./my_knowledge_base_bayern_titled,10,ls_text,plain
39,RedHatAI/gemma-4-31B-it-FP8-block,stop,4542,172.08976483345032,5133,9675,,./my_knowledge_base_bayern_titled,10,ls_text,plain
40,RedHatAI/gemma-4-31B-it-FP8-block,stop,4653,202.32834005355835,5100,9753,,./my_knowledge_base_bayern_titled,10,ls_text,plain
41,RedHatAI/gemma-4-31B-it-FP8-block,stop,4558,176.55319499969482,4497,9055,,./my_knowledge_base_bayern_titled,10,ls_text,plain
42,RedHatAI/gemma-4-31B-it-FP8-block,stop,4229,150.7289400100708,3925,8154,,./my_knowledge_base_bayern_titled,10,ls_text,plain
43,RedHatAI/gemma-4-31B-it-FP8-block,stop,3615,226.14619255065918,5622,9237,,./my_knowledge_base_bayern_titled,10,ls_text,plain
44,RedHatAI/gemma-4-31B-it-FP8-block,stop,4175,154.48110055923462,4003,8178,,./my_knowledge_base_bayern_titled,10,ls_text,plain
45,RedHatAI/gemma-4-31B-it-FP8-block,stop,4631,204.23884987831116,5136,9767,,./my_knowledge_base_bayern_titled,10,ls_text,plain
46,RedHatAI/gemma-4-31B-it-FP8-block,stop,5181,164.82575368881226,4238,9419,,./my_knowledge_base_bayern_titled,10,ls_text,plain
47,RedHatAI/gemma-4-31B-it-FP8-block,stop,4549,226.2350857257843,5623,10172,,./my_knowledge_base_bayern_titled,10,ls_text,plain
48,RedHatAI/gemma-4-31B-it-FP8-block,stop,4503,210.08664512634277,5262,9765,,./my_knowledge_base_bayern_titled,10,ls_text,plain
49,RedHatAI/gemma-4-31B-it-FP8-block,stop,4421,171.0691316127777,4376,8797,,./my_knowledge_base_bayern_titled,10,ls_text,plain
50,RedHatAI/gemma-4-31B-it-FP8-block,stop,4380,196.77895069122314,4682,9062,,./my_knowledge_base_bayern_titled,10,ls_text,plain
51,RedHatAI/gemma-4-31B-it-FP8-block,stop,5555,219.34787607192993,5233,10788,,./my_knowledge_base_bayern_titled,10,ls_text,plain
52,RedHatAI/gemma-4-31B-it-FP8-block,stop,5165,197.14178943634033,4703,9868,,./my_knowledge_base_bayern_titled,10,ls_text,plain
53,RedHatAI/gemma-4-31B-it-FP8-block,stop,4616,201.22399854660034,4798,9414,,./my_knowledge_base_bayern_titled,10,ls_text,plain
54,RedHatAI/gemma-4-31B-it-FP8-block,stop,4329,201.33302354812622,4916,9245,,./my_knowledge_base_bayern_titled,10,ls_text,plain
55,RedHatAI/gemma-4-31B-it-FP8-block,stop,4066,183.0611252784729,4633,8699,,./my_knowledge_base_bayern_titled,10,ls_text,plain
56,RedHatAI/gemma-4-31B-it-FP8-block,stop,4285,177.42204666137695,4437,8722,,./my_knowledge_base_bayern_titled,10,ls_text,plain
57,RedHatAI/gemma-4-31B-it-FP8-block,stop,4200,179.5381944179535,4660,8860,,./my_knowledge_base_bayern_titled,10,ls_text,plain
58,RedHatAI/gemma-4-31B-it-FP8-block,stop,4791,174.65198874473572,4816,9607,,./my_knowledge_base_bayern_titled,10,ls_text,plain
59,RedHatAI/gemma-4-31B-it-FP8-block,stop,4315,167.19670295715332,4469,8784,,./my_knowledge_base_bayern_titled,10,ls_text,plain
60,RedHatAI/gemma-4-31B-it-FP8-block,stop,5257,872.3765151500702,5396,10653,,./my_knowledge_base_bayern_titled,10,ls_text,plain
61,RedHatAI/gemma-4-31B-it-FP8-block,stop,3922,845.1295821666718,4834,8756,,./my_knowledge_base_bayern_titled,10,ls_text,plain
62,RedHatAI/gemma-4-31B-it-FP8-block,stop,5474,851.5732672214508,4967,10441,,./my_knowledge_base_bayern_titled,10,ls_text,plain
63,RedHatAI/gemma-4-31B-it-FP8-block,stop,5866,170.6942744255066,4225,10091,,./my_knowledge_base_bayern_titled,10,ls_text,plain
64,RedHatAI/gemma-4-31B-it-FP8-block,stop,4109,168.92775416374207,4191,8300,,./my_knowledge_base_bayern_titled,10,ls_text,plain
65,RedHatAI/gemma-4-31B-it-FP8-block,stop,4367,601.6165988445282,4886,9253,,./my_knowledge_base_bayern_titled,10,ls_text,plain
66,RedHatAI/gemma-4-31B-it-FP8-block,stop,3343,824.118670463562,4374,7717,,./my_knowledge_base_bayern_titled,10,ls_text,plain
67,RedHatAI/gemma-4-31B-it-FP8-block,stop,4356,864.8918452262878,5238,9594,,./my_knowledge_base_bayern_titled,10,ls_text,plain
68,RedHatAI/gemma-4-31B-it-FP8-block,stop,4872,184.36933016777039,4529,9401,,./my_knowledge_base_bayern_titled,10,ls_text,plain
69,RedHatAI/gemma-4-31B-it-FP8-block,stop,4346,166.47095561027527,4147,8493,,./my_knowledge_base_bayern_titled,10,ls_text,plain
70,RedHatAI/gemma-4-31B-it-FP8-block,stop,4377,819.8354914188385,5359,9736,,./my_knowledge_base_bayern_titled,10,ls_text,plain
71,RedHatAI/gemma-4-31B-it-FP8-block,stop,3993,797.0676159858704,4525,8518,,./my_knowledge_base_bayern_titled,10,ls_text,plain
