gen,cond,cond_label,score,score_debiased,delta,rank,rank_debiased,relation
GaleneAI/Magistral-Small-2509-FP8-Dynamic,no_rag,No RAG,23.333333333333332,23.333333333333332,0.0,19,19,
Microsoft/Phi-4-mini-instruct,no_rag,No RAG,5.432098765432099,5.432098765432099,0.0,29,29,
Qwen/Qwen3.6-35B-A3B-FP8,no_rag,No RAG,30.617283950617285,28.271604938271604,-2.3456790123456805,14,15,self
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,no_rag,No RAG,21.97530864197531,21.97530864197531,0.0,20,20,
RedHatAI/gemma-4-31B-it-FP8-block,no_rag,No RAG,32.901234567901234,32.901234567901234,0.0,12,12,
anthropic/claude-haiku-4.5,no_rag,No RAG,34.81481481481482,34.81481481481482,0.0,8,8,
deepseek-ai/DeepSeek-V4-Flash,no_rag,No RAG,44.44444444444444,42.77777777777778,-1.6666666666666643,1,1,family*
deepseek-ai/DeepSeek-V4-Flash-0731,no_rag,No RAG,43.76543209876543,41.04938271604938,-2.716049382716051,2,2,self
deepseek/deepseek-chat-v3-0324,no_rag,No RAG,26.358024691358025,26.358024691358025,0.0,17,17,vendor
deepseek/deepseek-r1-0528,no_rag,No RAG,33.20987654320987,32.96296296296296,-0.24691358024691112,10,10,vendor
deepseek/deepseek-v3.2,no_rag,No RAG,36.79012345679013,36.666666666666664,-0.12345679012346267,6,6,vendor
google/gemini-2.5-flash-lite,no_rag,No RAG,35.18518518518518,35.18518518518518,0.0,7,7,
ibm-granite/granite-4.1-3b,no_rag,No RAG,7.530864197530864,7.530864197530864,0.0,28,28,
meta-llama/llama-3.1-8b-instruct,no_rag,No RAG,4.814814814814815,4.814814814814815,0.0,30,30,
meta-llama/llama-3.3-70b-instruct,no_rag,No RAG,16.790123456790123,16.790123456790123,0.0,24,24,
meta-llama/llama-4-maverick,no_rag,No RAG,24.444444444444443,24.444444444444443,0.0,18,18,
mistralai/Ministral-3-14B-Reasoning-2512,no_rag,No RAG,8.765432098765432,8.765432098765432,0.0,27,27,
mistralai/Mistral-Medium-3.5-128B,no_rag,No RAG,37.407407407407405,37.407407407407405,0.0,5,5,
mistralai/mistral-large-2512,no_rag,No RAG,37.839506172839506,37.839506172839506,0.0,4,4,
mistralai/mistral-small-3.1-24b-instruct,no_rag,No RAG,0.0,0.0,0.0,31,31,
openai/gpt-4o-mini-2024-07-18,no_rag,No RAG,19.506172839506174,19.506172839506174,0.0,22,22,vendor
openai/gpt-5-mini,no_rag,No RAG,34.81481481481482,34.81481481481482,0.0,8,8,vendor
openai/gpt-5-nano,no_rag,No RAG,21.48148148148148,21.48148148148148,0.0,21,21,vendor
openai/gpt-oss-120b,no_rag,No RAG,29.753086419753085,28.14814814814815,-1.6049382716049365,16,16,self
qwen/qwen3-235b-a22b-thinking-2507,no_rag,No RAG,31.11111111111111,31.11111111111111,0.0,13,13,vendor
qwen/qwen3-32b,no_rag,No RAG,13.209876543209877,13.209876543209877,0.0,25,25,vendor
qwen/qwen3.5-122b-a10b,no_rag,No RAG,32.96296296296296,32.96296296296296,0.0,11,10,vendor
qwen/qwen3.5-397b-a17b,no_rag,No RAG,41.48148148148148,40.864197530864196,-0.6172839506172849,3,3,vendor
qwen3-next-80b-a3b-instruct,no_rag,No RAG,30.617283950617285,30.617283950617285,0.0,14,14,vendor
utter-project/EuroLLM-22B-Instruct-2512,no_rag,No RAG,9.25925925925926,9.25925925925926,0.0,26,26,
windprak/open_steuerllm,no_rag,No RAG,17.77777777777778,17.77777777777778,0.0,23,23,
