model,score_gpbam,score_cited
claude-opus-5,80.4008575565395,89.96703844958249
mistral-large-2512,48.45542509296629,50.53647685158755
DeepSeek-V4-Flash-0731,42.44632602184697,39.06327746282468
DeepSeek-V4-Flash,33.68688518467759,36.91870298960093
qwen3.5-397b-a17b,33.382853015081444,34.37669870358016
Mistral-Medium-3.5-128B,28.263363918729073,28.839615230926515
deepseek-v3.2,28.007828163187483,27.28734495967571
llama-4-maverick,26.781145221236837,36.12697657547357
deepseek-r1-0528,23.023716305508763,22.41851942245086
qwen3.5-122b-a10b,22.67715449702085,25.50148914696896
deepseek-chat-v3-0324,22.392195514968975,24.062277054450956
gemini-2.5-flash-lite,16.913717320479677,20.2752767488863
qwen3.6-35b-a3b,16.65751836192615,20.265089419925683
claude-haiku-4.5,15.570929742454076,16.0722263087692
open_steuerllm,15.241652128159117,17.161109416650888
gemma-4-31B-it-FP8-block,14.478053869116836,14.30459650050418
qwen3-235b-a22b-thinking-2507,13.900805887519018,16.145974238070245
gpt-5-mini,13.178869342394938,17.414028107125706
gpt-4o-mini-2024-07-18,12.86624996175979,16.30135924709054
llama-3.3-70b-instruct,12.566947856259162,17.124057209768424
Magistral-Small-2509-FP8-Dynamic,12.496395823577254,14.848142799060767
gpt-oss-120b,12.402445962410194,13.752257182406556
qwen3-next-80b-a3b-instruct,12.091155021592504,13.601571786687494
Mistral-Small-3.2-24B-Instruct-2506-FP8,11.857787731801288,15.762795531721668
gpt-5-nano,10.410809757118516,11.765772147588068
EuroLLM-22B-Instruct-2512,9.770312160562657,12.112355385147414
qwen3-32b,9.316366411554187,9.946924432783337
Ministral-3-14B-Reasoning-2512,9.155051815192197,12.296984649297578
llama-3.1-8b-instruct,8.005459832216845,10.195390637185618
granite-4.1-3b,7.743099633163819,9.72766281412
Phi-4-mini-instruct,7.374433709899079,8.460882161785817
