model,short,relation,essay,essay_sem,debiased,delta,gpt_oss,qwen36,dsv4,judge_mid,dev_gpt_oss,dev_qwen36,dev_dsv4,legal_ref,rec_gpbam,rec_mostcited,aa_index,open_weights
anthropic/claude-opus-5,Claude-opus-5,,76.41975308641975,2.345922664408626,76.41975308641975,0.0,70.12345679012346,90.49382716049382,74.32098765432099,74.32098765432099,-4.197530864197532,16.172839506172835,0.0,34.25408416868087,80.40085755653949,89.96703844958249,63.0,False
google/gemini-3.7-flash,Gemini-3.7-flash,,67.09876543209876,1.918204289693204,67.09876543209876,0.0,62.34567901234568,79.01234567901234,61.17283950617284,62.34567901234568,0.0,16.666666666666664,-1.172839506172835,33.56357402989355,72.38972235671287,69.83431440481952,56.0,False
deepseek-ai/DeepSeek-V4-Flash-0731,DeepSeek-V4-Flash,self,43.76543209876543,1.584869781321601,41.04938271604938,-2.716049382716051,41.54320987654321,53.82716049382716,37.77777777777778,41.54320987654321,0.0,12.28395061728395,-3.76543209876543,22.982311246315447,42.44632602184696,39.06327746282468,52.0,True
qwen/qwen3.5-397b-a17b,Qwen3.5-397b,vendor,41.48148148148148,1.4918617823053948,40.8641975308642,-0.6172839506172778,41.29629629629629,50.37037037037037,34.32098765432098,41.29629629629629,0.0,9.074074074074076,-6.97530864197531,20.933921621065643,33.382853015081444,34.37669870358016,34.0,True
mistralai/mistral-large-2512,Mistral-L,,37.83950617283951,1.3747566327975362,37.83950617283951,0.0,38.703703703703695,46.41975308641976,31.11111111111111,38.703703703703695,0.0,7.716049382716065,-7.592592592592585,17.573900613483737,48.45542509296629,50.53647685158755,16.0,True
mistralai/Mistral-Medium-3.5-128B,Mistral-M-3.5-128B,,37.407407407407405,1.3919718868863804,37.407407407407405,0.0,38.76543209876543,44.81481481481482,29.876543209876537,38.76543209876543,0.0,6.0493827160493865,-8.888888888888893,14.423060902956747,28.263363918729063,28.83961523092651,30.0,True
deepseek/deepseek-v3.2,DeepSeek-v3.2,vendor,36.79012345679013,1.1892932917325725,36.66666666666666,-0.12345679012346977,37.03703703703704,44.56790123456791,29.629629629629623,37.03703703703704,0.0,7.5308641975308745,-7.407407407407415,20.456062475198333,28.007828163187487,27.287344959675707,33.0,True
google/gemini-2.5-flash-lite,Gemini-2.5-flash-lite,,35.18518518518518,1.1929721043264006,35.18518518518518,0.0,33.827160493827165,41.9753086419753,30.0,33.827160493827165,0.0,8.148148148148138,-3.827160493827165,17.073205389639085,16.91371732047968,20.27527674888629,11.0,False
openai/gpt-5-mini,GPT-5-mini,vendor,34.81481481481482,1.1668136297795084,34.81481481481482,0.0,35.80246913580247,40.617283950617285,29.01234567901235,35.80246913580247,0.0,4.814814814814817,-6.79012345679012,11.606164411808814,13.17886934239494,17.414028107125702,26.0,False
anthropic/claude-haiku-4.5,Claude-haiku-4.5,,34.81481481481482,1.084559293655283,34.81481481481482,0.0,36.29629629629629,39.50617283950617,26.604938271604933,36.29629629629629,0.0,3.20987654320988,-9.691358024691358,14.470402683874669,15.570929742454076,16.0722263087692,30.0,False
deepseek/deepseek-r1-0528,DeepSeek-r1,vendor,33.20987654320987,1.1892932917325725,32.96296296296296,-0.24691358024691112,33.456790123456784,39.75308641975308,28.39506172839506,33.456790123456784,0.0,6.296296296296298,-5.061728395061724,18.97761648076976,23.023716305508763,22.418519422450856,20.0,True
qwen/qwen3.5-122b-a10b,Qwen3.5-122b,vendor,32.96296296296296,1.184316811505147,32.96296296296296,0.0,33.58024691358024,40.98765432098765,27.123456790123463,33.58024691358024,0.0,7.407407407407412,-6.456790123456777,17.0838098930707,22.677154497020847,25.50148914696896,33.0,True
RedHatAI/gemma-4-31B-it-FP8-block,Gemma-4-31B-I,,32.901234567901234,1.0717478712209063,32.901234567901234,0.0,32.625,41.60493827160494,29.629629629629623,32.625,0.0,8.979938271604937,-2.9953703703703773,10.083171769033385,14.478053869116833,14.30459650050418,30.0,True
qwen/qwen3-235b-a22b-thinking-2507,Qwen3-235b-T,vendor,31.11111111111111,1.097134314340639,31.11111111111111,0.0,32.71604938271605,36.54320987654321,24.19753086419753,32.71604938271605,0.0,3.827160493827158,-8.518518518518519,12.165697174459728,13.900805887519017,16.145974238070245,20.0,True
