index,chars,prompt_tokens,visible_tokens,thinking_tokens,completion_tokens,completion_tokens_proportional,cost_usd,cost_usd_proportional
0,57267,2775.0,20585.0,12438.0,33023.0,44034.0,0.83945,1.114725
1,62376,2229.0,22421.0,12245.0,34666.0,47962.0,0.877795,1.210195
2,62634,3225.0,22514.0,13825.0,36339.0,48160.0,0.9246,1.220125
3,57163,3980.0,20547.0,5612.0,26159.0,43953.0,0.673875,1.118725
4,53814,2060.0,19343.0,4927.0,24270.0,41377.0,0.61705,1.044725
5,82771,3253.0,29752.0,7773.0,37525.0,63644.0,0.95439,1.607365
6,53688,2929.0,19298.0,9605.0,28903.0,41281.0,0.73722,1.04667
7,62883,2660.0,22603.0,15842.0,38445.0,48351.0,0.974425,1.222075
8,61381,3419.0,22063.0,7312.0,29375.0,47196.0,0.75147,1.196995
9,55647,4363.0,20002.0,5434.0,25436.0,42787.0,0.657715,1.09149
10,52334,2513.0,18812.0,9734.0,28546.0,40241.0,0.726215,1.01859
11,62117,2597.0,22328.0,6933.0,29261.0,47763.0,0.74451,1.20706
12,56262,2309.0,20223.0,5778.0,26001.0,43260.0,0.66157,1.093045
13,48986,1992.0,17608.0,6388.0,23996.0,37666.0,0.60986,0.95161
14,52001,3062.0,18692.0,7905.0,26597.0,39985.0,0.680235,1.014935
15,60572,3646.0,21773.0,7338.0,29111.0,46575.0,0.746005,1.182605
16,56074,2952.0,20156.0,15150.0,35306.0,43116.0,0.89741,1.09266
17,59445,3111.0,21368.0,4603.0,25971.0,45709.0,0.66483,1.15828
18,66077,2634.0,23751.0,15604.0,39355.0,50807.0,0.997045,1.283345
19,57828,3943.0,20786.0,10175.0,30961.0,44464.0,0.79374,1.131315
20,67354,3587.0,24210.0,6528.0,30738.0,51788.0,0.786385,1.312635
21,55963,3882.0,20116.0,18836.0,38952.0,43031.0,0.99321,1.095185
22,71380,2273.0,25658.0,21974.0,47632.0,54886.0,1.202165,1.383515
23,58830,3613.0,21147.0,19593.0,40740.0,45236.0,1.036565,1.148965
24,56728,2175.0,20391.0,3895.0,24286.0,43619.0,0.618025,1.10135
25,54950,3230.0,19752.0,13756.0,33508.0,42252.0,0.85385,1.07245
26,54738,3949.0,19676.0,16123.0,35799.0,42090.0,0.91472,1.071995
