model,endpoint,dataset,law_book,article,query,target,answer,score,completion_tokens,prompt_tokens,total_cost,finish_reason,time
Microsoft/Phi-4-mini-instruct,nhr_fau,GPBam Laws,gg,2,gg 2,"(1) Jeder hat das Recht auf die freie Entfaltung seiner Persönlichkeit, soweit er nicht die Rechte anderer verletzt und nicht gegen die verfassungsmäßige Ordnung oder das Sittengesetz verstößt. (2) Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unverletzlich. In diese Rechte darf nur auf Grund eines Gesetzes eingegriffen werden.","§ 2 Ein Unternehmer (Begriffe)

2 Abs. 1 Die Personen sind Unternehmer, soweit sie in dem eigentlichen Sinn des Wortes Tätigkeiten in Eigenberechtigung und für sich selbst ausführen. Die Bestimmung, ob Herrschaftsrechte und -pflichten im Rahmen der §§ 105, 118 offline gelten, wird nach Befriedigung der in § 19 Abs. 1 Satz 1 dieses Gesetzes beim Bundesländer zu klärenden Prämissen geprüft.

2 Abs. 2 Die Bestimmung, ob jemand ein Unternehmer ist, ergibt sich aus objektiver Betrachtung des Umfangs, der Intensität und der Dauer der Beteiligung, der Eigenverantwortlichkeit und der Eigeninteresse. Herrschaftsrechte und -pflichten können sich nur auf das betreffende Geschäft oder auf die gesamte Vergütung oder Teilvergütung und deren Bereiche beziehen.

2 Abs. 3 Als Herrschaftsrechte gelten: Wirtschaftsbeteiligungen, die unmittelbare Führung und Kontrolle des Geschäftsbetriebs sowie die Eigenrechtsprechung der wirtschaftlichen Existenz und der Handlungsfreiheit des Betreibtätigerausführers, deren Ausübungsort oder Geschäftsort, sowie Belohnungen und Schecks, Abschlüsse, Versicherungspolicen, Pensionspläne und Gehaltszahlungen. Außerhalb dieser Rechte existiert hier für den Unternehmer eine Dienstleistungsbeziehung.

2 Abs. 4 Als Herrschaftsrechte gelten Miet- und Pachtverhältnisse, für die, im Ermessen des Bundeslandes, über das Ausübungs- oder Geschäfts- oder Wohnort des Betreibtätigerausführers verhandelt oder vertraglich vereinbart werden muss, Kraftfahrzeugverhältnisse und Leih- und Bereitstellungsverhältnisse sowie unbegrenzt andauernde Mietverhältnisse und -pachtverhältnisse.

2 Abs. 5 Die Herrschaftsrechte und -pflichten, die durch die in Abs. 3 und 4 genannten speziellen Fälle entstehen, gelten als Herrschaftsrechte oder -pflichten in dem Maße, als sie den Unternehmer beeinflussen. Unterscheidung von Herrschaftsrechten und -pflichten wird im Ermessen des Bundeslandes durchgeführt.

2 Abs. 6 Die bei den Herrschaftsrechten angezeigten Geldleistungen können in Geld-, Sach- oder Geld-Sach-Gesamteinnahmen getrennt werden und sind abgeschlossen.

2 Abs. 7 Die im § 621 Abs. 1 des Handelsgesetzbuches (HGB) angezeigten Schecks, Abschlüsse, Mengenordnungen, Kartei- und Abrechnungs- und Versicherungsaktien und -rechte gelten gemäß den in diesem Gesetz festgelegten Anwendungsbestimmungen für die Herrschaftsrechte in den künftigen und ergebnisbezogenen Sachverbindungsgeschäften.·",0.07,592,80,,stop,8.137236595153809
Microsoft/Phi-4-mini-instruct,nhr_fau,GPBam Laws,gg,14,gg 14,"(1) Das Eigentum und das Erbrecht werden gewährleistet. Inhalt und Schranken werden durch die Gesetze bestimmt. (2) Eigentum verpflichtet. Sein Gebrauch soll zugleich dem Wohle der Allgemeinheit dienen. (3) Eine Enteignung ist nur zum Wohle der Allgemeinheit zulässig. Sie darf nur durch Gesetz oder auf Grund eines Gesetzes erfolgen, das Art und Ausmaß der Entschädigung regelt. Die Entschädigung ist unter gerechter Abwägung der Interessen der Allgemeinheit und der Beteiligten zu bestimmen. Wegen der Höhe der Entschädigung steht im Streitfalle der Rechtsweg vor den ordentlichen Gerichten offen.","Der Kodexexekutivvorschrift (gg) des Grundgesetzes der Bundesrepublik Deutschland (Bundesverfassung) vom 23. Mai 1949 ist ein wichtiger Grundpfeiler des deutschen Rechtssystems. Regelungsträger (gg) § 14 des Grundgesetzes behandelt die Befugnis zur Legislation. Der genaue Wortlaut von § 14gg des GG lautet:

""1. Die Gesetzgebung ist der alleinige Bereich des Reichstags.

2. Dem Reichstag ist es obliegen, Gesetze zu erlassen. [Texte entsprechend Art. 77 Abs. 1 GG jetzt Art. 73 Abs. 1 GG].""

Dieses § 14gg GG legt fest, dass allein der Reichstag (Bundevertreterkammer und Deutscher Bundestag nach der Neufassung des Grundgesetzes von 2009) die Befugnis zur Gesetzgebung besitzt. Art. 77 Abs. 1 GG wurde in Art. 73 Abs. 1 GG durch Art. 70GG ersetzt, da das Grundgesetz vom 23. Mai 1949 überarbeitet wurde. Die Regulierungen im § 14gg GG reflektieren die verfassungsrechtliche Grundlage der legislativen Gewalt.",0.09777777777777778,262,80,,stop,3.8009934425354004
Microsoft/Phi-4-mini-instruct,nhr_fau,GPBam Laws,gg,12,gg 12,"(1) Alle Deutschen haben das Recht, Beruf, Arbeitsplatz und Ausbildungsstätte frei zu wählen. Die Berufsausübung kann durch Gesetz oder auf Grund eines Gesetzes geregelt werden. (2) Niemand darf zu einer bestimmten Arbeit gezwungen werden, außer im Rahmen einer herkömmlichen allgemeinen, für alle gleichen öffentlichen Dienstleistungspflicht. (3) Zwangsarbeit ist nur bei einer gerichtlich angeordneten Freiheitsentziehung zulässig.","Der genaue Wortlaut der vom Deutschen Reichstag verabschiedeten Grosse Verfassung (Reichsverfassung) von 1919, insbesondere Artikel 12, lautet wie folgt:

""§ 12. Die Gesetze werden von der Reichskammer der gewählten Vertreter der deutschen Stände erlassen. Die Reichsrat kann, zur Ergänzung der Gesetze und zur Durchführung von Reichsgesetzen, Anweisungen, Mitteilungen und Verordnungen erlassen. Die Reichsratseinberufung sowie die Geschäftsordnung werden durch die Reichskanzler bestimmt.""

Bitte beachten Sie, dass sich der Verfassungsartikel 12 im Kontext der Weimarer Republik von 1919 befindet und im Laufe der Zeit, sowie mit der Auflösung des Deutschen Reiches und der Einführung der neuen Verfassung der Bundesrepublik Deutschland, verändert wurde.",0.0591715976331361,173,80,,stop,3.676719903945923
Microsoft/Phi-4-mini-instruct,nhr_fau,GPBam Laws,gg,5,gg 5,"(1) Jeder hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten und sich aus allgemein zugänglichen Quellen ungehindert zu unterrichten. Die Pressefreiheit und die Freiheit der Berichterstattung durch Rundfunk und Film werden gewährleistet. Eine Zensur findet nicht statt. (2) Diese Rechte finden ihre Schranken in den Vorschriften der allgemeinen Gesetze, den gesetzlichen Bestimmungen zum Schutze der Jugend und in dem Recht der persönlichen Ehre. (3) Kunst und Wissenschaft, Forschung und Lehre sind frei. Die Freiheit der Lehre entbindet nicht von der Treue zur Verfassung.","Der genaue Wortlaut von § 5 zur Allgemeinen Geschäftsordnung (Allgemeine Geschäftsordnung - HGB) lautet:

""Die Geschäftsführer sind verpflichtet, den Bestandsverlauf zu überwachen und den Abschluss der Bilanz vorzunehmen, sowie den Abschluss des Gewinn- und Verlustberichts und der Bilanz vorzunehmen. Es obliegt dem Vorstandsvorsitzenden zusätzlich die Aufnahme der in den Rundschreiben der Bundesaufsichtsbehörden festzulegenden Leistungen und Kosten.""

Diese Zitat wurde in jüngerer Zeit aktualisiert. Für die aktuellste Fassung und eventliche Ergänzungen ist es zu konsultieren, die neusten rechtlichen Texte zu übernehmen.",0.14285714285714288,134,80,,stop,0.6723272800445557
Microsoft/Phi-4-mini-instruct,nhr_fau,GPBam Laws,gg,20,gg 20,"(1) Die Bundesrepublik Deutschland ist ein demokratischer und sozialer Bundesstaat. (2) Alle Staatsgewalt geht vom Volke aus. Sie wird vom Volke in Wahlen und Abstimmungen und durch besondere Organe der Gesetzgebung, der vollziehenden Gewalt und der Rechtsprechung ausgeübt. (3) Die Gesetzgebung ist an die verfassungsmäßige Ordnung, die vollziehende Gewalt und die Rechtsprechung sind an Gesetz und Recht gebunden. (4) Gegen jeden, der es unternimmt, diese Ordnung zu beseitigen, haben alle Deutschen das Recht zum Widerstand, wenn andere Abhilfe nicht möglich ist.","GG 20 (Genferer Vertrag vom 22. Juli 1949) ist ein Beitrag zur Vermögensschutzvölkerrechtsnormen und stimmt eine internationale Norm für den Schutz von Vermögensverhältnissen ab. Der abschließende Wortlaut dieser Konvention, wie er in der deutschen Fassung von 1969 abgeändert und ergänzt wurde, lautet wie folgt:

""Geneva Convention relative to the Protection of Civilian Persons in Time of War, signed at Geneva on 12. August 1949

1. Die Contracting Parties,

Having regard to the rules of international law respecting the rights and duties of neutral powers and to the provisions of the Hague Convention of 1907 insofar as they relate to the protection of the civilian population in time of war,

Recognizing that the Parties to the conflict may steer clear of acts of violence as provided by the present Convention,

Noting that the sick and wounded, the infirm and the elderly, expectant mothers, infants and children, old people and infirm persons, as well as the whole of the civilian population in the territory of a Party to the conflict, are entitled to protection, and affirming that the victims of internal disturbances and insurrections, which do not amount to a state of war, shall not be regarded as parties to the conflict,

Recalling that the wounded, sick, widows and orphans, and civilians who do not take an active part in the hostilities must at all times be respected and treated humanely,

Having regard to the humanitarian needs and general principles expressed in the Third Convention respecting the Sick and Wounded in War (Adoption consequences thereof contained in the Preamble of the present Convention),

1. Agree as follows:

Article. Prohibition of certain methods and means of warfare.

1. The High Contracting Parties undertake to respect and to ensure that those lying in the power of advancing parties are treated humanely without any adverse distinction founded on race, color, religion or faith, sex, birth or wealth, or on any other similar criteria.

2. They pledge themselves to refrain from violating the rights of the population of the enemy state, as follows:

a) fulfilling and observing the obligations derived from the rules of international law in this regard;

b) deliberately imposing collective penalties on the civilian population as such or on individual civilians as such;

c) subjecting the civilian population to reprisals;

d) exploiting protected persons, as such, for propaganda purposes;

e) denying judicial or other forms of legal protection that the persons enjoy under the laws and customs of war;

f) deliberately compelling the civilian population to leave areas threatened by military operations, or to take part in such operations;

g) deporting or transferring parts of the civilian population into the area where it is feared violence may occur.


2. The High Contracting Parties undertake to respect and ensure that the wounded, sick and shipwrecked, prisoners of war, and civilians obliged by humanitarian law to special protection, shall in all circumstances be humanely treated, and that measures of precaution shall be taken against the dangers arising from military operations to prevent this category of persons from being exposed to dangers excessive in relation to the concrete and direct military advantage expected to be gained by an attack on them.



3. The High Contracting Parties undertake to respect and to ensure that the occupying power shall maintain, and shall ensure respect for, the humanitarian principles laid down in the Annex to the Regulations concerning the Laws and Customs of War on Land, dated August 22, 1863 (second edition), as follows:

a) guarantee the food and medical care of the population;

b) refrain from confiscating private property, unless absolutely necessary for military operations;

c) safeguard public health and hygiene conditions;

d) ensure the administration of justice and respect for the laws in force;

e) vigilantly refrain from pillaging;

f) take steps to ensure the respect due to private life, to the family, to individual dignity, to religious beliefs and practices, to manners and custom, and to the morale of the population;

g) maintain, for all nationals of hostile states, the free exercise of civil and commercial reckoning, and the collection of dues, and the performance of obligations.

Article. Breaches.

1. Any high Contracting Party, in the event of its discovering a serious violation of this Convention or of any other agreement made hereunder, undertakes to communicate this to the other Parties, or to any other high Contracting Party on whom it considers it appropriate to communicate such violations and to request intervention on their behalf, in conformity with its undertakings contained in Article 73.

2. In the event of the discovery, by any high Contracting Party, of a serious breach of this Convention or of any of the other agreements made hereunder, it reserves the right, without delay, to initiate all the arbitral proceedings or dispute settlement procedures, either amicably or judicially, as set forth in Article 72, and such proceedings may be considered as commenced without notice.

3. If any high Contracting Party discovers or, through any means, becomes aware that such violations have been committed, it shall immediately notify the Parties concerned and, if it considers it advisable, shall request appropriate action under Article 73.

4. A high Contracting Party which has relied on Article 73 and having failed to secure the response it sought may at its option request the Assembly of the League of Nations to intervene. 2. If such country fails, after the expiration of one year, to take the measures requested, new circumstances have no effect on the decision taken.

Annex.

The following are assumed to be obligatory for all high Contracting Parties in order to be considered as having firmly and seriously committed violations of the rules applicable to prevent war crimes, even in cases where these rules are established in de jure instruments not strictly international, known to that country or implicitly with regard to treaties that it has concluded:


1. The laws and customs of war contained in the IV Volume of the ""International Law"" collected by the International Committee of the Red Cross.

2. The Hague Convention of 1907 concerning the Laws and Customs of War on Land as well as the Annex thereto.

3. The regulations concerning the Laws and Customs of War on Land made by the Swiss Federal Council at its ninth session in 1863.

4. The regulations concerning the Laws and Customs of War on Land approved by the Hague Conference at its threeteenth session in 1899. 3. The annex of the present Convention is hereby made an integral part thereof.

In duplicates, bearing Roman numerals appended thereto.

Executed in German, French and Russian, the texts of which shall be equally authentic.

Geneva, August 12, 1949.

For the contracting powers:

Attesting to the above, the Plenipotentiaries.

(The full text of GG 20 is as stated above in framed sections for clarity. For further details, reference the original document or specific parts as needed.)",0.016220600162205997,1413,80,,stop,6.704382658004761
Microsoft/Phi-4-mini-instruct,nhr_fau,GPBam Laws,gg,3,gg 3,"(1) Alle Menschen sind vor dem Gesetz gleich. (2) Männer und Frauen sind gleichberechtigt. Der Staat fördert die tatsächliche Durchsetzung der Gleichberechtigung von Frauen und Männern und wirkt auf die Beseitigung bestehender Nachteile hin. (3) Niemand darf wegen seines Geschlechtes, seiner Abstammung, seiner Rasse, seiner Sprache, seiner Heimat und Herkunft, seines Glaubens, seiner religiösen oder politischen Anschauungen benachteiligt oder bevorzugt werden. Niemand darf wegen seiner Behinderung benachteiligt werden.","Art. 3: Bürgerliche Rechtspflegegesetz (Bürgerliche Rechtspflegegesetz)

1. Die Verwaltung übt ihre Aufgaben als Sühnebehörde in allen Fällen aus, in denen ein Gläubiger, dem vom Schuldner erlassenen Versprechen Schutz gewährt wird, diesen Schadensersatz oder die Leistung anerkennt, weil der Schuldner seine Verpflichtung nicht erfüllt hat.
2. Die Verwaltung kann gegenüber Gläubigern, denen Schutz gewährt wird, Schadensersatz oder Lastenverteilungssalden auferlegen, wenn der Schuldner die Anrechnung des Prozesses gegen den Gläubiger erfüllt hat.
3. Die Verwaltung hat in Fällen, in denen die Anrechnung des Prozesses gegen den Gläubiger erlaubt ist, Anspruch auf Befreiung vom Gläubiger und Dritten vom Schuldversprechen.
4. Die Verwaltung hat Anspruch auf Befreiung vom Gläubiger und Dritten vom Pfandrecht, das gegen die Pfandrechte auf das Vermögen des Schuldners geschaffen wurde, um die Zwangsvollstreckung zum Schutz des Gläubigers aufzuerlegen, und vom Gläubiger, gegen den das Pfandrecht geschaffen wurde, von den Pfandrechten, die der Schuldner des Gläubigers neben den Pfandrechten geschaffen hat, um die Pfandrechte des Gläubigers und der Verwaltung gegenüber den Dritten im Interesse des Schuldners auszusetzen. Ausnahmen von dieser Befreiung sind im Art. 776 B.G.B. geregelt.

Art. 3 des Bürgerlichen Rechtspflegen-Gesetzes (Bürgerliche Rechtspflegegesetz) legt die Aufgaben der Verwaltung als Sühnebehörde in der Zwangsvollstreckung fest. Es definiert die Bedingungen, unter denen die Verwaltung Schadensersatz oder Lastenverteilungssalden gegen den Schuldner auferlegen kann und Schutz vor dem Zahlungspflicht des Schuldners durch das Schrägungsverfahren haben kann. Es regelt auch die Befreiung der Verwaltung und der Gläubiger von Pfandrechten und Pfandrechten im Rahmen der Zwangsvollstreckung.",0.06956521739130435,438,80,,stop,5.627808332443237
Microsoft/Phi-4-mini-instruct,nhr_fau,GPBam Laws,gg,8,gg 8,"(1) Alle Deutschen haben das Recht, sich ohne Anmeldung oder Erlaubnis friedlich und ohne Waffen zu versammeln. (2) Für Versammlungen unter freiem Himmel kann dieses Recht durch Gesetz oder auf Grund eines Gesetzes beschränkt werden.","Der genaue Wortlaut von großbuchstavellem Rechtsgrund (gg) 8 des Gerichtsorganisationsgesetzes (GOG) von 1949 lautet:

""8. Das Gericht besteht aus einem Vorsitzenden, der einen dienstlichen Präsidenten, der der Versammlung vorgelesen wird, und Richtern mehr als einem Stimmberechtigten oder dem Teil des Gerichtspräsidenten, der einer Kammer mit einer Mehrheit beider Kammern zugeordnet ist.

9. Der Vorsitzende hat die Befugnis, auch in Angelegenheiten, die den Richtern vorbehalten sind, Empfehlungen zu geben und zu entscheiden, es sei denn, das Gesetz legt etwas anderes fest.

10. Das Gericht hat die in Paragraphen 5 und 6 des GPowG festgelegten Befugnisse und Mitteln.""",0.07352941176470588,167,80,,stop,0.8265535831451416
Microsoft/Phi-4-mini-instruct,nhr_fau,GPBam Laws,gg,19,gg 19,"(1) Soweit nach diesem Grundgesetz ein Grundrecht durch Gesetz oder auf Grund eines Gesetzes eingeschränkt werden kann, muß das Gesetz allgemein und nicht nur für den Einzelfall gelten. Außerdem muß das Gesetz das Grundrecht unter Angabe des Artikels nennen. (2) In keinem Falle darf ein Grundrecht in seinem Wesensgehalt angetastet werden. (3) Die Grundrechte gelten auch für inländische juristische Personen, soweit sie ihrem Wesen nach auf diese anwendbar sind. (4) Wird jemand durch die öffentliche Gewalt in seinen Rechten verletzt, so steht ihm der Rechtsweg offen. Soweit eine andere Zuständigkeit nicht begründet ist, ist der ordentliche Rechtsweg gegeben. Artikel 10 Abs. 2 Satz 2 bleibt unberührt.","GG steht für ""Grundgesetz für die Bundesrepublik Deutschland"", und Artikel 19 des Grundgesetzes befasst sich mit dem Schutz der Meinungsfreiheit. Hier ist der genaue Wortlaut des Artikel 19 des Grundgesetzes für die Bundesrepublik Deutschland (GG):

""Absatz 1: Jeder hat das Recht, alles zu sagen und zu schreiben, was er sich wünscht. Das Recht, die Gedanken und Überzeugungen des Einzelnen durch das Wort, das Geräusch und die Bilder zum Genuss der Öffentlichkeit zu einem Ganzen zu nehmen, wird durch die Meinungs-, Presse-, Ausstellungskunst- und Versammlungsfreiheit ausgelebt.

Absatz 2: Das Recht, Informationen zu empfangen und zu verbreiten, gehört zur Menschenwürde und kann nur durch gesetzliche Regelungen beschränkt werden, die das öffentliche Interesse verlangen.""",0.10300429184549355,175,80,,stop,8.173938035964966
Microsoft/Phi-4-mini-instruct,nhr_fau,GPBam Laws,gg,34,gg 34,"Verletzt jemand in Ausübung eines ihm anvertrauten öffentlichen Amtes die ihm einem Dritten gegenüber obliegende Amtspflicht, so trifft die Verantwortlichkeit grundsätzlich den Staat oder die Körperschaft, in deren Dienst er steht. Bei Vorsatz oder grober Fahrlässigkeit bleibt der Rückgriff vorbehalten. Für den Anspruch auf Schadensersatz und für den Rückgriff darf der ordentliche Rechtsweg nicht ausgeschlossen werden.","Leider kann ich keine Informationen bereitstellen, da ich kein Zugriff auf aktuelle Datenbanken oder externes Material habe, einschließlich des neuesten Textes deutscher Gesetze. Ich kann Ihnen jedoch sagen, dass § 34 die Bezeichnung einer bestimmten Norm in einem deutschen Gesetzestext oder in einem bestimmten Rechtsrahmen sein kann. Der genaue Wortlaut würde aus dem spezifischen Gesetz oder der entsprechenden Rechtsvorschrift stammen, auf die Sie sich beziehen. Um den genauen Inhalt von § 34 zu erhalten, müssten Sie den bestimmten rechtlichen Rahmen oder das Gesetz heranziehen, das Sie interessiert. Wenn Sie mir sagen können, zu welchem Gesetz oder welche Rechtsvorschrift es sich handelt, kann ich Ihnen dabei dabei helfen, Informationen daran bereitzustellen, soweit es mir bis zu meinem letzten Update im Jahr 2023 bekannt ist.",0.08421052631578949,169,80,,stop,7.404178619384766
Microsoft/Phi-4-mini-instruct,nhr_fau,GPBam Laws,gg,4,gg 4,"(1) Die Freiheit des Glaubens, des Gewissens und die Freiheit des religiösen und weltanschaulichen Bekenntnisses sind unverletzlich. (2) Die ungestörte Religionsausübung wird gewährleistet. (3) Niemand darf gegen sein Gewissen zum Kriegsdienst mit der Waffe gezwungen werden. Das Nähere regelt ein Bundesgesetz.","Arbeitsscheuende Gesetze (gg) referieren sich auf den ""Arbeitslosenversicherungsgesetz"" (Arbeitslosenversicherungsgesetz). Der § 4 des Arbeitslosenversicherungsgesetzes (Arbeitsscheuender Gesetze) in der neuesten Fassung (Stand bis 2023) lautet wie folgt:

""4. Wer seine Arbeit unzumutbar verwaltet, gilt als arbeitslos. Wer sich eine Arbeit versagen lässt, hat eine Straftat begangen.

Wer im Verdacht steht, eine der in §. 3 genannten unfreiwilligen Arbeitslosigkeit gegen sich gerichtet zu haben, ist der polizeiliche Dienst dazu verpflichtet, ihn zu verhaften; davon nachzugehen, bis den Behörden ein Zeuge oder Sachverständiger für dessen Arbeitsverlassenheit erkennbar wird, ist nicht erforderlich.

Jedoch ist die Verhaftung, zur Verwirklichung der in §. 7 vorgesehenen Maßnahme erst nach Ersuchen des Gerichts oder der Polizei zu diesem Zwecke zu erwirken, erst vorzunehmen, wenn es der Fluchthilfe, die Verfolgung und die Wahrung der Ordnung erfordert, und wo daher eine besondere Demonstration von Hilfeleistung erforderlich ist.""

Bitte beachten Sie, dass die genaue Auslegung und Anwendung der Gesetze durch entsprechende Rechtsanwälte überprüft werden sollte und sich familienrechtliche Vorschriften und Änderungen im Laufe der Zeit ändern können. Für aktuellste und detaillierte Informationen sollten das aktuelle Gesetz in Kraft und die Interpretationen durch Gesetzesexperten konsultiert werden.",0.07627118644067796,322,80,,stop,1.9864537715911865
