index,prompt_tokens,time,completion_tokens,total_tokens,total_cost,temparature,top_p,model,ref_sim
0,1944,179.44762802124023,4822,6766,0.0133038,,,deepseek/deepseek-r1-0528,0.2307692307692307
1,1493,487.0692167282105,7260,8753,0.0165733,,,deepseek/deepseek-r1-0528,0.1875
2,2299,90.3270890712738,9690,11989,0.074727,,,deepseek/deepseek-r1-0528,0.1666666666666666
3,2867,231.7145409584045,3823,6690,0.00976764,,,deepseek/deepseek-r1-0528,0.1818181818181818
4,1379,164.85704612731934,4930,6309,0.0131783,,,deepseek/deepseek-r1-0528,0.0952380952380952
5,2332,275.542432308197,7070,9402,0.018501,,,deepseek/deepseek-r1-0528,0.1612903225806451
6,2096,85.69525265693665,2494,4590,0.0065149,,,deepseek/deepseek-r1-0528,0.1219512195121951
7,1839,374.2126305103302,5746,7585,0.01344578,,,deepseek/deepseek-r1-0528,0.0
8,2498,161.5855860710144,4815,7313,0.01122685,,,deepseek/deepseek-r1-0528,0.0
9,3169,113.41677498817444,3427,6596,0.009111,,,deepseek/deepseek-r1-0528,0.1818181818181818
10,1733,214.3273687362671,5628,7361,0.0146783,,,deepseek/deepseek-r1-0528,0.2307692307692307
11,1787,107.0575647354126,3486,5273,0.0098539,,,deepseek/deepseek-r1-0528,0.0256410256410256
12,1577,195.7357707023621,5164,6741,0.0118431,,,deepseek/deepseek-r1-0528,0.0
13,1334,242.8789849281311,6267,7601,0.0161533,,,deepseek/deepseek-r1-0528,0.0816326530612244
14,2157,170.93818521499634,5122,7279,0.0140184,,,deepseek/deepseek-r1-0528,0.064516129032258
15,2585,48.57781410217285,5112,7697,0.043539,,,deepseek/deepseek-r1-0528,0.2
16,2122,348.21307468414307,7494,9616,0.0172784,,,deepseek/deepseek-r1-0528,0.1818181818181818
17,2185,167.71751499176025,2908,5093,0.00743194,,,deepseek/deepseek-r1-0528,0.0
18,1862,432.4829993247986,6521,8383,0.01514678,,,deepseek/deepseek-r1-0528,0.0238095238095238
19,2848,133.96737909317017,3912,6760,0.0099772,,,deepseek/deepseek-r1-0528,0.0476190476190476
20,2536,173.26357746124268,4993,7529,0.01212975,,,deepseek/deepseek-r1-0528,0.0
21,2786,274.4576985836029,7164,9950,0.0167476,,,deepseek/deepseek-r1-0528,0.2
22,1574,507.0467793941498,7861,9435,0.0206423,,,deepseek/deepseek-r1-0528,0.0689655172413793
23,2625,371.22726368904114,6707,9332,0.01593376,,,deepseek/deepseek-r1-0528,0.0476190476190476
24,1440,163.34250569343567,4261,5701,0.00983315,,,deepseek/deepseek-r1-0528,0.0606060606060606
25,2331,279.26099491119385,6182,8513,0.01457255,,,deepseek/deepseek-r1-0528,0.1081081081081081
26,2790,248.56380891799927,7489,10279,0.0205635,,,deepseek/deepseek-r1-0528,0.0652173913043478
27,2427,318.6304512023926,10493,12920,0.0271248,,,deepseek/deepseek-r1-0528,0.0833333333333333
28,913,179.5395839214325,5268,6181,0.01182835,,,deepseek/deepseek-r1-0528,0.125
29,1557,306.39177775383,4823,6380,0.01129264,,,deepseek/deepseek-r1-0528,0.3076923076923077
30,1152,83.57096147537231,2359,3511,0.00570545,,,deepseek/deepseek-r1-0528,0.125
31,2048,237.17185735702515,6217,8265,0.0168641,,,deepseek/deepseek-r1-0528,0.1111111111111111
32,982,162.91413474082947,4888,5870,0.0125168,,,deepseek/deepseek-r1-0528,0.0
33,1108,163.12311220169067,4723,5831,0.01076385,,,deepseek/deepseek-r1-0528,0.1481481481481481
34,2655,226.83750581741333,6909,9564,0.0182126,,,deepseek/deepseek-r1-0528,0.0
35,3104,131.33758234977722,3547,6651,0.00913005,,,deepseek/deepseek-r1-0528,0.1707317073170731
36,1806,346.0217077732086,5420,7226,0.0127186,,,deepseek/deepseek-r1-0528,0.0714285714285714
37,2430,225.2337667942047,6861,9291,0.01561095,,,deepseek/deepseek-r1-0528,0.0
38,2513,282.67507672309875,7423,9936,0.01716795,,,deepseek/deepseek-r1-0528,0.0625
39,2094,357.487998008728,7869,9963,0.01806925,,,deepseek/deepseek-r1-0528,0.1538461538461538
40,2945,417.4692430496216,8678,11623,0.02027665,,,deepseek/deepseek-r1-0528,0.0975609756097561
41,2120,195.55416131019592,5223,7343,0.0138023,,,deepseek/deepseek-r1-0528,0.0
42,1835,147.87116599082947,3826,5661,0.0088746,,,deepseek/deepseek-r1-0528,0.2
43,1681,291.46688985824585,7551,9232,0.01682555,,,deepseek/deepseek-r1-0528,0.1044776119402985
44,2183,175.35663390159607,4353,6536,0.011649,,,deepseek/deepseek-r1-0528,0.1111111111111111
45,2713,209.79282188415527,5522,8235,0.0128256,,,deepseek/deepseek-r1-0528,0.125
46,2927,105.41747331619264,3008,5935,0.0074987,,,deepseek/deepseek-r1-0528,0.1
47,2535,119.93868899345398,3351,5886,0.00809775,,,deepseek/deepseek-r1-0528,0.2258064516129032
48,2346,268.80915665626526,6814,9160,0.0154775,,,deepseek/deepseek-r1-0528,0.0588235294117647
49,1956,117.0374310016632,3178,5134,0.0075227,,,deepseek/deepseek-r1-0528,0.2758620689655172
50,2601,248.29930663108823,7383,9984,0.01678995,,,deepseek/deepseek-r1-0528,0.048780487804878
51,2953,166.0066795349121,4008,6961,0.0100457,,,deepseek/deepseek-r1-0528,0.1063829787234042
52,3361,130.12075972557068,3448,6809,0.0098079,,,deepseek/deepseek-r1-0528,0.0
53,2391,186.8291342258453,5074,7465,0.0135299,,,deepseek/deepseek-r1-0528,0.1428571428571428
54,2524,273.7083065509796,8236,10760,0.0214832,,,deepseek/deepseek-r1-0528,0.0
55,2063,143.7188150882721,3737,5800,0.00901805,,,deepseek/deepseek-r1-0528,0.2045454545454545
56,2303,219.22070240974423,5477,7780,0.0145206,,,deepseek/deepseek-r1-0528,0.048780487804878
57,2311,172.71074962615967,4615,6926,0.0123488,,,deepseek/deepseek-r1-0528,0.0
58,2321,300.61777687072754,8055,10376,0.01813315,,,deepseek/deepseek-r1-0528,0.1025641025641025
59,2300,175.52268481254578,4830,7130,0.012901,,,deepseek/deepseek-r1-0528,0.0416666666666666
60,2893,232.8768601417541,5875,8768,0.01364575,,,deepseek/deepseek-r1-0528,0.0833333333333333
61,1980,141.27312564849854,3628,5608,0.009784,,,deepseek/deepseek-r1-0528,0.0666666666666666
62,3963,246.7666003704071,7523,11486,0.0202152,,,deepseek/deepseek-r1-0528,0.3
63,2992,225.3925075531006,6803,9795,0.01607445,,,deepseek/deepseek-r1-0528,0.1111111111111111
