model,endpoint,dataset,law_book,article,query,target,answer,score,completion_tokens,prompt_tokens,total_cost,finish_reason,time
meta-llama/llama-4-maverick,openrouter,GPBam Laws,gg,2,gg 2,"(1) Jeder hat das Recht auf die freie Entfaltung seiner Persönlichkeit, soweit er nicht die Rechte anderer verletzt und nicht gegen die verfassungsmäßige Ordnung oder das Sittengesetz verstößt. (2) Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unverletzlich. In diese Rechte darf nur auf Grund eines Gesetzes eingegriffen werden.","§ 2 des Grundgesetzes für die Bundesrepublik Deutschland lautet: 
(1) Das Deutsche Volk bekennt sich darum zu den unverletzlichen und unveräußerlichen Menschenrechten als Grundlage jeder menschlichen Gemeinschaft, des Friedens und der Gerechtigkeit in der Welt.
(2) Die nachfolgenden Grundrechte binden Gesetzgebung, vollziehende Gewalt und Rechtsprechung als unmittelbar geltendes Recht.",0.1272727272727273,80,90,7.368e-05,stop,5.4449074268341064
meta-llama/llama-4-maverick,openrouter,GPBam Laws,gg,14,gg 14,"(1) Das Eigentum und das Erbrecht werden gewährleistet. Inhalt und Schranken werden durch die Gesetze bestimmt. (2) Eigentum verpflichtet. Sein Gebrauch soll zugleich dem Wohle der Allgemeinheit dienen. (3) Eine Enteignung ist nur zum Wohle der Allgemeinheit zulässig. Sie darf nur durch Gesetz oder auf Grund eines Gesetzes erfolgen, das Art und Ausmaß der Entschädigung regelt. Die Entschädigung ist unter gerechter Abwägung der Interessen der Allgemeinheit und der Beteiligten zu bestimmen. Wegen der Höhe der Entschädigung steht im Streitfalle der Rechtsweg vor den ordentlichen Gerichten offen.","§ 14 GG lautet: 
""(1) Der Grundsatz des § 13 Abs. 2 findet auf die Beteiligung der Länder bei der Gesetzgebung des Bundes entsprechende Anwendung, soweit der Bund das Recht hat, Gesetze zu erlassen.
(2) Die Stimmen eines Landes haben bei einer Abstimmung so viel Wert, wie das Land Einwohner hat. Die Gesamtzahl der Stimmen wird durch Bundesgesetz festgelegt. Durch Bundesgesetz kann bestimmt werden, daß ein Land bei der Abstimmung keine Stimme hat, solange es nicht mindestens drei von hundert der Gesamtzahl der Stimmen hat; hierbei kann auch bestimmt werden, daß ein Land, das nicht mehr als zwei von hundert der Gesamtzahl der Stimmen hat, bei der Abstimmung nicht mitzählt, wenn es seine Stimme nicht abgibt.
(3) Absatz 2 gilt entsprechend, wenn der Bundesrat an einer Entscheidung des Bundes beteiligt ist.""",0.11607142857142856,176,90,0.0001588,stop,2.7448768615722656
meta-llama/llama-4-maverick,openrouter,GPBam Laws,gg,12,gg 12,"(1) Alle Deutschen haben das Recht, Beruf, Arbeitsplatz und Ausbildungsstätte frei zu wählen. Die Berufsausübung kann durch Gesetz oder auf Grund eines Gesetzes geregelt werden. (2) Niemand darf zu einer bestimmten Arbeit gezwungen werden, außer im Rahmen einer herkömmlichen allgemeinen, für alle gleichen öffentlichen Dienstleistungspflicht. (3) Zwangsarbeit ist nur bei einer gerichtlich angeordneten Freiheitsentziehung zulässig.","§ 12 GG lautet: 
(1) Die Deutsche Staatsangehörigkeit wird durch Geburt erworben, wenn ein Elternteil die deutsche Staatsangehörigkeit besitzt. Sie wird außerdem durch Einbürgerung erworben, wenn die Voraussetzungen des Staatsangehörigkeitsgesetzes vorliegen.
(2) Frühere deutsche Staatsangehörige, denen zwischen dem 30. Januar 1933 und dem 8. Mai 1945 die Staatsangehörigkeit aus politischen, rassischen oder religiösen Gründen entzogen worden ist, und ihre Abkömmlinge sind auf Antrag wieder einzubürgern. Sie gelten als nicht ausgebürgert, wenn sie nach dem 8. Mai 1945 ihren Wohnsitz in Deutschland genommen haben und nicht einen gegenteiligen Willen zum Ausdruck gebracht haben.",0.060240963855421686,161,90,0.000130056,stop,10.917355060577393
meta-llama/llama-4-maverick,openrouter,GPBam Laws,gg,5,gg 5,"(1) Jeder hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten und sich aus allgemein zugänglichen Quellen ungehindert zu unterrichten. Die Pressefreiheit und die Freiheit der Berichterstattung durch Rundfunk und Film werden gewährleistet. Eine Zensur findet nicht statt. (2) Diese Rechte finden ihre Schranken in den Vorschriften der allgemeinen Gesetze, den gesetzlichen Bestimmungen zum Schutze der Jugend und in dem Recht der persönlichen Ehre. (3) Kunst und Wissenschaft, Forschung und Lehre sind frei. Die Freiheit der Lehre entbindet nicht von der Treue zur Verfassung.","§ 5 AMG (Arzneimittelgesetz) lautet: 
""(1) Arzneimittel dürfen im Geltungsbereich dieses Gesetzes nicht in den Verkehr gebracht werden, es sei denn, sie sind durch die zuständige Bundesoberbehörde zugelassen oder von der Zulassung freigestellt oder es handelt sich um Arzneimittel, die nach § 21a oder § 21b genehmigt sind oder nach § 25 Abs. 1 Satz 1 zweiter Halbsatz von der Zulassung freigestellt sind, soweit dies in einer Rechtsverordnung nach § 36 oder durch die Kommission der Europäischen Gemeinschaften oder durch den Rat der Europäischen Union bestimmt ist.
(2) Absatz 1 gilt nicht für Arzneimittel, die
1. zur klinischen Prüfung bei Menschen bestimmt sind,
2. als Fertigarzneimittel für die Arzneimittelprüfung bestimmt sind,
3. in Tierärztlichen Hausapotheken hergestellt werden,
4. unter den in § 38 Abs. 1 Satz 3 genannten Voraussetzungen in den Verkehr gebracht werden,
5. nach § 21 Abs. 2 Nr. 1a nicht der Zulassungspflicht unterliegen oder
6. nach einer im Geltungsbereich dieses Gesetzes geltenden Rechtsvorschrift von der zuständigen Behörde für den Einzelfall genehmigt sind.
(3) Die Absätze 1 und 2 gelten auch für Arzneimittel, die bei der Herstellung von Arzneimitteln als Arzneimittel verwendet werden (aktive pharmazeutische Wirkstoffe).""",0.13058419243986255,303,90,0.0003345,stop,7.5732502937316895
meta-llama/llama-4-maverick,openrouter,GPBam Laws,gg,20,gg 20,"(1) Die Bundesrepublik Deutschland ist ein demokratischer und sozialer Bundesstaat. (2) Alle Staatsgewalt geht vom Volke aus. Sie wird vom Volke in Wahlen und Abstimmungen und durch besondere Organe der Gesetzgebung, der vollziehenden Gewalt und der Rechtsprechung ausgeübt. (3) Die Gesetzgebung ist an die verfassungsmäßige Ordnung, die vollziehende Gewalt und die Rechtsprechung sind an Gesetz und Recht gebunden. (4) Gegen jeden, der es unternimmt, diese Ordnung zu beseitigen, haben alle Deutschen das Recht zum Widerstand, wenn andere Abhilfe nicht möglich ist.","§ 20 GG (Grundgesetz) lautet: 
""Die Deutsche Staatsangehörigkeit darf nicht entzogen werden.""",0.041666666666666664,24,90,3.4704e-05,stop,2.534264087677002
meta-llama/llama-4-maverick,openrouter,GPBam Laws,gg,3,gg 3,"(1) Alle Menschen sind vor dem Gesetz gleich. (2) Männer und Frauen sind gleichberechtigt. Der Staat fördert die tatsächliche Durchsetzung der Gleichberechtigung von Frauen und Männern und wirkt auf die Beseitigung bestehender Nachteile hin. (3) Niemand darf wegen seines Geschlechtes, seiner Abstammung, seiner Rasse, seiner Sprache, seiner Heimat und Herkunft, seines Glaubens, seiner religiösen oder politischen Anschauungen benachteiligt oder bevorzugt werden. Niemand darf wegen seiner Behinderung benachteiligt werden.","§ 3 GG lautet: 
""Die Gesetzgebung ist an die verfassungsmäßige Ordnung, die vollziehende Gewalt und die Rechtsprechung sind an Gesetz und Recht gebunden.""",0.08333333333333333,37,90,4.76e-05,stop,0.7621567249298096
meta-llama/llama-4-maverick,openrouter,GPBam Laws,gg,8,gg 8,"(1) Alle Deutschen haben das Recht, sich ohne Anmeldung oder Erlaubnis friedlich und ohne Waffen zu versammeln. (2) Für Versammlungen unter freiem Himmel kann dieses Recht durch Gesetz oder auf Grund eines Gesetzes beschränkt werden.","§ 8 GG lautet: 
""(1) Alle Deutschen haben das Recht, sich ohne Anmeldung oder Erlaubnis friedlich und ohne Waffen zu versammeln.
(2) Für Versammlungen unter freiem Himmel kann dieses Recht durch Gesetz oder auf Grund eines Gesetzes beschränkt werden.""",0.961038961038961,59,90,6.52e-05,stop,1.151587724685669
meta-llama/llama-4-maverick,openrouter,GPBam Laws,gg,19,gg 19,"(1) Soweit nach diesem Grundgesetz ein Grundrecht durch Gesetz oder auf Grund eines Gesetzes eingeschränkt werden kann, muß das Gesetz allgemein und nicht nur für den Einzelfall gelten. Außerdem muß das Gesetz das Grundrecht unter Angabe des Artikels nennen. (2) In keinem Falle darf ein Grundrecht in seinem Wesensgehalt angetastet werden. (3) Die Grundrechte gelten auch für inländische juristische Personen, soweit sie ihrem Wesen nach auf diese anwendbar sind. (4) Wird jemand durch die öffentliche Gewalt in seinen Rechten verletzt, so steht ihm der Rechtsweg offen. Soweit eine andere Zuständigkeit nicht begründet ist, ist der ordentliche Rechtsweg gegeben. Artikel 10 Abs. 2 Satz 2 bleibt unberührt.","§ 19 GG lautet: 
(1) Jeder Deutsche hat nach seiner Eignung, Befähigung und fachlichen Leistung gleichen Zugang zu jedem öffentlichen Amte.
(2) Niemand darf wegen seiner Geschlechts, seiner Abstammung, seiner Rasse, seiner Sprache, seiner Heimat und Herkunft, seines Glaubens, seiner religiösen oder politischen Anschauungen benachteiligt oder bevorzugt werden.
(3) Der Genuss bürgerlicher und staatsbürgerlicher Rechte, die Zulassung zu öffentlichen Ämtern sowie die im öffentlichen Dienste erworbenen Rechte sind unabhängig von dem religiösen Bekenntnis. Niemandem darf aus seiner Zugehörigkeit oder Nichtzugehörigkeit zu einem Bekenntnisse oder einer Weltanschauung ein Nachteil erwachsen.",0.08571428571428572,155,90,0.00012588,stop,10.073921203613281
meta-llama/llama-4-maverick,openrouter,GPBam Laws,gg,34,gg 34,"Verletzt jemand in Ausübung eines ihm anvertrauten öffentlichen Amtes die ihm einem Dritten gegenüber obliegende Amtspflicht, so trifft die Verantwortlichkeit grundsätzlich den Staat oder die Körperschaft, in deren Dienst er steht. Bei Vorsatz oder grober Fahrlässigkeit bleibt der Rückgriff vorbehalten. Für den Anspruch auf Schadensersatz und für den Rückgriff darf der ordentliche Rechtsweg nicht ausgeschlossen werden.","§ 34 StGB lautet: 
""Wer bei einer gegenwärtigen, nicht anders abwendbaren Gefahr für Leben, Leib, Freiheit, Ehre, Eigentum oder ein anderes Rechtsgut eine Tat begeht, um die Gefahr von sich oder einem anderen abzuwenden, handelt nicht rechtswidrig, wenn bei Abwägung der widerstreitenden Interessen, namentlich der betroffenen Rechtsgüter und des Grades der ihnen drohenden Gefahren, das geschützte Interesse das beeinträchtigte wesentlich überwiegt. Dies gilt jedoch nur, soweit die Tat ein angemessenes Mittel ist, die Gefahr abzuwenden.""",0.08275862068965517,127,90,0.0001196,stop,3.488887071609497
meta-llama/llama-4-maverick,openrouter,GPBam Laws,gg,4,gg 4,"(1) Die Freiheit des Glaubens, des Gewissens und die Freiheit des religiösen und weltanschaulichen Bekenntnisses sind unverletzlich. (2) Die ungestörte Religionsausübung wird gewährleistet. (3) Niemand darf gegen sein Gewissen zum Kriegsdienst mit der Waffe gezwungen werden. Das Nähere regelt ein Bundesgesetz.","§ 4 GG lautet: 
""Die Freiheit des Glaubens, des Gewissens und die Freiheit des religiösen und weltanschaulichen Bekenntnisses sind unverletzlich. Die ungestörte Religionsausübung wird gewährleistet. Niemand darf gegen sein Gewissen zum Kriegsdienst mit der Waffe gezwungen werden. Das Nähere regelt ein Bundesgesetz.""",0.9347826086956522,79,90,7.2984e-05,stop,5.487746715545654
