short,vendor,score,GPBam Laws,Most cited Laws
llama-3.1-8b,Meta,4.814814814814815,8.005459832216845,10.195390637185618
Phi-4-mini,Microsoft,5.432098765432099,7.37443370989908,8.460882161785818
granite-4.1-3b,IBM,7.530864197530864,7.743099633163821,9.72766281412
Ministral-3-14B-R,Mistral,8.765432098765432,9.155051815192197,12.29698464929758
EuroLLM-22B,Other,9.25925925925926,9.770312160562657,12.112355385147415
qwen3-32b,Alibaba,13.209876543209877,9.316366411554187,9.946924432783337
llama-3.3-70b,Meta,16.790123456790123,12.566947856259162,17.12405720976842
steuerllm,windprak,17.77777777777778,15.241652128159119,17.161109416650888
gpt-4o-mini,OpenAI,19.506172839506174,12.86624996175979,16.301359247090545
gpt-5-nano,OpenAI,21.48148148148148,10.410809757118514,11.76577214758807
Mistral-Small-3.2,Mistral,21.97530864197531,11.857787731801286,15.762795531721668
Magistral-Small,Mistral,23.333333333333332,12.496395823577256,14.848142799060767
llama-4-maverick,Meta,24.444444444444443,26.781145221236834,36.12697657547357
Soofi-S-Isar,Soofi,26.11111111111111,16.238708508832694,24.91620272954472
deepseek-chat-v3,DeepSeek,26.358024691358025,22.392195514968975,24.062277054450956
gpt-oss-120b,OpenAI,29.753086419753085,12.402445962410198,13.752257182406554
Qwen3.6-35B,Alibaba,30.617283950617285,16.65751836192615,20.265089419925687
qwen3-next-80b,Alibaba,30.617283950617285,12.091155021592503,13.601571786687494
qwen3-235b-think,Alibaba,31.11111111111111,13.900805887519017,16.145974238070245
gemma-4-31B,Google,32.901234567901234,14.478053869116833,14.30459650050418
qwen3.5-122b,Alibaba,32.96296296296296,22.677154497020847,25.501489146968957
deepseek-r1,DeepSeek,33.20987654320987,23.023716305508763,22.418519422450856
gpt-5-mini,OpenAI,34.81481481481482,13.17886934239494,17.414028107125702
claude-haiku-4.5,Anthropic,34.81481481481482,15.570929742454076,16.0722263087692
gemini-2.5-fl-lite,Google,35.18518518518518,16.91371732047968,20.275276748886295
deepseek-v3.2,DeepSeek,36.79012345679013,28.007828163187487,27.287344959675707
Mistral-Med-3.5,Mistral,37.407407407407405,28.263363918729066,28.83961523092651
mistral-large,Mistral,37.839506172839506,48.45542509296629,50.53647685158755
qwen3.5-397b,Alibaba,41.48148148148148,33.382853015081444,34.37669870358016
DeepSeek-V4-Flash-0731,DeepSeek,43.76543209876543,42.446326021846964,39.06327746282468
gemini-3.7-flash,Google,67.09876543209876,72.38972235671287,69.83431440481952
Claude-Opus-5,Anthropic,76.41975308641975,80.40085755653949,89.96703844958249
