index,DeepSeek-V4-Flash-0731,Qwen3.6-35B,gpt-oss-120b,median
0,80.0,100.0,90.0,90.0
1,50.0,60.0,40.0,50.0
2,80.0,100.0,60.0,80.0
3,80.0,100.0,90.0,90.0
4,40.0,70.0,30.0,40.0
5,60.0,100.0,60.0,60.0
6,90.0,90.0,90.0,90.0
7,70.0,100.0,50.0,70.0
8,80.0,100.0,90.0,90.0
9,100.0,90.0,90.0,90.0
10,30.0,70.0,10.0,30.0
11,90.0,100.0,90.0,90.0
12,90.0,100.0,100.0,100.0
13,90.0,100.0,90.0,90.0
14,70.0,80.0,60.0,70.0
15,60.0,90.0,40.0,60.0
16,100.0,100.0,70.0,100.0
17,70.0,80.0,50.0,70.0
18,100.0,100.0,90.0,100.0
19,100.0,100.0,80.0,100.0
20,90.0,100.0,100.0,100.0
21,90.0,100.0,90.0,90.0
22,70.0,100.0,80.0,80.0
23,60.0,60.0,45.0,60.0
24,30.0,50.0,30.0,30.0
25,100.0,100.0,90.0,100.0
26,90.0,100.0,90.0,90.0
27,20.0,100.0,30.0,30.0
28,90.0,100.0,90.0,90.0
29,90.0,100.0,90.0,90.0
30,60.0,100.0,90.0,90.0
31,70.0,90.0,90.0,90.0
32,90.0,100.0,80.0,90.0
33,60.0,100.0,50.0,60.0
34,40.0,90.0,40.0,40.0
35,100.0,90.0,85.0,90.0
36,90.0,100.0,90.0,90.0
37,40.0,100.0,30.0,40.0
38,70.0,70.0,50.0,70.0
39,100.0,100.0,90.0,100.0
40,90.0,90.0,50.0,90.0
41,90.0,90.0,90.0,90.0
42,90.0,100.0,80.0,90.0
43,70.0,90.0,60.0,70.0
44,70.0,100.0,50.0,70.0
45,70.0,100.0,70.0,70.0
46,90.0,90.0,100.0,90.0
47,80.0,70.0,90.0,80.0
48,90.0,100.0,90.0,90.0
49,80.0,100.0,80.0,80.0
50,50.0,70.0,90.0,70.0
51,80.0,90.0,50.0,80.0
52,40.0,50.0,30.0,40.0
53,90.0,100.0,90.0,90.0
54,90.0,100.0,100.0,100.0
55,60.0,100.0,50.0,60.0
56,90.0,100.0,100.0,100.0
57,90.0,100.0,70.0,90.0
58,90.0,90.0,100.0,90.0
59,70.0,100.0,50.0,70.0
60,60.0,100.0,40.0,60.0
61,70.0,90.0,60.0,70.0
62,60.0,70.0,40.0,60.0
63,60.0,90.0,60.0,60.0
64,100.0,100.0,90.0,100.0
65,60.0,90.0,50.0,60.0
66,30.0,50.0,30.0,30.0
67,100.0,100.0,90.0,100.0
68,90.0,90.0,100.0,90.0
69,30.0,60.0,30.0,30.0
70,30.0,60.0,30.0,30.0
71,90.0,100.0,90.0,90.0
72,100.0,100.0,90.0,100.0
73,90.0,90.0,80.0,90.0
74,40.0,80.0,30.0,40.0
75,80.0,100.0,80.0,80.0
76,90.0,90.0,90.0,90.0
77,90.0,100.0,80.0,90.0
78,40.0,70.0,60.0,60.0
79,70.0,100.0,80.0,80.0
80,90.0,90.0,90.0,90.0
