model,endpoint,dataset,law_book,article,query,target,answer,score,completion_tokens,prompt_tokens,total_cost,finish_reason,time
openai/gpt-5-nano,openrouter,GPBam Laws,gg,2,gg 2,"(1) Jeder hat das Recht auf die freie Entfaltung seiner Persönlichkeit, soweit er nicht die Rechte anderer verletzt und nicht gegen die verfassungsmäßige Ordnung oder das Sittengesetz verstößt. (2) Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unverletzlich. In diese Rechte darf nur auf Grund eines Gesetzes eingegriffen werden.","Artikel 2

(1) Jeder hat das Recht auf die freie Entfaltung seiner Persönlichkeit, soweit er nicht die Rechte anderer verletzt und nicht gegen die verfassungsmäßige Ordnung oder das Sittengesetz verstößt.

(2) Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unantastbar.

(3) Diese Rechte dürfen nur durch Gesetz oder auf Grund eines Gesetzes eingeschränkt werden.",0.8800000000000001,9056,85,0.00362665,stop,78.81194472312927
openai/gpt-5-nano,openrouter,GPBam Laws,gg,14,gg 14,"(1) Das Eigentum und das Erbrecht werden gewährleistet. Inhalt und Schranken werden durch die Gesetze bestimmt. (2) Eigentum verpflichtet. Sein Gebrauch soll zugleich dem Wohle der Allgemeinheit dienen. (3) Eine Enteignung ist nur zum Wohle der Allgemeinheit zulässig. Sie darf nur durch Gesetz oder auf Grund eines Gesetzes erfolgen, das Art und Ausmaß der Entschädigung regelt. Die Entschädigung ist unter gerechter Abwägung der Interessen der Allgemeinheit und der Beteiligten zu bestimmen. Wegen der Höhe der Entschädigung steht im Streitfalle der Rechtsweg vor den ordentlichen Gerichten offen.","Artikel 14 GG regelt Eigentum, Erbrecht und Enteignung. Die Kernaussagen:

- Abs. 1: Das Eigentum und das Erbrecht werden gewährleistet. Eigentum verpflichtet. Sein Gebrauch soll zugleich dem Wohle der Allgemeinheit dienen.
- Abs. 2: Eine Enteignung ist nur durch Gesetz zulässig. Die Entschädigung bestimmt sich nach dem Gesetz; sie soll in der Regel dem Wert des enteigneten Rechtsgegenstands entsprechen und wird in Geld zu leisten sein.
- Abs. 3: Das Grundrecht auf Eigentum ist in besonderem Maß durch staatliche Regelungen geschützt und wird im Rahmen der vorhandenen Gesetzgebung sowie der allgemeinen Rechtsordnung ausgestaltet.

Hinweis: Wenn du den wörtlichen Wortlaut der neuesten Fassung exakt benötigst, sag mir kurz Bescheid, dann liefere ich dir die aktuelle wörtliche Fassung aus dem offiziellen Gesetzestext.",0.3225806451612903,12843,85,0.00514145,stop,101.11235904693604
openai/gpt-5-nano,openrouter,GPBam Laws,gg,12,gg 12,"(1) Alle Deutschen haben das Recht, Beruf, Arbeitsplatz und Ausbildungsstätte frei zu wählen. Die Berufsausübung kann durch Gesetz oder auf Grund eines Gesetzes geregelt werden. (2) Niemand darf zu einer bestimmten Arbeit gezwungen werden, außer im Rahmen einer herkömmlichen allgemeinen, für alle gleichen öffentlichen Dienstleistungspflicht. (3) Zwangsarbeit ist nur bei einer gerichtlich angeordneten Freiheitsentziehung zulässig.","Art. 12 GG
(1) Alle Deutschen haben das Recht, Beruf, Arbeitsplatz und Ausbildungsstätte frei zu wählen.
(2) Die Berufsausübung kann durch Gesetz geregelt werden.
(3) Niemand darf zu Zwangsarbeit herangezogen werden.",0.5625,6826,85,0.00273465,stop,48.09004878997803
openai/gpt-5-nano,openrouter,GPBam Laws,gg,5,gg 5,"(1) Jeder hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten und sich aus allgemein zugänglichen Quellen ungehindert zu unterrichten. Die Pressefreiheit und die Freiheit der Berichterstattung durch Rundfunk und Film werden gewährleistet. Eine Zensur findet nicht statt. (2) Diese Rechte finden ihre Schranken in den Vorschriften der allgemeinen Gesetze, den gesetzlichen Bestimmungen zum Schutze der Jugend und in dem Recht der persönlichen Ehre. (3) Kunst und Wissenschaft, Forschung und Lehre sind frei. Die Freiheit der Lehre entbindet nicht von der Treue zur Verfassung.","Artikel 5 GG
(1) Jeder hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten und sich aus allgemein zugänglichen Quellen ungehindert zu unterrichten.
(2) Die",0.4806201550387597,0,0,0.0,content_filter,50.43888735771179
openai/gpt-5-nano,openrouter,GPBam Laws,gg,20,gg 20,"(1) Die Bundesrepublik Deutschland ist ein demokratischer und sozialer Bundesstaat. (2) Alle Staatsgewalt geht vom Volke aus. Sie wird vom Volke in Wahlen und Abstimmungen und durch besondere Organe der Gesetzgebung, der vollziehenden Gewalt und der Rechtsprechung ausgeübt. (3) Die Gesetzgebung ist an die verfassungsmäßige Ordnung, die vollziehende Gewalt und die Rechtsprechung sind an Gesetz und Recht gebunden. (4) Gegen jeden, der es unternimmt, diese Ordnung zu beseitigen, haben alle Deutschen das Recht zum Widerstand, wenn andere Abhilfe nicht möglich ist.","Artikel 20

(1) Die Bundesrepublik Deutschland ist ein demokratischer und sozialer Bundesstaat.

(2) Alle Staatsgewalt geht vom Volke aus. Sie wird vom Volke in Wahlen und Abstimmungen und durch besondere Organe der Gesetzgebung, der vollziehenden Gewalt und der Rechtsprechung ausgeübt.

(3) Die Gesetzgebung ist an die verfassungsmäßige Ordnung gebunden. Die vollziehende Gewalt und die Rechtsprechung sind an Gesetz und Recht gebunden.

(4) Gegen jeden, der es auf die Beseitigung der verfassungsmäßigen Ordnung abgesehen hat, richtet sich der Widerstand.",0.8121212121212122,5502,85,0.00220505,stop,53.23370170593262
openai/gpt-5-nano,openrouter,GPBam Laws,gg,3,gg 3,"(1) Alle Menschen sind vor dem Gesetz gleich. (2) Männer und Frauen sind gleichberechtigt. Der Staat fördert die tatsächliche Durchsetzung der Gleichberechtigung von Frauen und Männern und wirkt auf die Beseitigung bestehender Nachteile hin. (3) Niemand darf wegen seines Geschlechtes, seiner Abstammung, seiner Rasse, seiner Sprache, seiner Heimat und Herkunft, seines Glaubens, seiner religiösen oder politischen Anschauungen benachteiligt oder bevorzugt werden. Niemand darf wegen seiner Behinderung benachteiligt werden.","Art. 3 GG
(1) Alle Menschen sind vor dem Gesetz gleich.
(2) Männer und Frauen sind gleichberechtigt",0.3296703296703296,0,0,0.0,content_filter,37.48033404350281
openai/gpt-5-nano,openrouter,GPBam Laws,gg,8,gg 8,"(1) Alle Deutschen haben das Recht, sich ohne Anmeldung oder Erlaubnis friedlich und ohne Waffen zu versammeln. (2) Für Versammlungen unter freiem Himmel kann dieses Recht durch Gesetz oder auf Grund eines Gesetzes beschränkt werden.","Artikel 8 GG – Versammlungsfreiheit (Stand der aktuellen Fassung)
(1) Alle Deutschen haben das Recht, sich ohne Anmeldung oder Erlaubnis friedlich und zu jeder Zeit zu versammeln.
(2) Die Versammlungsfreiheit wird durch das Gesetz geschützt. Versammlungen unter freiem Himmel bedürfen keiner Anmeldung oder Erlaubnis, es sei denn, das Gesetz bestimmt etwas anderes.

Hinweis: Wenn du den wortwörtlichen, gesetzestextgenauen Wortlaut aus der offiziell veröffentlichten Fassung (BGBl/gesetze-im-internet.de) brauchst, sag Bescheid – ich liefere dir dann den direkten Wortlaut aus der neuesten veröffentlichten Fassung.",0.33599999999999997,12820,85,0.00513225,stop,70.96087718009949
openai/gpt-5-nano,openrouter,GPBam Laws,gg,19,gg 19,"(1) Soweit nach diesem Grundgesetz ein Grundrecht durch Gesetz oder auf Grund eines Gesetzes eingeschränkt werden kann, muß das Gesetz allgemein und nicht nur für den Einzelfall gelten. Außerdem muß das Gesetz das Grundrecht unter Angabe des Artikels nennen. (2) In keinem Falle darf ein Grundrecht in seinem Wesensgehalt angetastet werden. (3) Die Grundrechte gelten auch für inländische juristische Personen, soweit sie ihrem Wesen nach auf diese anwendbar sind. (4) Wird jemand durch die öffentliche Gewalt in seinen Rechten verletzt, so steht ihm der Rechtsweg offen. Soweit eine andere Zuständigkeit nicht begründet ist, ist der ordentliche Rechtsweg gegeben. Artikel 10 Abs. 2 Satz 2 bleibt unberührt.","Art. 19 GG
(1) Soweit nach dem Grundgesetz ein Grundrecht durch Gesetz oder aufgrund eines Gesetzes eingeschränkt werden darf, ist dieses Gesetz ungültig, soweit es das Grundgesetz verletzt.
(2) In keinem Fall darf ein Grundrecht so eingeschränkt werden, dass sein Wesensgehalt berührt wird.
(3) Die Schranken der Grundrechte ergeben sich aus dem Grundgesetz.",0.304093567251462,14316,85,0.00573065,stop,78.74587535858154
openai/gpt-5-nano,openrouter,GPBam Laws,gg,34,gg 34,"Verletzt jemand in Ausübung eines ihm anvertrauten öffentlichen Amtes die ihm einem Dritten gegenüber obliegende Amtspflicht, so trifft die Verantwortlichkeit grundsätzlich den Staat oder die Körperschaft, in deren Dienst er steht. Bei Vorsatz oder grober Fahrlässigkeit bleibt der Rückgriff vorbehalten. Für den Anspruch auf Schadensersatz und für den Rückgriff darf der ordentliche Rechtsweg nicht ausgeschlossen werden.","Die Beamten des Bundes und der Länder haften dem Geschädigten auf Schadenersatz, soweit ihnen nach dem Gesetz durch rechtswidriges oder schuldhaftes Verhalten in Ausübung ihres Amtes ein Schaden entstanden ist.",0.0816326530612245,11813,85,0.00472945,stop,75.44711780548096
openai/gpt-5-nano,openrouter,GPBam Laws,gg,4,gg 4,"(1) Die Freiheit des Glaubens, des Gewissens und die Freiheit des religiösen und weltanschaulichen Bekenntnisses sind unverletzlich. (2) Die ungestörte Religionsausübung wird gewährleistet. (3) Niemand darf gegen sein Gewissen zum Kriegsdienst mit der Waffe gezwungen werden. Das Nähere regelt ein Bundesgesetz.","Artikel 4

(1) Die Freiheit des Glaubens, des Gewissens und die Freiheit des religiösen und weltanschaulichen Bekenntnisses sind unverletzlich.
(2) Die ungestörte Ausübung der Religion wird gewährleistet.
(3) Niemand darf gegen sein Gewissen zu einer religiösen Handlung, auch zu einer religiösen Zeremonie, gezwungen werden.",0.7083333333333334,8582,85,0.00343705,stop,47.368656158447266
