index,score,judging_cost,score_Judge (gpt-5-nano),score_Judge (Qwen3.6-35B-A3B-FP8),score_Judge (DeepSeek-V4-Flash),legal_ref_sim,finish_reason,prompt_tokens,time,completion_tokens,total_tokens,total_cost,temperature,top_p,model,score_Judge (qwen3.6-35b-a3b)
0,0.4,,0.4,0.5,0.5,0.1587301587301587,stop,4023.0,132.327978849411,5541.0,9564.0,0.014963859,,,deepseek/deepseek-r1-0528,
1,0.3,,0.4,0.4,0.3,0.131578947368421,stop,3397.0,184.14556074142456,5383.0,8780.0,0.01318555,,,deepseek/deepseek-r1-0528,
2,0.4,,0.4,0.5,0.4,0.2777777777777778,stop,13117.0,242.94783973693848,7008.0,20125.0,0.0215393,,,deepseek/deepseek-r1-0528,
3,0.3,,0.3,0.4,0.3,0.2391304347826087,stop,4690.0,177.9372456073761,2951.0,7641.0,0.00877818,,,deepseek/deepseek-r1-0528,
4,0.0,,0.3,0.2,0.0,0.0943396226415094,stop,3575.0,51.71992564201355,1835.0,5410.0,0.00564635,,,deepseek/deepseek-r1-0528,
5,0.1,,0.5,0.2,0.1,0.1296296296296296,stop,33498.0,205.18941521644592,5166.0,38664.0,0.030936834,,,deepseek/deepseek-r1-0528,
6,0.2,,0.3,0.5,0.2,0.1194029850746268,stop,11374.0,142.0920069217682,4357.0,15731.0,0.01496815,,,deepseek/deepseek-r1-0528,
7,0.3,,0.8,0.5,0.3,0.2702702702702703,stop,5768.0,86.88335967063904,3039.0,8807.0,0.00940825,,,deepseek/deepseek-r1-0528,
8,0.2,,0.5,0.5,0.2,0.0833333333333333,stop,5327.0,183.5315577983856,5383.0,10710.0,0.01422735,,,deepseek/deepseek-r1-0528,
9,0.1,,0.2,0.2,0.1,0.1428571428571428,stop,71425.0,145.6570703983307,3847.0,75272.0,0.049577917,,,deepseek/deepseek-r1-0528,
10,0.3,,0.5,0.5,0.3,0.1935483870967742,stop,4055.0,188.7807903289795,4866.0,8921.0,0.012403,,,deepseek/deepseek-r1-0528,
11,0.0,,0.6,0.2,0.0,0.1129032258064516,stop,72396.0,145.9346010684967,3541.0,75937.0,0.04372475,,,deepseek/deepseek-r1-0528,
12,0.3,,0.6,0.4,0.3,0.3333333333333333,stop,2768.0,145.77529048919678,3795.0,6563.0,0.00945685,,,deepseek/deepseek-r1-0528,
13,0.2,,0.2,0.3,0.2,0.1234567901234567,stop,11390.0,124.04005765914916,3282.0,14672.0,0.0126649,,,deepseek/deepseek-r1-0528,
14,0.2,,0.4,0.3,0.2,0.064516129032258,stop,5395.0,172.51139092445374,4612.0,10007.0,0.0124597,,,deepseek/deepseek-r1-0528,
15,0.2,,0.4,0.3,0.2,0.1666666666666666,stop,12377.0,256.96310019493103,7173.0,19550.0,0.02152405,,,deepseek/deepseek-r1-0528,
16,0.3,,0.9,0.3,0.3,0.3055555555555556,stop,20646.0,172.4606955051422,4829.0,25475.0,0.02061895,,,deepseek/deepseek-r1-0528,
