row,cond,value,bold
DeepSeek-V4-Flash,_gold_combined,4.13,1
DeepSeek-V4-Flash,_gold_unc,5.06,1
DeepSeek-V4-Flash,_gold_shuf,2.22,0
DeepSeek-V4-Flash,_gold_pad,4.2,1
DeepSeek-V4-Flash,_gold_cites,-0.19,0
DeepSeek-V4-Flash,_gold_top10,2.84,0
Gemma-4-31B,_gold_combined,5.37,1
Gemma-4-31B,_gold_unc,6.23,1
Gemma-4-31B,_gold_shuf,5.25,1
Gemma-4-31B,_gold_pad,5.25,1
Gemma-4-31B,_gold_cites,0.56,0
Gemma-4-31B,_gold_top10,5.31,1
gpt-oss-120B,_gold_combined,5.86,1
gpt-oss-120B,_gold_unc,5.74,1
gpt-oss-120B,_gold_shuf,3.46,1
gpt-oss-120B,_gold_pad,2.04,0
gpt-oss-120B,_gold_cites,0.0,0
gpt-oss-120B,_gold_top10,5.43,1
