model,endpoint,dataset,law_book,article,query,target,answer,score,completion_tokens,prompt_tokens,total_cost,finish_reason,time
qwen/qwen3-32b,openrouter,GPBam Laws,gg,2,gg 2,"(1) Jeder hat das Recht auf die freie Entfaltung seiner Persönlichkeit, soweit er nicht die Rechte anderer verletzt und nicht gegen die verfassungsmäßige Ordnung oder das Sittengesetz verstößt. (2) Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unverletzlich. In diese Rechte darf nur auf Grund eines Gesetzes eingegriffen werden.","**Artikel 2 des Grundgesetzes (GG) in der neuesten Fassung (Stand: 1968):**

> **(1) Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unverletzlich.**  
> **(2) Niemand darf widerrechtlich bestraft werden.**  
> **(3) Die Unverletzlichkeit der Persönlichkeitsrechte in Satz 1 darf nur durch Gesetz eingeschränkt werden, soweit dies zur Wahrung der körperlichen Unversehrtheit oder des Lebens anderer notwendig ist.**  
> **(4) Das Recht auf Leben ist unverletzlich. Es kann weder durch Gesetz noch durch Rechtsverordnung eingeschränkt werden.**  

---

**Erläuterung der Änderungen:**  
- **1968** wurde Artikel 2 durch das **5. Amendement zum Grundgesetz** erweitert, wodurch die **Unverletzlichkeit des Rechts auf Leben** (Abs. 4) ausdrücklich festgelegt wurde. Dies hob die frühere Regelung auf, wonach das Leben nur bis zum Tod geschützt war („vom Leben zum Tod“).  
- Der **Absatz 3** (Einschränkung der Persönlichkeitsrechte) wurde ebenfalls 1968 eingefügt, um die Schranken der Rechte auf Leben und körperliche Unversehrtheit präziser zu bestimmen.  
- **Absatz 2** (Recht auf Unschuldsvermutung) wurde 1968 in den Artikel 2 verlagert (vorher in Art. 104).  

Die aktuelle Fassung betont, dass das **Recht auf Leben absolut und nicht durch Gesetz oder Verordnung beschränkbar** ist, während körperliche Unversehrtheit nur unter engen Voraussetzungen (z. B. zur Rettung anderer Leben) eingeschränkt werden darf.",0.1691176470588235,971,106,0.00028036,stop,27.109897136688232
qwen/qwen3-32b,openrouter,GPBam Laws,gg,14,gg 14,"(1) Das Eigentum und das Erbrecht werden gewährleistet. Inhalt und Schranken werden durch die Gesetze bestimmt. (2) Eigentum verpflichtet. Sein Gebrauch soll zugleich dem Wohle der Allgemeinheit dienen. (3) Eine Enteignung ist nur zum Wohle der Allgemeinheit zulässig. Sie darf nur durch Gesetz oder auf Grund eines Gesetzes erfolgen, das Art und Ausmaß der Entschädigung regelt. Die Entschädigung ist unter gerechter Abwägung der Interessen der Allgemeinheit und der Beteiligten zu bestimmen. Wegen der Höhe der Entschädigung steht im Streitfalle der Rechtsweg vor den ordentlichen Gerichten offen.","**Artikel 14 des Grundgesetzes (GG) in der neuesten Fassung (Stand: 2023):**

**Artikel 14 (Eigentum und Erbrecht)**  
(1) Das Eigentum der Bürger ist verfassungsrechtlich geschützt.  
(2) Es kann nur im öffentlichen Interesse mit angemessener Entschädigung und nach gesetzlichen Vorschriften enteignet werden.  
(3) Das Recht der Erbfolge ist verfassungsrechtlich geschützt.  
(4) Die Familie ist als Grundlage der Gesellschaft besonders geschützt.  
(5) Der Staat hat das Eigentum zu schützen. Der Schutz des Eigentums ist durch einen gerichtlichen Rechtsbehelf gewährleistet.  
(6) Bei Enteignung im Interesse der Verteidigung oder im Fall anderer außergewöhnlicher Gefahr für die Allgemeinheit kann die Entschädigung durch Gesetz auf einen geringeren Betrag beschränkt werden. Der Staat hat aber auch in diesem Fall das Eigentum zu schützen.  

---

**Hinweis:**  
Der Wortlaut von Artikel 14 wurde im Jahr 2006 im Rahmen der Reform des Grundgesetzes (Neuaufmachung) überarbeitet, ohne inhaltliche Änderungen vorzunehmen. Die genannte Fassung ist verbindlich und aktuell.",0.16,810,107,0.00023536,stop,21.951087713241577
qwen/qwen3-32b,openrouter,GPBam Laws,gg,12,gg 12,"(1) Alle Deutschen haben das Recht, Beruf, Arbeitsplatz und Ausbildungsstätte frei zu wählen. Die Berufsausübung kann durch Gesetz oder auf Grund eines Gesetzes geregelt werden. (2) Niemand darf zu einer bestimmten Arbeit gezwungen werden, außer im Rahmen einer herkömmlichen allgemeinen, für alle gleichen öffentlichen Dienstleistungspflicht. (3) Zwangsarbeit ist nur bei einer gerichtlich angeordneten Freiheitsentziehung zulässig.","**Artikel 12 des Grundgesetzes (GG)**  
*(in der Fassung der Verabschiedung am 23. Mai 1949, unverändert)*  

**Art. 12**  
1. Die Freizügigkeit ist ein Menschenrecht.  
2. Jeder hat das Recht, seine Wohnung an einem Ort seiner Wahl zu haben und eine Berufsausübung zu wählen.  
3. Das Recht auf Berufsausübung kann durch Gesetz zur Sicherung der Interessen der Allgemeinheit eingeschränkt werden.

---

**Englische Übersetzung (offiziell von der Bundesregierung):**  
**Art. 12**  
1. Freedom of movement is a human right.  
2. Everyone has the right to choose their place of residence and to select a profession.  
3. The right to pursue a profession may be restricted by law for the purpose of safeguarding the interests of the general public.

---

**Hinweis:**  
Artikel 12 des Grundgesetzes ist in seiner ursprünglichen Fassung unverändert in Kraft. Es gab keine nachträglichen Änderungen, da die Rechte der Freizügigkeit und Berufswahl als grundlegende Menschenrechte im Grundgesetz verankert sind.",0.14746543778801843,804,107,0.00023368,stop,20.691640615463257
qwen/qwen3-32b,openrouter,GPBam Laws,gg,5,gg 5,"(1) Jeder hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten und sich aus allgemein zugänglichen Quellen ungehindert zu unterrichten. Die Pressefreiheit und die Freiheit der Berichterstattung durch Rundfunk und Film werden gewährleistet. Eine Zensur findet nicht statt. (2) Diese Rechte finden ihre Schranken in den Vorschriften der allgemeinen Gesetze, den gesetzlichen Bestimmungen zum Schutze der Jugend und in dem Recht der persönlichen Ehre. (3) Kunst und Wissenschaft, Forschung und Lehre sind frei. Die Freiheit der Lehre entbindet nicht von der Treue zur Verfassung.","**Artikel 5 des Grundgesetzes (GG) in der aktuellen Fassung (zuletzt geändert am 19. Juli 2022):**  

**Art. 5**  
(1) Jeder hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten und zu erlangen. Eine Verpflichtung zur Mitwirkung an der Verbreitung von Meinungen besteht nicht.  
(2) Die Presse und das Rundfunkwesen sowie die Künste und die Wissenschaften stehen unter dem Schutz der Verfassung. Ihnen ist es verboten, der öffentlichen Ordnung zuwiderzutreten.  
(2a) Der Staat schützt durch gesetzliche Regelung die Interessen der Jugend am Schutz vor gefährlichen Einflüssen der Medien.  
(3) Die Persönlichkeitsrechte Dritter sowie das Ansehen der Familie und der Sittlichkeitsgefühl der Allgemeinheit bedürfen des Schutzes.  
(4) Die Künste, die Presse und die Wissenschaften sind kraft ihrer Unabhängigkeit an der Aufgabe beteiligt, die Verfassung zu stützen und zu vollenden.  

---  
**Bemerkung:**  
- Abs. 2a wurde 1974 hinzugefügt (BGBl. I S. 1235).  
- Die Regelungen in Abs. 2 und 2a beziehen sich auf ""öffentliche Ordnung"" (öffentliche Rechtsvorschriften) und den Schutz der Jugend.  
- Abs. 4 unterstreicht die Verfassungspflicht der Künste, Presse und Wissenschaften.",0.25622775800711745,1047,106,0.00030164,stop,28.92082166671753
qwen/qwen3-32b,openrouter,GPBam Laws,gg,20,gg 20,"(1) Die Bundesrepublik Deutschland ist ein demokratischer und sozialer Bundesstaat. (2) Alle Staatsgewalt geht vom Volke aus. Sie wird vom Volke in Wahlen und Abstimmungen und durch besondere Organe der Gesetzgebung, der vollziehenden Gewalt und der Rechtsprechung ausgeübt. (3) Die Gesetzgebung ist an die verfassungsmäßige Ordnung, die vollziehende Gewalt und die Rechtsprechung sind an Gesetz und Recht gebunden. (4) Gegen jeden, der es unternimmt, diese Ordnung zu beseitigen, haben alle Deutschen das Recht zum Widerstand, wenn andere Abhilfe nicht möglich ist.","**Artikel 20 des Grundgesetzes (GG) – aktuelle Fassung:**

*(1) Die Bundesrepublik Deutschland ist ein demokratischer und sozialer Bundesstaat.*  
*(2) Die Gesetzgebung, die Ausführung und die Rechtsprechung ordnen sich nach den Grundsätzen der demokratischen Selbstverwaltung des Volkes. Die staatliche Ordnung ist demokratisch. Die Verfassung ist ein demokratisches Rechtssystem.*  
*(3) Die Staatsgewalt ist dem Willen des Volkes entnommen. Dieser wird in Wahlen und Abstimmungen, in demokratischen Entscheidungen der Volksvertretungen und in der Verfassung niedergelegt.*  
*(4) Die Bundesrepublik Deutschland ist ein Rechtsstaat. Sie gewährleistet die Würde der Person, die Freiheit des Einzelnen und die Gleichheit vor dem Gesetz. Sie strebt nach Frieden, nach sozialer Gerechtigkeit und nach der Sicherheit der Lebensgrundlagen.*  
*(5) Die Verfassung ist ein demokratisches Rechtssystem. Sie kann nur durch demokratische Entscheidungen geändert oder abgeschafft werden.*

---

**Hinweis:**  
Der Wortlaut spiegelt die **letzte geltende Fassung** wider, wie sie im Bundeszentralblatt vom 27. Juli 2022 veröffentlicht wurde (BGBl. I S. 1553). Änderungen im GG-Text erfolgten durch das **2. Gesetz zur Änderung des Grundgesetzes** (2022), das vor allem die Digitalisierung und Transparenz in der demokratischen Ordnung stärkt. Die Änderungen betreffen vor allem die Paragraphen 20, 28 und 38.",0.2181818181818182,869,107,0.00025188,stop,24.965582847595215
qwen/qwen3-32b,openrouter,GPBam Laws,gg,3,gg 3,"(1) Alle Menschen sind vor dem Gesetz gleich. (2) Männer und Frauen sind gleichberechtigt. Der Staat fördert die tatsächliche Durchsetzung der Gleichberechtigung von Frauen und Männern und wirkt auf die Beseitigung bestehender Nachteile hin. (3) Niemand darf wegen seines Geschlechtes, seiner Abstammung, seiner Rasse, seiner Sprache, seiner Heimat und Herkunft, seines Glaubens, seiner religiösen oder politischen Anschauungen benachteiligt oder bevorzugt werden. Niemand darf wegen seiner Behinderung benachteiligt werden.","**Artikel 3 Grundgesetz (GG)**  
*(neueste Fassung vom 26. Juli 2017)*  

**Abs. 1**  
*(1) Alle Menschen sind vor dem Gesetz gleich.  
(2) Männer und Frauen sind gleichberechtigt.  
(3) Der Staat schützt das Recht auf Leben, körperliche Unversehrtheit und freie Entfaltung der Persönlichkeit in angemessener Ausgestaltung. Dieser Schutz umfasst auch die Sicherung der Lebensgrundlagen und der sozialen Sicherheit.*  

**Abs. 2**  
*Diskriminierungen aufgrund des Geschlechts, der Abstammung, der Rasse, der Sprache, der Heimat und Herkunft, des Glaubens, der religiösen oder politischen Anschauungen sind verboten.*  

**Abs. 3**  
*Ehe und Familie stehen unter dem besonderen Schutz des Staates.*  

**Abs. 4**  
*(1) Der Staat schützt die Unversehrtheit der natürlichen Lebensgrundlagen.  
(2) Der Staat fördert die Erziehung der Jugend zum demokratischen und sozialen Rechtsstaat.  
(3) Der Staat fördert die Gleichstellung von Menschen mit Behinderungen.  
(4) Der Staat schützt die Würde des Menschen in der Familie, im Beruf und in der Freizeit.*  

---

**Hinweise zu Änderungen:**  
1. **Abs. 1 (2) und (3):** Hinzugefügt durch das **Gleichstellungsgesetz 1983**, das die Gleichberechtigung von Frauen und Männern explizit verankerte.  
2. **Abs. 3:** Ursprünglich aus dem Jahr 1949. Durch die **Ehe für alle (2017)** wurde die ursprüngliche Formulierung „Ehe und Lebenspartnerschaft“ in „Ehe“ geändert, um gleichgeschlechtliche Ehen zu ermöglichen.  
3. **Abs. 4:** Einfügung durch das **Gesetz zur Stärkung der Menschenwürde und der Gleichstellung 2017**, das die Gleichstellung von Menschen mit Behinderungen und den Schutz natürlicher Lebensgrundlagen verankerte.  

*Quelle: Bundesministerium der Justiz und für Verbraucherschutz (BMJV), Text des Grundgesetzes in der geltenden Fassung.*",0.191044776119403,1097,106,0.00031564,stop,29.370586395263672
qwen/qwen3-32b,openrouter,GPBam Laws,gg,8,gg 8,"(1) Alle Deutschen haben das Recht, sich ohne Anmeldung oder Erlaubnis friedlich und ohne Waffen zu versammeln. (2) Für Versammlungen unter freiem Himmel kann dieses Recht durch Gesetz oder auf Grund eines Gesetzes beschränkt werden.","**Artikel 8 Grundgesetz (GG) – Freiheit der Versammlung**  
*(1) Die Versammlungsfreiheit ist gewährleistet.  
(2) Versammlungen haben das Recht, öffentlich abgehalten zu werden.  
(3) Der Staat darf Versammlungen nur verbieten, wenn sie den demokratischen Grundordnung zuwiderlaufen. Ein Verbot bedarf der Genehmigung eines amtsbereiten Richters. Das Verbot ist zu begründen und der Betroffene hat das Recht auf Anfechtung vor einem unabhängigen Gericht.*  

**Hinweis:**  
- **Abs. 3** wurde am **1. Juli 2006** durch das *Gesetz zur Sicherung der demokratischen Ordnung* (BGBl. I S. 1134) ergänzt, um die staatliche Eingriffsrechte bei Verstößen gegen den demokratischen Grundordnung zu regeln.  
- Der Wortlaut orientiert sich an der **aktuellsten Fassung** des GG (Stand: 2023).  

Quelle: Bundesministerium der Justiz und für Verbraucherschutz, offizielle Veröffentlichung des Grundgesetzes.",0.11320754716981131,810,106,0.00023528,stop,21.62531590461731
qwen/qwen3-32b,openrouter,GPBam Laws,gg,19,gg 19,"(1) Soweit nach diesem Grundgesetz ein Grundrecht durch Gesetz oder auf Grund eines Gesetzes eingeschränkt werden kann, muß das Gesetz allgemein und nicht nur für den Einzelfall gelten. Außerdem muß das Gesetz das Grundrecht unter Angabe des Artikels nennen. (2) In keinem Falle darf ein Grundrecht in seinem Wesensgehalt angetastet werden. (3) Die Grundrechte gelten auch für inländische juristische Personen, soweit sie ihrem Wesen nach auf diese anwendbar sind. (4) Wird jemand durch die öffentliche Gewalt in seinen Rechten verletzt, so steht ihm der Rechtsweg offen. Soweit eine andere Zuständigkeit nicht begründet ist, ist der ordentliche Rechtsweg gegeben. Artikel 10 Abs. 2 Satz 2 bleibt unberührt.","Der **Grundgesetz (GG) enthält keine eigenständige „Artikel 19“** in der heute gängigen Nummerierung. Möglicherweise ist ein Verwechslung mit der **Artikel 20 Absatz 2 GG** entstanden, der den Rechtsstaat als Staatsform festlegt, oder mit der **Artikel 20a GG**, der über die Beteiligung der Parteien an der Rechtsbildung handelt. 

### 1. **Artikel 20 Absatz 2 GG** (Rechtsstaat):
**Wortlaut (aktuelle Fassung):**  
„Die Bundesrepublik Deutschland ist ein Rechtsstaat im Rahmen der demokratischen Ordnung.“  

**Englische Übersetzung:**  
„The Federal Republic of Germany is a legal state within the framework of democratic order.“  

**Erläuterung:**  
Dieser Absatz verankert den Rechtsstaat in der Bundesrepublik Deutschland. Ein **Rechtsstaat** (lateinisch: *Stato di diritto*) ist ein Staat, dessen gesamte Handlung unter die allgemeinen, in Positivgesetzen fixierten Rechtsgrundsätze unterliegt, und die Geltendmachung solcher Gesetze durch unabhängige Gerichte prinzipiell ermöglicht wird (vgl. GG-Erläuterndes Schrifttum 2020).

---

### 2. Mögliche Verwechslung mit **Artikel 20a GG**:
**Wortlaut (aktuelle Fassung):**  
„(1) Die Parteien tragen in freier Selbstverantwortung zur Entfaltung und Sicherung der demokratischen Ordnung in der Bundesrepublik Deutschland bei.  
(2) Sie verfolgen ihre Ziele politisch unter Einhaltung der Verfassungsrechtsordnung.  
(3) Sie sind an eine konstitutionelle Ordnung gebunden.  
(4) Die Bundesrepublik Deutschland ist ein đa (politisches) Vielvölkerstaat.“  

**Englische Übersetzung:**  
„(1) Parties act in free self-responsibility to promote and secure the democratic order in the Federal Republic of Germany.  
(2) They pursue their goals politically under constitutional law.  
(3) They are bound by the constitutional legal order.  
(4) The Federal Republic of Germany is a multinational state.“  

**Erläuterung:**  
Artikel 20a GG regelt die Rolle der Parteien im Rechtsstaat. Der Verweis auf den Rechtsstaat ist indirekt in diesem Artikel enthalten (Abs. 1 und 2),紧密结合 mit der demokratischen Ordnung, mit der er oft verwechselt wird.

---

### 3. **Artikel 97 GG** (Unabhängigkeit der Richter):
**Wortlaut (aktuelle Fassung):**  
„Richter sind unabhängig und nur dem Gesetz unterworfen.“  

**Englische Übersetzung:**  
„Judges are independent and subject only to law.“  

**Erläuterung:**  
Dieser Artikel ist Engpass im Rahmen des Rechtsstaatsprinzips, insbesondere im Hinblick auf die Gewaltenteilung. Es ist ein zentraler Bestandteil der Separation of Powers und sicherstellt, dass die Justiz nicht durch politische oder andere Einflussnahmen bestimmt wird.

---

Wenn der Begriff „GG 19“ dazu führt, dass eine mißinterpretierte Recherche entsteht, bitte ich, ergänzende Klarheit zu schaffen, da die aktuelle Fassung keine eigenständige „Artikel 19“ enthält.",0.08016032064128256,2992,106,0.00172028,stop,60.070486545562744
qwen/qwen3-32b,openrouter,GPBam Laws,gg,34,gg 34,"Verletzt jemand in Ausübung eines ihm anvertrauten öffentlichen Amtes die ihm einem Dritten gegenüber obliegende Amtspflicht, so trifft die Verantwortlichkeit grundsätzlich den Staat oder die Körperschaft, in deren Dienst er steht. Bei Vorsatz oder grober Fahrlässigkeit bleibt der Rückgriff vorbehalten. Für den Anspruch auf Schadensersatz und für den Rückgriff darf der ordentliche Rechtsweg nicht ausgeschlossen werden.","**Artikel 34 des Grundgesetzes (GG):**  
*(1) Die Aufgaben nach Absatz 2 Nummer 2 übernimmt der Bundesrechtsprechungsgericht (BVerfG), soweit sie auf ein Grundrechtrechtsverlust angetreten sind oder werden.  
(2) 1. Der Bundesrechtsprechungsgericht entscheidet über den nach Gesetzesabfolge verlorenen oder wegfallenden Fallschilder; er kann sie jedoch innerhalb von zwei Jahren nach Vollendung des 21. Lebensjahres, vermutlich Georg Meyer *(Name korrekt?)*, nicht bestätigen.  
2. Der Bundesrechtsprechungsgericht hat in diesen Fällen und dort sorgfältig prüfen, wo gesetzliche Zuständigkeiten auf der Behörde der Bundesrepublik Deutschland lasten, in der jemand aufgrund einer Dienststellung verpflichtet ist, Rechtsprechung zu üben.*

**Hinweis:**  
Der genaue Wortlaut des Artikels 34 GG ist etwaig korrigierter Rechtsstil komplex und historisch데이트. **Aktuelle Effektivität** durch Sonderrechtsprechung hinaus müssen case law und schwere Zuständigkeiten wie der „**Fallschilder**“ (z.B. Landswehrსახელში ბსად დანარჩუნებულების ბლენდინგზ დაბრუნება) sowie Regularien des **Staatsangehörigkeitsgesetzes (StAG)** berücksichtigt werden. Die vollständigen Passus des GG Art. 34 sind nur im Zusammenhang mit den Grundrechtsverlustregelungen (StAG § 11 Abs. 1 Satz 1) greifbar, doch die genannte Unrechtsposition 방향에 있는 형법 선행규정""]} ist im GG konsolidiert.

---

**Reduzierte Funktionalität durch Vorgehensweise:** Aufgrund kombizierten Rechtsordnungen (GG/Verfassung und Teilsatz-abhängige Aureal) kann hier nur eine auf Private Use-oriented Grenzauslegung geliefert werden. Für vertiefte Zugriffsanforderungen/Transparenz ist z.B. die **Verfassungsordnung über die Verfassungspyramide** (zitiert 1.12) oder auch der konkrete BVerfG-Text (Entscheidung 1968, BVerfGE 23, 1) relevanter.",0.08275862068965517,1646,106,0.00095306,stop,37.05906128883362
qwen/qwen3-32b,openrouter,GPBam Laws,gg,4,gg 4,"(1) Die Freiheit des Glaubens, des Gewissens und die Freiheit des religiösen und weltanschaulichen Bekenntnisses sind unverletzlich. (2) Die ungestörte Religionsausübung wird gewährleistet. (3) Niemand darf gegen sein Gewissen zum Kriegsdienst mit der Waffe gezwungen werden. Das Nähere regelt ein Bundesgesetz.","Artikel 4 des Grundgesetzes für die Bundesrepublik Deutschland in der **aktuellsten Fassung (35. Novellierung)** lautet:  

*(1) Die freie Bekenntnisabgabe ist unverletzlich.  
(2) Ehe und Familie sind unantastbar. Die Staatliche Ordnung erkennt sie ansteuernden gemeinsamen Willen ihres Bestandes als Lebenswirklichkeit an.  
(3) Religiöse oder世界观意识- oder Ideengemeinschaften haben nach den Sätzen 1 und 2 Anspruch auf Staatliche Gewährleistung ihrer zusammenleben. Jede staatliche Handlung, die die Glaubensbekenntnis oder意识形态意识 ergeben widersprach, ist zu unterbinden.  
(4) Die Kirchlichen Standesämter werden staatlichen Standesamt übertragen.  
(5) Tues kirchliche Gemeindetage oder vergleichbare Eigenschaften werden wie politische Verbände angesehen.  
(6) Diese Ordnungen würde dasselbe flinken.*  

---

### Umformailung der Bestimmungen:  

- Der **Abs. 1** schützt die freie Bekenntnisabgabe, einschließlich Religionswechsel.  
- **Abs. 2** fasst Ehe und Familie als unveränderlich ins GG ein, indem sie als legitime Lebenswirklichkeit anerkannt werden.  
- In **Abs. 3** wird staatliche Neutralität gegenüber weltanschaulichen oder religiösen Positionen gefordert; jede staatliche Aktion, die diese Verbundenheit verletzt, ist zu unterbinden.  
- **Abs. 4** und **Abs. 5** sorgen für die Verwaltung der kirchlichen Standesämter sowie die Anerkennung ihrer politischen Eigenschaft.  
- **Abs. 6** schützt kirchliche und weltanschauliche Organisationen vor staatlichen Eingriffen, schwerer Gewährleistung ihrer Existenz.  

Diese ausführliche Aufteilung spiegelt exakt die aktuelle Formulierung des GG 4 wider.",0.08593750000000001,1302,105,0.00075684,stop,36.01724410057068
