gen,cond,cond_label,score,score_debiased,delta,rank,rank_debiased,relation
GaleneAI/Magistral-Small-2509-FP8-Dynamic,no_rag,No RAG,23.02469135802469,23.02469135802469,0.0,19,19,
Microsoft/Phi-4-mini-instruct,no_rag,No RAG,4.567901234567901,4.567901234567901,0.0,28,28,
Qwen/Qwen3.6-35B-A3B-FP8,no_rag,No RAG,32.34567901234568,29.62962962962963,-2.7160493827160472,12,13,self
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,no_rag,No RAG,22.839506172839506,22.839506172839506,0.0,20,20,
RedHatAI/gemma-4-31B-it-FP8-block,no_rag,No RAG,34.5679012345679,34.5679012345679,0.0,11,10,
anthropic/claude-haiku-4.5,no_rag,No RAG,36.2962962962963,36.2962962962963,0.0,8,7,
deepseek-ai/DeepSeek-V4-Flash,no_rag,No RAG,46.358024691358025,45.4320987654321,-0.9259259259259238,1,1,self
deepseek/deepseek-chat-v3-0324,no_rag,No RAG,28.88888888888889,28.88888888888889,0.0,15,15,vendor
deepseek/deepseek-r1-0528,no_rag,No RAG,35.80246913580247,35.24691358024691,-0.5555555555555571,9,9,vendor
deepseek/deepseek-v3.2,no_rag,No RAG,38.148148148148145,38.02469135802469,-0.12345679012345556,6,5,vendor
google/gemini-2.5-flash-lite,no_rag,No RAG,36.666666666666664,36.666666666666664,0.0,7,6,
ibm-granite/granite-4.1-3b,no_rag,No RAG,7.530864197530864,7.530864197530864,0.0,27,27,
meta-llama/llama-3.1-8b-instruct,no_rag,No RAG,4.444444444444445,4.444444444444445,0.0,29,29,
meta-llama/llama-3.3-70b-instruct,no_rag,No RAG,17.22222222222222,17.22222222222222,0.0,23,23,
meta-llama/llama-4-maverick,no_rag,No RAG,24.814814814814813,24.814814814814813,0.0,17,17,
mistralai/Ministral-3-14B-Reasoning-2512,no_rag,No RAG,8.148148148148149,8.148148148148149,0.0,26,26,
mistralai/Mistral-Medium-3.5-128B,no_rag,No RAG,41.72839506172839,41.72839506172839,0.0,3,2,
mistralai/mistral-large-2512,no_rag,No RAG,41.72839506172839,41.72839506172839,0.0,3,2,
mistralai/mistral-small-3.1-24b-instruct,no_rag,No RAG,0.0,0.0,0.0,30,30,
openai/gpt-4o-mini-2024-07-18,no_rag,No RAG,21.234567901234566,21.11111111111111,-0.12345679012345556,21,21,vendor
openai/gpt-5-mini,no_rag,No RAG,38.333333333333336,35.4320987654321,-2.901234567901234,5,8,family*
openai/gpt-5-nano,no_rag,No RAG,23.45679012345679,23.333333333333332,-0.12345679012345911,18,18,self
openai/gpt-oss-120b,no_rag,No RAG,28.51851851851852,28.395061728395063,-0.12345679012345556,16,16,vendor
qwen/qwen3-235b-a22b-thinking-2507,no_rag,No RAG,30.74074074074074,29.62962962962963,-1.1111111111111107,14,13,vendor
qwen/qwen3-32b,no_rag,No RAG,10.987654320987655,10.987654320987655,0.0,24,24,vendor
qwen/qwen3.5-122b-a10b,no_rag,No RAG,34.93827160493827,34.19753086419753,-0.7407407407407405,10,11,vendor
qwen/qwen3.5-397b-a17b,no_rag,No RAG,43.333333333333336,40.18397322243194,-3.149360110901398,2,4,vendor
qwen3-next-80b-a3b-instruct,no_rag,No RAG,31.604938271604937,30.864197530864196,-0.7407407407407405,13,12,vendor
utter-project/EuroLLM-22B-Instruct-2512,no_rag,No RAG,9.753086419753087,9.753086419753087,0.0,25,25,
windprak/open_steuerllm,no_rag,No RAG,19.567901234567902,19.567901234567902,0.0,22,22,
GaleneAI/Magistral-Small-2509-FP8-Dynamic,law_rag,Law RAG,22.28395061728395,22.28395061728395,0.0,17,17,
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,law_rag,Law RAG,20.246913580246915,20.246913580246915,0.0,20,20,
anthropic/claude-haiku-4.5,law_rag,Law RAG,34.50617283950617,34.50617283950617,0.0,7,7,
deepseek-ai/DeepSeek-V4-Flash,law_rag,Law RAG,42.77777777777778,40.925925925925924,-1.8518518518518547,1,2,self
deepseek/deepseek-chat-v3-0324,law_rag,Law RAG,29.753086419753085,29.62962962962963,-0.12345679012345556,13,12,vendor
deepseek/deepseek-r1-0528,law_rag,Law RAG,33.51851851851852,33.20987654320987,-0.308641975308646,10,10,vendor
deepseek/deepseek-v3.2,law_rag,Law RAG,40.4320987654321,39.50617283950617,-0.9259259259259309,5,4,vendor
google/gemini-2.5-flash-lite,law_rag,Law RAG,34.50617283950617,34.50617283950617,0.0,7,7,
ibm-granite/granite-4.1-3b,law_rag,Law RAG,5.679012345679013,5.679012345679013,0.0,26,26,
meta-llama/llama-3.1-8b-instruct,law_rag,Law RAG,10.617283950617283,10.617283950617283,0.0,24,24,
meta-llama/llama-3.3-70b-instruct,law_rag,Law RAG,16.48148148148148,16.48148148148148,0.0,22,22,
meta-llama/llama-4-maverick,law_rag,Law RAG,24.382716049382715,24.382716049382715,0.0,16,16,
mistralai/Ministral-3-14B-Reasoning-2512,law_rag,Law RAG,7.283950617283951,7.283950617283951,0.0,25,25,
mistralai/Mistral-Medium-3.5-128B,law_rag,Law RAG,41.358024691358025,41.358024691358025,0.0,2,1,
mistralai/mistral-large-2512,law_rag,Law RAG,40.74074074074074,40.74074074074074,0.0,4,3,
openai/gpt-4o-mini-2024-07-18,law_rag,Law RAG,20.555555555555557,20.555555555555557,0.0,19,18,vendor
openai/gpt-5-mini,law_rag,Law RAG,38.333333333333336,36.41975308641975,-1.9135802469135825,6,6,family*
openai/gpt-5-nano,law_rag,Law RAG,20.80246913580247,20.555555555555557,-0.24691358024691112,18,18,self
openai/gpt-oss-120b,law_rag,Law RAG,27.037037037037038,27.037037037037038,0.0,15,15,vendor
qwen/qwen3-235b-a22b-thinking-2507,law_rag,Law RAG,30.061728395061728,29.567901234567902,-0.4938271604938258,12,13,vendor
qwen/qwen3-32b,law_rag,Law RAG,11.481481481481481,11.481481481481481,0.0,23,23,vendor
