index,score,judging_cost,score_Judge (gpt-5-nano),score_Judge (Qwen3.6-35B-A3B-FP8),score_Judge (DeepSeek-V4-Flash),legal_ref_sim,finish_reason,prompt_tokens,time,completion_tokens,total_tokens,total_cost,model,temperature,top_p,score_Judge (qwen3.6-35b-a3b)
0,0.2,0.00517555,0.6,0.5,0.2,0.1333333333333333,stop,1989.0,101.67833065986632,9496.0,11485.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
1,0.1,0.0038702,0.1,0.3,0.1,0.1794871794871795,stop,1575.0,102.59332275390624,9590.0,11165.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
2,0.3,0.0045038,0.6,0.5,0.3,0.2127659574468085,stop,2306.0,108.62136054039,10237.0,12543.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
3,0.2,0.0038468,0.2,0.4,0.2,0.1956521739130435,stop,2779.0,80.25609564781189,7251.0,10030.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
4,0.1,0.0040728,0.3,0.3,0.1,0.1034482758620689,stop,1456.0,88.42680597305298,8086.0,9542.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
5,0.4,0.004699,0.4,0.6,0.4,0.1272727272727272,stop,2367.0,121.1486611366272,11585.0,13952.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
6,0.1,0.0051186,0.4,0.3,0.1,0.1125,stop,2126.0,102.1087384223938,9540.0,11666.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
7,0.3,0.0054908,0.6,0.3,0.3,0.2894736842105263,stop,1924.0,89.56445980072021,8197.0,10121.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
8,0.3,0.005213,0.5,0.4,0.3,0.087719298245614,stop,2504.0,82.7163987159729,7499.0,10003.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
9,0.2,0.00382065,0.3,0.4,0.2,0.1333333333333333,stop,3094.0,94.3889937400818,8714.0,11808.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
10,0.2,0.00412485,0.4,0.3,0.2,0.1724137931034483,stop,1771.0,79.80514979362488,8472.0,10243.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
11,0.3,0.0040179,0.6,0.4,0.3,0.1126760563380281,stop,1851.0,83.03258275985718,8835.0,10686.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
12,0.6,0.0040471,0.8,0.6,0.6,0.25,stop,1628.0,90.64131331443788,9444.0,11072.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
13,0.3,0.0036351,0.4,0.3,0.3,0.0493827160493827,stop,1426.0,108.5715925693512,10920.0,12346.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
14,0.2,0.0040197,0.2,0.4,0.2,0.078125,stop,2187.0,82.26683187484741,8615.0,10802.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
15,0.1,0.00420685,0.2,0.3,0.1,0.1454545454545454,stop,2538.0,87.59394431114197,8906.0,11444.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
16,0.0,0.00471305,0.0,0.3,0.2,0.3142857142857143,stop,2163.0,81.85763478279114,8410.0,10573.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
17,0.3,0.00413285,0.3,0.3,0.3,0.1481481481481481,stop,2236.0,85.66484808921814,8727.0,10963.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
18,0.2,0.0038706,0.4,0.3,0.2,0.0142857142857142,stop,1900.0,94.93016266822816,9302.0,11202.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
19,0.1,0.0050827,0.7,0.3,0.1,0.217391304347826,stop,2875.0,101.74567365646362,9575.0,12450.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
20,0.2,0.0037764,0.4,0.5,0.2,0.2127659574468085,stop,2525.0,108.00546336174013,9127.0,11652.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
21,0.3,0.0045504,0.5,0.5,0.3,0.1886792452830188,stop,2701.0,110.29271173477171,9168.0,11869.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
22,0.1,0.00482,0.6,0.4,0.1,0.0985915492957746,stop,1659.0,109.05796790122986,8963.0,10622.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
