index,model,finish_reason,prompt_tokens,time,completion_tokens,total_tokens,total_cost,temperature,top_p,legal_ref_sim,score_Judge (gpt-oss-120b),score_Judge (qwen3.6-35b-a3b),score_Judge (DeepSeek-V4-Flash-0731)
0,Qwen/Qwen3.6-35B-A3B-FP8,stop,1989.0,101.67833065986632,9496.0,11485.0,0.0,,,0.1875,0.5,0.5,0.4
1,Qwen/Qwen3.6-35B-A3B-FP8,stop,1575.0,102.59332275390624,9590.0,11165.0,0.0,,,0.2,0.2,0.3,0.2
2,Qwen/Qwen3.6-35B-A3B-FP8,stop,2306.0,108.62136054039,10237.0,12543.0,0.0,,,0.1818181818181818,0.4,0.4,0.3
3,Qwen/Qwen3.6-35B-A3B-FP8,stop,2779.0,80.25609564781189,7251.0,10030.0,0.0,,,0.2857142857142857,0.3,0.4,0.3
4,Qwen/Qwen3.6-35B-A3B-FP8,stop,1456.0,88.42680597305298,8086.0,9542.0,0.0,,,0.1481481481481481,0.2,0.3,0.1
5,Qwen/Qwen3.6-35B-A3B-FP8,stop,2367.0,121.1486611366272,11585.0,13952.0,0.0,,,0.1724137931034483,0.5,0.5,0.3
6,Qwen/Qwen3.6-35B-A3B-FP8,stop,2126.0,102.1087384223938,9540.0,11666.0,0.0,,,0.1568627450980392,0.0,0.2,0.2
7,Qwen/Qwen3.6-35B-A3B-FP8,stop,1924.0,89.56445980072021,8197.0,10121.0,0.0,,,,0.3,0.4,0.3
8,Qwen/Qwen3.6-35B-A3B-FP8,stop,2504.0,82.7163987159729,7499.0,10003.0,0.0,,,0.2,0.3,0.4,0.3
9,Qwen/Qwen3.6-35B-A3B-FP8,stop,3094.0,94.3889937400818,8714.0,11808.0,0.0,,,0.0714285714285714,0.5,0.5,0.3
10,Qwen/Qwen3.6-35B-A3B-FP8,stop,1771.0,79.80514979362488,8472.0,10243.0,0.0,,,0.1666666666666666,0.2,0.3,0.2
11,Qwen/Qwen3.6-35B-A3B-FP8,stop,1851.0,83.03258275985718,8835.0,10686.0,0.0,,,0.0909090909090909,0.4,0.4,0.3
12,Qwen/Qwen3.6-35B-A3B-FP8,stop,1628.0,90.64131331443788,9444.0,11072.0,0.0,,,0.1,0.6,0.8,0.4
13,Qwen/Qwen3.6-35B-A3B-FP8,stop,1426.0,108.5715925693512,10920.0,12346.0,0.0,,,0.074074074074074,0.3,0.3,0.2
14,Qwen/Qwen3.6-35B-A3B-FP8,stop,2187.0,82.26683187484741,8615.0,10802.0,0.0,,,0.1379310344827586,0.3,0.3,0.1
15,Qwen/Qwen3.6-35B-A3B-FP8,stop,2538.0,87.59394431114197,8906.0,11444.0,0.0,,,0.32,0.3,0.4,0.2
16,Qwen/Qwen3.6-35B-A3B-FP8,stop,2163.0,81.85763478279114,8410.0,10573.0,0.0,,,0.2727272727272727,0.1,0.4,0.2
17,Qwen/Qwen3.6-35B-A3B-FP8,stop,2236.0,85.66484808921814,8727.0,10963.0,0.0,,,0.1666666666666666,0.4,0.3,0.3
18,Qwen/Qwen3.6-35B-A3B-FP8,stop,1900.0,94.93016266822816,9302.0,11202.0,0.0,,,0.0212765957446808,0.3,0.2,0.2
19,Qwen/Qwen3.6-35B-A3B-FP8,stop,2875.0,101.74567365646362,9575.0,12450.0,0.0,,,0.2608695652173913,0.5,0.3,0.3
20,Qwen/Qwen3.6-35B-A3B-FP8,stop,2525.0,108.00546336174013,9127.0,11652.0,0.0,,,0.1333333333333333,0.4,0.4,0.3
21,Qwen/Qwen3.6-35B-A3B-FP8,stop,2701.0,110.29271173477171,9168.0,11869.0,0.0,,,0.2083333333333333,0.3,0.4,0.2
22,Qwen/Qwen3.6-35B-A3B-FP8,stop,1659.0,109.05796790122986,8963.0,10622.0,0.0,,,0.0857142857142857,0.2,0.3,0.2
23,Qwen/Qwen3.6-35B-A3B-FP8,stop,2630.0,111.4562840461731,9170.0,11800.0,0.0,,,0.0952380952380952,0.2,0.4,0.2
24,Qwen/Qwen3.6-35B-A3B-FP8,stop,1501.0,91.49348187446594,7522.0,9023.0,0.0,,,0.0526315789473684,0.2,0.4,0.3
25,Qwen/Qwen3.6-35B-A3B-FP8,stop,2272.0,120.61196875572205,9942.0,12214.0,0.0,,,0.1,0.2,0.3,0.2
