table,block,row,col,value,bold
1,Retrieval quality (\%),gold-norm recall@$k$,no_rag,,0
1,Retrieval quality (\%),gold-norm recall@$k$,rrf,3.5,0
1,Retrieval quality (\%),gold-norm recall@$k$,rerank,5.33,0
1,Retrieval quality (\%),gold-norm recall@$k$,cite_only,9.04,0
1,Retrieval quality (\%),gold-norm recall@$k$,cite_rrf,9.61,0
1,Retrieval quality (\%),gold-norm recall@$k$,rrf50,8.52,0
1,Retrieval quality (\%),gold-norm recall@$k$,cite_rrf50,16.49,0
1,Retrieval quality (\%),gold-norm recall@$k$,ls_text,6.33,0
1,Retrieval quality (\%),gold-norm recall@$k$,cite_ls_rrf50,23.92,0
1,Retrieval quality (\%),gold-norm recall@$k$,oracle,91.31,0
1,Retrieval quality (\%),state-law recall@$k$,no_rag,,0
1,Retrieval quality (\%),state-law recall@$k$,rrf,4.31,0
1,Retrieval quality (\%),state-law recall@$k$,rerank,6.15,0
1,Retrieval quality (\%),state-law recall@$k$,cite_only,3.26,0
1,Retrieval quality (\%),state-law recall@$k$,cite_rrf,4.31,0
1,Retrieval quality (\%),state-law recall@$k$,rrf50,11.62,0
1,Retrieval quality (\%),state-law recall@$k$,cite_rrf50,12.98,0
1,Retrieval quality (\%),state-law recall@$k$,ls_text,5.17,0
1,Retrieval quality (\%),state-law recall@$k$,cite_ls_rrf50,19.07,0
1,Retrieval quality (\%),state-law recall@$k$,oracle,94.9,0
1,Retrieval quality (\%),cases with a hit@$k$,no_rag,,0
1,Retrieval quality (\%),cases with a hit@$k$,rrf,80.2,0
1,Retrieval quality (\%),cases with a hit@$k$,rerank,95.1,0
1,Retrieval quality (\%),cases with a hit@$k$,cite_only,96.3,0
1,Retrieval quality (\%),cases with a hit@$k$,cite_rrf,98.8,0
1,Retrieval quality (\%),cases with a hit@$k$,rrf50,97.5,0
1,Retrieval quality (\%),cases with a hit@$k$,cite_rrf50,100.0,0
1,Retrieval quality (\%),cases with a hit@$k$,ls_text,90.1,0
1,Retrieval quality (\%),cases with a hit@$k$,cite_ls_rrf50,100.0,0
1,Retrieval quality (\%),cases with a hit@$k$,oracle,100.0,0
1,Essay score (0--100),DeepSeek-V4-Flash,no_rag,43.77,0
1,Essay score (0--100),DeepSeek-V4-Flash,rrf,45.06,0
1,Essay score (0--100),DeepSeek-V4-Flash,rerank,43.83,0
1,Essay score (0--100),DeepSeek-V4-Flash,cite_only,44.44,0
1,Essay score (0--100),DeepSeek-V4-Flash,cite_rrf,42.78,0
1,Essay score (0--100),DeepSeek-V4-Flash,rrf50,44.81,0
1,Essay score (0--100),DeepSeek-V4-Flash,cite_rrf50,43.15,0
1,Essay score (0--100),DeepSeek-V4-Flash,ls_text,42.96,0
1,Essay score (0--100),DeepSeek-V4-Flash,cite_ls_rrf50,47.9,1
1,Essay score (0--100),DeepSeek-V4-Flash,oracle,47.9,1
1,Essay score (0--100),Gemma-4-31B-it,no_rag,32.9,0
1,Essay score (0--100),Gemma-4-31B-it,rrf,33.95,0
1,Essay score (0--100),Gemma-4-31B-it,rerank,33.95,0
1,Essay score (0--100),Gemma-4-31B-it,cite_only,34.94,1
1,Essay score (0--100),Gemma-4-31B-it,cite_rrf,36.3,1
1,Essay score (0--100),Gemma-4-31B-it,rrf50,33.64,0
1,Essay score (0--100),Gemma-4-31B-it,cite_rrf50,35.19,1
