law_book,article,count,content
vwgo,80,427,"(1) Widerspruch und Anfechtungsklage haben aufschiebende Wirkung. Das gilt auch bei rechtsgestaltenden und feststellenden Verwaltungsakten sowie bei Verwaltungsakten mit Doppelwirkung (§ 80a). (2) Die aufschiebende Wirkung entfällt nur  1. bei der Anforderung von öffentlichen Abgaben und Kosten, 2. bei unaufschiebbaren Anordnungen und Maßnahmen von Polizeivollzugsbeamten, 3. in anderen durch Bundesgesetz oder für Landesrecht durch Landesgesetz vorgeschriebenen Fällen, insbesondere für Widersprüche und Klagen Dritter gegen Verwaltungsakte, die Investitionen oder die Schaffung von Arbeitsplätzen betreffen, 3a. für Widersprüche und Klagen Dritter gegen Verwaltungsakte, die die Zulassung von Vorhaben betreffend Bundesverkehrswege und Mobilfunknetze zum Gegenstand haben und die nicht unter Nummer 3 fallen, 4. in den Fällen, in denen die sofortige Vollziehung im öffentlichen Interesse oder im überwiegenden Interesse eines Beteiligten von der Behörde, die den Verwaltungsakt erlassen oder über den Widerspruch zu entscheiden hat, besonders angeordnet wird. Die Länder können auch bestimmen, daß Rechtsbehelfe keine aufschiebende Wirkung haben, soweit sie sich gegen Maßnahmen richten, die in der Verwaltungsvollstreckung durch die Länder nach Bundesrecht getroffen werden. (3) In den Fällen des Absatzes 2 Satz 1 Nummer 4 ist das besondere Interesse an der sofortigen Vollziehung des Verwaltungsakts schriftlich zu begründen. Einer besonderen Begründung bedarf es nicht, wenn die Behörde bei Gefahr im Verzug, insbesondere bei drohenden Nachteilen für Leben, Gesundheit oder Eigentum vorsorglich eine als solche bezeichnete Notstandsmaßnahme im öffentlichen Interesse trifft. (4) Die Behörde, die den Verwaltungsakt erlassen oder über den Widerspruch zu entscheiden hat, kann in den Fällen des Absatzes 2 die Vollziehung aussetzen, soweit nicht bundesgesetzlich etwas anderes bestimmt ist. Bei der Anforderung von öffentlichen Abgaben und Kosten kann sie die Vollziehung auch gegen Sicherheit aussetzen. Die Aussetzung soll bei öffentlichen Abgaben und Kosten erfolgen, wenn ernstliche Zweifel an der Rechtmäßigkeit des angegriffenen Verwaltungsakts bestehen oder wenn die Vollziehung für den Abgaben- oder Kostenpflichtigen eine unbillige, nicht durch überwiegende öffentliche Interessen gebotene Härte zur Folge hätte. (5) Auf Antrag kann das Gericht der Hauptsache die aufschiebende Wirkung in den Fällen des Absatzes 2 Satz 1 Nummer 1 bis 3a ganz oder teilweise anordnen, im Falle des Absatzes 2 Satz 1 Nummer 4 ganz oder teilweise wiederherstellen. Der Antrag ist schon vor Erhebung der Anfechtungsklage zulässig. Ist der Verwaltungsakt im Zeitpunkt der Entscheidung schon vollzogen, so kann das Gericht die Aufhebung der Vollziehung anordnen. Die Wiederherstellung der aufschiebenden Wirkung kann von der Leistung einer Sicherheit oder von anderen Auflagen abhängig gemacht werden. Sie kann auch befristet werden. (6) In den Fällen des Absatzes 2 Satz 1 Nummer 1 ist der Antrag nach Absatz 5 nur zulässig, wenn die Behörde einen Antrag auf Aussetzung der Vollziehung ganz oder zum Teil abgelehnt hat. Das gilt nicht, wenn  1. die Behörde über den Antrag ohne Mitteilung eines zureichenden Grundes in angemessener Frist sachlich nicht entschieden hat oder 2. eine Vollstreckung droht. (7) Das Gericht der Hauptsache kann Beschlüsse über Anträge nach Absatz 5 jederzeit ändern oder aufheben. Jeder Beteiligte kann die Änderung oder Aufhebung wegen veränderter oder im ursprünglichen Verfahren ohne Verschulden nicht geltend gemachter Umstände beantragen. (8) In dringenden Fällen kann der Vorsitzende entscheiden."
baugb,35,274,"(1) Im Außenbereich ist ein Vorhaben nur zulässig, wenn öffentliche Belange nicht entgegenstehen, die ausreichende Erschließung gesichert ist und wenn es  1. einem land- oder forstwirtschaftlichen Betrieb dient und nur einen untergeordneten Teil der Betriebsfläche einnimmt, 2. einem Betrieb der gartenbaulichen Erzeugung dient, 3. der öffentlichen Versorgung mit Elektrizität, Gas, Telekommunikationsdienstleistungen, Wärme und Wasser, der Abwasserwirtschaft oder einem ortsgebundenen gewerblichen Betrieb dient, 4. wegen seiner besonderen Anforderungen an die Umgebung, wegen seiner nachteiligen Wirkung auf die Umgebung oder wegen seiner besonderen Zweckbestimmung nur im Außenbereich ausgeführt werden soll, es sei denn, es handelt sich um die Errichtung, Änderung oder Erweiterung einer baulichen Anlage zur Tierhaltung, die dem Anwendungsbereich der Nummer 1 nicht unterfällt und die einer Pflicht zur Durchführung einer standortbezogenen oder allgemeinen Vorprüfung oder einer Umweltverträglichkeitsprüfung nach dem Gesetz über die Umweltverträglichkeitsprüfung unterliegt, wobei bei kumulierenden Vorhaben für die Annahme eines engen Zusammenhangs diejenigen Tierhaltungsanlagen zu berücksichtigen sind, die auf demselben Betriebs- oder Baugelände liegen und mit gemeinsamen betrieblichen oder baulichen Einrichtungen verbunden sind, 5. der Erforschung, Entwicklung oder Nutzung der Windenergie nach Maßgabe des § 249 oder der Erforschung, Entwicklung oder Nutzung der geothermischen Energie oder der Wasserenergie dient, 6. der energetischen Nutzung von Biomasse im Rahmen eines Betriebs nach Nummer 1 oder 2 oder eines Betriebs nach Nummer 4, der Tierhaltung betreibt, sowie dem Anschluss solcher Anlagen an das öffentliche Versorgungsnetz dient, unter folgenden Voraussetzungen: a) das Vorhaben steht in einem räumlich-funktionalen Zusammenhang mit dem Betrieb, b) die Biomasse stammt überwiegend aus dem Betrieb oder überwiegend aus diesem und aus nahe gelegenen Betrieben nach den Nummern 1, 2 oder 4, soweit letzterer Tierhaltung betreibt, c) es wird je Hofstelle oder Betriebsstandort nur eine Anlage betrieben und d) die Kapazität einer Anlage zur Erzeugung von Biogas überschreitet nicht 2,3 Millionen Normkubikmeter Biogas pro Jahr, die Feuerungswärmeleistung anderer Anlagen überschreitet nicht 2,0 Megawatt, 7. der Erforschung, Entwicklung oder Nutzung der Kernenergie zu friedlichen Zwecken oder der Entsorgung radioaktiver Abfälle dient, mit Ausnahme der Neuerrichtung von Anlagen zur Spaltung von Kernbrennstoffen zur gewerblichen Erzeugung von Elektrizität, 8. der Nutzung solarer Strahlungsenergie dient  a) in, an und auf Dach- und Außenwandflächen von zulässigerweise genutzten Gebäuden, wenn die Anlage dem Gebäude baulich untergeordnet ist, oder b) auf einer Fläche längs von  aa) Autobahnen oder bb) Schienenwegen des übergeordneten Netzes im Sinne des § 2b des Allgemeinen Eisenbahngesetzes mit mindestens zwei Hauptgleisen und in einer Entfernung zu diesen von bis zu 200 Metern, gemessen vom äußeren Rand der Fahrbahn, 9. der Nutzung solarer Strahlungsenergie durch besondere Solaranlagen im Sinne des § 48 Absatz 1 Satz 1 Nummer 5 Buchstabe a, b oder c des Erneuerbare-Energien-Gesetzes dient, unter folgenden Voraussetzungen:  a) das Vorhaben steht in einem räumlich-funktionalen Zusammenhang mit einem Betrieb nach Nummer 1 oder 2, b) die Grundfläche der besonderen Solaranlage überschreitet nicht 25 000 Quadratmeter und c) es wird je Hofstelle oder Betriebsstandort nur eine Anlage betrieben, 10. der untertägigen Speicherung von Wärme dient und das Vorhaben in einem räumlich-funktionalen Zusammenhang mit Wärmequellen und Wärmesenken steht, 11. der Speicherung von elektrischer Energie in einer Batteriespeicheranlage dient und das Vorhaben in einem räumlich-funktionalen Zusammenhang mit einer vorhandenen Anlage zur Nutzung erneuerbarer Energien steht oder 12. der Speicherung von elektrischer Energie in einer nicht unter Nummer 11 fallenden Batteriespeicheranlage dient, unter folgenden Voraussetzungen:  a) das Vorhaben steht in einer Entfernung von höchstens 200 Metern zu der Grundstücksgrenze einer Umspannanlage von Höchstspannung zu Hochspannung oder von Hochspannung zu Mittelspannung oder zu der Grundstücksgrenze eines in Betrieb befindlichen oder aufgegebenen Kraftwerks mit einer Nennleistung ab 50 Megawatt und b) die Batteriespeicheranlage verfügt über eine Nennleistung von mindestens 4 Megawatt und c) die von allen nach dieser Nummer zugelassenen Batteriespeicheranlagen einschließlich der zugehörigen Nebenanlagen und Freiflächen insgesamt in Anspruch genommene Gesamtfläche in derselben Gemeinde überschreitet nicht 0,5 Prozent der Gemeindefläche und beträgt höchstens 50 000 Quadratmeter. (2) Sonstige Vorhaben können im Einzelfall zugelassen werden, wenn ihre Ausführung oder Benutzung öffentliche Belange nicht beeinträchtigt und die Erschließung gesichert ist. (3) Eine Beeinträchtigung öffentlicher Belange liegt insbesondere vor, wenn das Vorhaben  1. den Darstellungen des Flächennutzungsplans widerspricht, 2. den Darstellungen eines Landschaftsplans oder sonstigen Plans, insbesondere des Wasser-, Abfall- oder Immissionsschutzrechts, widerspricht, 3. schädliche Umwelteinwirkungen hervorrufen kann oder ihnen ausgesetzt wird, 4. unwirtschaftliche Aufwendungen für Straßen oder andere Verkehrseinrichtungen, für Anlagen der Versorgung oder Entsorgung, für die Sicherheit oder Gesundheit oder für sonstige Aufgaben erfordert, 5. Belange des Naturschutzes und der Landschaftspflege, des Bodenschutzes, des Denkmalschutzes oder die natürliche Eigenart der Landschaft und ihren Erholungswert beeinträchtigt oder das Orts- und Landschaftsbild verunstaltet, 6. Maßnahmen zur Verbesserung der Agrarstruktur beeinträchtigt, die Wasserwirtschaft oder den Hochwasserschutz gefährdet, 7. die Entstehung, Verfestigung oder Erweiterung einer Splittersiedlung befürchten lässt oder 8. die Funktionsfähigkeit von Funkstellen und Radaranlagen stört. Raumbedeutsame Vorhaben dürfen den Zielen der Raumordnung nicht widersprechen; öffentliche Belange stehen raumbedeutsamen Vorhaben nach Absatz 1 nicht entgegen, soweit die Belange bei der Darstellung dieser Vorhaben als Ziele der Raumordnung abgewogen worden sind. Öffentliche Belange stehen einem Vorhaben nach Absatz 1 Nummer 2 bis 6 in der Regel auch dann entgegen, soweit hierfür durch Darstellungen im Flächennutzungsplan oder als Ziele der Raumordnung eine Ausweisung an anderer Stelle erfolgt ist. (4) Den nachfolgend bezeichneten sonstigen Vorhaben im Sinne des Absatzes 2 kann nicht entgegengehalten werden, dass sie Darstellungen des Flächennutzungsplans oder eines Landschaftsplans widersprechen, die natürliche Eigenart der Landschaft beeinträchtigen oder die Entstehung, Verfestigung oder Erweiterung einer Splittersiedlung befürchten lassen, soweit sie im Übrigen außenbereichsverträglich im Sinne des Absatzes 3 sind:  1. die Änderung der bisherigen Nutzung eines Gebäudes, das unter den Voraussetzungen des Absatzes 1 Nummer 1 errichtet wurde, unter folgenden Voraussetzungen:  a) das Vorhaben dient einer zweckmäßigen Verwendung erhaltenswerter Bausubstanz, b) die äußere Gestalt des Gebäudes bleibt im Wesentlichen gewahrt, c) die Aufgabe der bisherigen Nutzung liegt nicht länger als sieben Jahre zurück, d) das Gebäude ist vor mehr als sieben Jahren zulässigerweise errichtet worden, e) das Gebäude steht im räumlich-funktionalen Zusammenhang mit der Hofstelle des land- oder forstwirtschaftlichen Betriebs, f) im Falle der Änderung zu Wohnzwecken entstehen neben den bisher nach Absatz 1 Nummer 1 zulässigen Wohnungen höchstens fünf Wohnungen je Hofstelle und g) es wird eine Verpflichtung übernommen, keine Neubebauung als Ersatz für die aufgegebene Nutzung vorzunehmen, es sei denn, die Neubebauung wird im Interesse der Entwicklung des Betriebs im Sinne des Absatzes 1 Nummer 1 erforderlich, 2. die Neuerrichtung eines gleichartigen Wohngebäudes an gleicher Stelle unter folgenden Voraussetzungen:  a) das vorhandene Gebäude ist zulässigerweise errichtet worden, b) das vorhandene Gebäude weist Missstände oder Mängel auf, c) das vorhandene Gebäude wurde oder wird seit längerer Zeit vom Eigentümer selbst genutzt und d) Tatsachen rechtfertigen die Annahme, dass das neu errichtete Gebäude für den Eigenbedarf des bisherigen Eigentümers oder seiner Familie genutzt wird; hat der Eigentümer das vorhandene Gebäude im Wege der Erbfolge von einem Voreigentümer erworben, der es seit längerer Zeit selbst genutzt hat, reicht es aus, wenn Tatsachen die Annahme rechtfertigen, dass das neu errichtete Gebäude für den Eigenbedarf des Eigentümers oder seiner Familie genutzt wird, 3. die alsbaldige Neuerrichtung eines zulässigerweise errichteten, durch Brand, Naturereignisse oder andere außergewöhnliche Ereignisse zerstörten, gleichartigen Gebäudes an gleicher Stelle, 4. die Änderung oder Nutzungsänderung von erhaltenswerten, das Bild der Kulturlandschaft prägenden Gebäuden, auch wenn sie aufgegeben sind, wenn das Vorhaben einer zweckmäßigen Verwendung der Gebäude und der Erhaltung des Gestaltwerts dient, 5. die Erweiterung eines Wohngebäudes auf bis zu höchstens zwei Wohnungen unter folgenden Voraussetzungen:  a) das Gebäude ist zulässigerweise errichtet worden, b) die Erweiterung ist im Verhältnis zum vorhandenen Gebäude und unter Berücksichtigung der Wohnbedürfnisse angemessen und c) bei der Errichtung einer weiteren Wohnung rechtfertigen Tatsachen die Annahme, dass das Gebäude vom bisherigen Eigentümer oder seiner Familie selbst genutzt wird, 6. die bauliche Erweiterung eines zulässigerweise errichteten gewerblichen Betriebs, wenn die Erweiterung im Verhältnis zum vorhandenen Gebäude und Betrieb angemessen ist. In begründeten Einzelfällen gilt die Rechtsfolge des Satzes 1 auch für die Neuerrichtung eines Gebäudes im Sinne des Absatzes 1 Nummer 1, dem eine andere Nutzung zugewiesen werden soll, wenn das ursprüngliche Gebäude vom äußeren Erscheinungsbild auch zur Wahrung der Kulturlandschaft erhaltenswert ist, keine stärkere Belastung des Außenbereichs zu erwarten ist als in Fällen des Satzes 1 und die Neuerrichtung auch mit nachbarlichen Interessen vereinbar ist; Satz 1 Nummer 1 Buchstabe b bis g gilt entsprechend. In den Fällen des Satzes 1 Nummer 2 und 3 sowie des Satzes 2 sind geringfügige Erweiterungen des neuen Gebäudes gegenüber dem beseitigten oder zerstörten Gebäude sowie geringfügige Abweichungen vom bisherigen Standort des Gebäudes zulässig. (5) Die nach den Absätzen 1 bis 4 zulässigen Vorhaben sind in einer flächensparenden, die Bodenversiegelung auf das notwendige Maß begrenzenden und den Außenbereich schonenden Weise auszuführen. Für Vorhaben nach Absatz 1 Nummer 2 bis 6, 8 Buchstabe b und Nummer 9 bis 12 ist als weitere Zulässigkeitsvoraussetzung eine Verpflichtungserklärung abzugeben, das Vorhaben nach dauerhafter Aufgabe der zulässigen Nutzung zurückzubauen und Bodenversiegelungen zu beseitigen; bei einer nach Absatz 1 Nummer 2 bis 6, 8 Buchstabe b und Nummer 9 bis 12 zulässigen Nutzungsänderung ist die Rückbauverpflichtung zu übernehmen, bei einer nach Absatz 1 Nummer 1 oder Absatz 2 zulässigen Nutzungsänderung entfällt sie. Die Baugenehmigungsbehörde soll durch nach Landesrecht vorgesehene Baulast oder in anderer Weise die Einhaltung der Verpflichtung nach Satz 2 sowie nach Absatz 4 Satz 1 Nummer 1 Buchstabe g sicherstellen. Im Übrigen soll sie in den Fällen des Absatzes 4 Satz 1 sicherstellen, dass die bauliche oder sonstige Anlage nach Durchführung des Vorhabens nur in der vorgesehenen Art genutzt wird. (6) Die Gemeinde kann für bebaute Bereiche im Außenbereich, die nicht überwiegend landwirtschaftlich geprägt sind und in denen eine Wohnbebauung von einigem Gewicht vorhanden ist, durch Satzung bestimmen, dass Wohnzwecken dienenden Vorhaben im Sinne des Absatzes 2 nicht entgegengehalten werden kann, dass sie einer Darstellung im Flächennutzungsplan über Flächen für die Landwirtschaft oder Wald widersprechen oder die Entstehung oder Verfestigung einer Splittersiedlung befürchten lassen. Die Satzung kann auch auf Vorhaben erstreckt werden, die kleineren Handwerks- und Gewerbebetrieben dienen. In der Satzung können nähere Bestimmungen über die Zulässigkeit getroffen werden. Voraussetzung für die Aufstellung der Satzung ist, dass  1. sie mit einer geordneten städtebaulichen Entwicklung vereinbar ist, 2. die Zulässigkeit von Vorhaben, die einer Pflicht zur Durchführung einer Umweltverträglichkeitsprüfung nach Anlage 1 zum Gesetz über die Umweltverträglichkeitsprüfung oder nach Landesrecht unterliegen, nicht begründet wird und 3. keine Anhaltspunkte für eine Beeinträchtigung der in § 1 Absatz 6 Nummer 7 Buchstabe b genannten Schutzgüter oder dafür bestehen, dass bei der Planung Pflichten zur Vermeidung oder Begrenzung der Auswirkungen von schweren Unfällen nach § 50 Satz 1 des Bundes-Immissionsschutzgesetzes zu beachten sind. Bei Aufstellung der Satzung sind die Vorschriften über die Öffentlichkeits- und Behördenbeteiligung nach § 13 Absatz 2 Satz 1 Nummer 2 und 3 sowie Satz 2 entsprechend anzuwenden. § 10 Absatz 3 ist entsprechend anzuwenden. Von der Satzung bleibt die Anwendung des Absatzes 4 unberührt."
vwgo,42,214,"(1) Durch Klage kann die Aufhebung eines Verwaltungsakts (Anfechtungsklage) sowie die Verurteilung zum Erlaß eines abgelehnten oder unterlassenen Verwaltungsakts (Verpflichtungsklage) begehrt werden. (2) Soweit gesetzlich nichts anderes bestimmt ist, ist die Klage nur zulässig, wenn der Kläger geltend macht, durch den Verwaltungsakt oder seine Ablehnung oder Unterlassung in seinen Rechten verletzt zu sein."
gg,2,169,"(1) Jeder hat das Recht auf die freie Entfaltung seiner Persönlichkeit, soweit er nicht die Rechte anderer verletzt und nicht gegen die verfassungsmäßige Ordnung oder das Sittengesetz verstößt. (2) Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unverletzlich. In diese Rechte darf nur auf Grund eines Gesetzes eingegriffen werden."
vwgo,62,158,"(1) Fähig zur Vornahme von Verfahrenshandlungen sind  1. die nach bürgerlichem Recht Geschäftsfähigen, 2. die nach bürgerlichem Recht in der Geschäftsfähigkeit Beschränkten, soweit sie durch Vorschriften des bürgerlichen oder öffentlichen Rechts für den Gegenstand des Verfahrens als geschäftsfähig anerkannt sind. (2) Betrifft ein Einwilligungsvorbehalt nach § 1825 des Bürgerlichen Gesetzbuchs den Gegenstand des Verfahrens, so ist ein geschäftsfähiger Betreuter nur insoweit zur Vornahme von Verfahrenshandlungen fähig, als er nach den Vorschriften des bürgerlichen Rechts ohne Einwilligung des Betreuers handeln kann oder durch Vorschriften des öffentlichen Rechts als handlungsfähig anerkannt ist. (3) Für Vereinigungen sowie für Behörden handeln ihre gesetzlichen Vertreter und Vorstände. (4) §§ 53 bis 58 der Zivilprozeßordnung gelten entsprechend."
vwgo,61,152,"Fähig, am Verfahren beteiligt zu sein, sind  1. natürliche und juristische Personen, 2. Vereinigungen, soweit ihnen ein Recht zustehen kann, 3. Behörden, sofern das Landesrecht dies bestimmt."
vwgo,113,149,"(1) Soweit der Verwaltungsakt rechtswidrig und der Kläger dadurch in seinen Rechten verletzt ist, hebt das Gericht den Verwaltungsakt und den etwaigen Widerspruchsbescheid auf. Ist der Verwaltungsakt schon vollzogen, so kann das Gericht auf Antrag auch aussprechen, daß und wie die Verwaltungsbehörde die Vollziehung rückgängig zu machen hat. Dieser Ausspruch ist nur zulässig, wenn die Behörde dazu in der Lage und diese Frage spruchreif ist. Hat sich der Verwaltungsakt vorher durch Zurücknahme oder anders erledigt, so spricht das Gericht auf Antrag durch Urteil aus, daß der Verwaltungsakt rechtswidrig gewesen ist, wenn der Kläger ein berechtigtes Interesse an dieser Feststellung hat. (2) Begehrt der Kläger die Änderung eines Verwaltungsakts, der einen Geldbetrag festsetzt oder eine darauf bezogene Feststellung trifft, kann das Gericht den Betrag in anderer Höhe festsetzen oder die Feststellung durch eine andere ersetzen. Erfordert die Ermittlung des festzusetzenden oder festzustellenden Betrags einen nicht unerheblichen Aufwand, kann das Gericht die Änderung des Verwaltungsakts durch Angabe der zu Unrecht berücksichtigten oder nicht berücksichtigten tatsächlichen oder rechtlichen Verhältnisse so bestimmen, daß die Behörde den Betrag auf Grund der Entscheidung errechnen kann. Die Behörde teilt den Beteiligten das Ergebnis der Neuberechnung unverzüglich formlos mit; nach Rechtskraft der Entscheidung ist der Verwaltungsakt mit dem geänderten Inhalt neu bekanntzugeben. (3) Hält das Gericht eine weitere Sachaufklärung für erforderlich, kann es, ohne in der Sache selbst zu entscheiden, den Verwaltungsakt und den Widerspruchsbescheid aufheben, soweit nach Art oder Umfang die noch erforderlichen Ermittlungen erheblich sind und die Aufhebung auch unter Berücksichtigung der Belange der Beteiligten sachdienlich ist. Auf Antrag kann das Gericht bis zum Erlaß des neuen Verwaltungsakts eine einstweilige Regelung treffen, insbesondere bestimmen, daß Sicherheiten geleistet werden oder ganz oder zum Teil bestehen bleiben und Leistungen zunächst nicht zurückgewährt werden müssen. Der Beschluß kann jederzeit geändert oder aufgehoben werden. Eine Entscheidung nach Satz 1 kann nur binnen sechs Monaten seit Eingang der Akten der Behörde bei Gericht ergehen. (4) Kann neben der Aufhebung eines Verwaltungsakts eine Leistung verlangt werden, so ist im gleichen Verfahren auch die Verurteilung zur Leistung zulässig. (5) Soweit die Ablehnung oder Unterlassung des Verwaltungsakts rechtswidrig und der Kläger dadurch in seinen Rechten verletzt ist, spricht das Gericht die Verpflichtung der Verwaltungsbehörde aus, die beantragte Amtshandlung vorzunehmen, wenn die Sache spruchreif ist. Andernfalls spricht es die Verpflichtung aus, den Kläger unter Beachtung der Rechtsauffassung des Gerichts zu bescheiden."
gg,14,147,"(1) Das Eigentum und das Erbrecht werden gewährleistet. Inhalt und Schranken werden durch die Gesetze bestimmt. (2) Eigentum verpflichtet. Sein Gebrauch soll zugleich dem Wohle der Allgemeinheit dienen. (3) Eine Enteignung ist nur zum Wohle der Allgemeinheit zulässig. Sie darf nur durch Gesetz oder auf Grund eines Gesetzes erfolgen, das Art und Ausmaß der Entschädigung regelt. Die Entschädigung ist unter gerechter Abwägung der Interessen der Allgemeinheit und der Beteiligten zu bestimmen. Wegen der Höhe der Entschädigung steht im Streitfalle der Rechtsweg vor den ordentlichen Gerichten offen."
baugb,34,146,"(1) Innerhalb der im Zusammenhang bebauten Ortsteile ist ein Vorhaben zulässig, wenn es sich nach Art und Maß der baulichen Nutzung, der Bauweise und der Grundstücksfläche, die überbaut werden soll, in die Eigenart der näheren Umgebung einfügt und die Erschließung gesichert ist. Die Anforderungen an gesunde Wohn- und Arbeitsverhältnisse müssen gewahrt bleiben; das Ortsbild darf nicht beeinträchtigt werden. (2) Entspricht die Eigenart der näheren Umgebung einem der Baugebiete, die in der auf Grund des § 9a erlassenen Verordnung bezeichnet sind, beurteilt sich die Zulässigkeit des Vorhabens nach seiner Art allein danach, ob es nach der Verordnung in dem Baugebiet allgemein zulässig wäre; auf die nach der Verordnung ausnahmsweise zulässigen Vorhaben ist § 31 Absatz 1, im Übrigen ist § 31 Absatz 2 und 3 Satz 1 über die Befreiung entsprechend anzuwenden. (3) Von Vorhaben nach Absatz 1 oder 2 dürfen keine schädlichen Auswirkungen auf zentrale Versorgungsbereiche in der Gemeinde oder in anderen Gemeinden zu erwarten sein. (3a) Vom Erfordernis des Einfügens in die Eigenart der näheren Umgebung nach Absatz 1 Satz 1 kann im Einzelfall abgewichen werden, wenn die Abweichung  1. einem der nachfolgend genannten Vorhaben dient:  a) der Erweiterung, Änderung, Nutzungsänderung oder Erneuerung eines zulässigerweise errichteten Gewerbe- oder Handwerksbetriebs, b) der Erweiterung, Änderung oder Erneuerung zulässigerweise errichteter Gebäude, wenn hierdurch neue Wohnungen geschaffen oder vorhandener Wohnraum wieder nutzbar wird, oder c) der Nutzungsänderung einer zulässigerweise errichteten baulichen Anlage zu Wohnzwecken, einschließlich einer erforderlichen Änderung oder Erneuerung, 2. städtebaulich vertretbar ist und 3. auch unter Würdigung nachbarlicher Interessen mit den öffentlichen Belangen vereinbar ist. Satz 1 findet keine Anwendung auf Einzelhandelsbetriebe, die die verbrauchernahe Versorgung der Bevölkerung beeinträchtigen oder schädliche Auswirkungen auf zentrale Versorgungsbereiche in der Gemeinde oder in anderen Gemeinden haben können. In den Fällen des Satzes 1 Nummer 1 Buchstabe b und c kann darüber hinaus vom Erfordernis des Einfügens im Einzelfall im Sinne des Satzes 1 in mehreren vergleichbaren Fällen abgewichen werden, wenn die übrigen Voraussetzungen des Satzes 1 vorliegen und die Aufstellung eines Bebauungsplans nicht erforderlich ist. (3b) Mit Zustimmung der Gemeinde kann im Einzelfall oder in mehreren vergleichbaren Fällen vom Erfordernis des Einfügens in die nähere Umgebung abgewichen werden, wenn das Vorhaben der Errichtung eines Wohngebäudes dient und auch unter Würdigung nachbarlicher Interessen mit den öffentlichen Belangen vereinbar ist. (4) Die Gemeinde kann durch Satzung  1. die Grenzen für im Zusammenhang bebaute Ortsteile festlegen, 2. bebaute Bereiche im Außenbereich als im Zusammenhang bebaute Ortsteile festlegen, wenn die Flächen im Flächennutzungsplan als Baufläche dargestellt sind, 3. einzelne Außenbereichsflächen in die im Zusammenhang bebauten Ortsteile einbeziehen, wenn die einbezogenen Flächen durch die bauliche Nutzung des angrenzenden Bereichs entsprechend geprägt sind. Die Satzungen können miteinander verbunden werden. (5) Voraussetzung für die Aufstellung von Satzungen nach Absatz 4 Satz 1 Nummer 2 und 3 ist, dass  1. sie mit einer geordneten städtebaulichen Entwicklung vereinbar sind, 2. die Zulässigkeit von Vorhaben, die einer Pflicht zur Durchführung einer Umweltverträglichkeitsprüfung nach Anlage 1 zum Gesetz über die Umweltverträglichkeitsprüfung oder nach Landesrecht unterliegen, nicht begründet wird und 3. keine Anhaltspunkte für eine Beeinträchtigung der in § 1 Absatz 6 Nummer 7 Buchstabe b genannten Schutzgüter oder dafür bestehen, dass bei der Planung Pflichten zur Vermeidung oder Begrenzung der Auswirkungen von schweren Unfällen nach § 50 Satz 1 des Bundes-Immissionsschutzgesetzes zu beachten sind. In den Satzungen nach Absatz 4 Satz 1 Nummer 2 und 3 können einzelne Festsetzungen nach § 9 Absatz 1 und 3 Satz 1 sowie Absatz 4 getroffen werden. § 9 Absatz 6 und § 31 sind entsprechend anzuwenden. Auf die Satzung nach Absatz 4 Satz 1 Nummer 3 sind ergänzend § 1a Absatz 2 und 3 und § 9 Absatz 1a entsprechend anzuwenden; ihr ist eine Begründung mit den Angaben entsprechend § 2a Satz 2 Nummer 1 beizufügen. (6) Bei der Aufstellung der Satzungen nach Absatz 4 Satz 1 Nummer 2 und 3 sind die Vorschriften über die Öffentlichkeits- und Behördenbeteiligung nach § 13 Absatz 2 Satz 1 Nummer 2 und 3 sowie Satz 2 entsprechend anzuwenden. Auf die Satzungen nach Absatz 4 Satz 1 Nummer 1 bis 3 ist § 10 Absatz 3 entsprechend anzuwenden."
vwgo,40,139,"(1) Der Verwaltungsrechtsweg ist in allen öffentlich-rechtlichen Streitigkeiten nichtverfassungsrechtlicher Art gegeben, soweit die Streitigkeiten nicht durch Bundesgesetz einem anderen Gericht ausdrücklich zugewiesen sind. Öffentlich-rechtliche Streitigkeiten auf dem Gebiet des Landesrechts können einem anderen Gericht auch durch Landesgesetz zugewiesen werden. (2) Für vermögensrechtliche Ansprüche aus Aufopferung für das gemeine Wohl und aus öffentlich-rechtlicher Verwahrung sowie für Schadensersatzansprüche aus der Verletzung öffentlich-rechtlicher Pflichten, die nicht auf einem öffentlich-rechtlichen Vertrag beruhen, ist der ordentliche Rechtsweg gegeben; dies gilt nicht für Streitigkeiten über das Bestehen und die Höhe eines Ausgleichsanspruchs im Rahmen des Artikels 14 Abs. 1 Satz 2 des Grundgesetzes. Die besonderen Vorschriften des Beamtenrechts sowie über den Rechtsweg bei Ausgleich von Vermögensnachteilen wegen Rücknahme rechtswidriger Verwaltungsakte bleiben unberührt."
