index,score,judging_cost,score_Judge (qwen3.6-35b-a3b),legal_ref_sim,prompt_tokens,completion_tokens,total_tokens,total_cost,time,temperature,top_p,finish_reason,model
0,0.5,0.00880072,0.5,0.11594202898550725,13188.0,4875.0,18063.0,0.00528138,93.09202551841736,1.0,0.95,stop,deepseek/deepseek-v3.2
1,0.5,0.0124272,0.5,0.18421052631578946,2709.0,12903.0,15612.0,0.00473262075,336.26865577697754,1.0,0.95,stop,deepseek/deepseek-v3.2
2,0.6,0.00849415,0.6,0.22727272727272727,19666.0,5533.0,25199.0,0.0072157,87.92266774177551,1.0,0.95,stop,deepseek/deepseek-v3.2
3,0.5,0.009643689,0.5,0.22448979591836735,4355.0,5398.0,9753.0,0.002670954,142.90150904655457,1.0,0.95,stop,deepseek/deepseek-v3.2
4,0.5,0.00838623,0.5,0.12,3434.0,11087.0,14521.0,0.0051059,289.58346128463745,1.0,0.95,stop,deepseek/deepseek-v3.2
5,0.3,0.00707578,0.3,0.1509433962264151,11744.0,10375.0,22119.0,0.00699594,176.6221797466278,1.0,0.95,stop,deepseek/deepseek-v3.2
6,0.5,0.010531,0.5,0.08823529411764706,17525.0,11385.0,28910.0,0.0060569712,170.62669229507446,1.0,0.95,stop,deepseek/deepseek-v3.2
7,0.6,0.00748178,0.6,0.3055555555555556,3706.0,6754.0,10460.0,0.00353008,247.7048189640045,1.0,0.95,stop,deepseek/deepseek-v3.2
8,0.3,0.0077048,0.3,0.08333333333333333,16670.0,7398.0,24068.0,0.00714544,115.33979415893556,1.0,0.95,stop,deepseek/deepseek-v3.2
9,0.3,0.00702363,0.3,0.19047619047619047,8932.0,4952.0,13884.0,0.00420408,92.88195776939392,1.0,0.95,stop,deepseek/deepseek-v3.2
10,0.4,0.00910022,0.4,0.20689655172413793,5013.0,4875.0,9888.0,0.00314756,308.91443371772766,1.0,0.95,stop,deepseek/deepseek-v3.2
