model,endpoint,dataset,law_book,article,query,target,answer,score,completion_tokens,prompt_tokens,total_cost,finish_reason,time
RedHatAI/gemma-4-31B-it-FP8-block,nhr_fau,GPBam Laws,gg,2,gg 2,"(1) Jeder hat das Recht auf die freie Entfaltung seiner Persönlichkeit, soweit er nicht die Rechte anderer verletzt und nicht gegen die verfassungsmäßige Ordnung oder das Sittengesetz verstößt. (2) Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unverletzlich. In diese Rechte darf nur auf Grund eines Gesetzes eingegriffen werden.","**Artikel 2**

(1) Jeder hat das Recht auf freie Entfaltung seiner Persönlichkeit, soweit er nicht die Rechte anderer verletzt. Diese Freiheit wird durch die im Grundgesetz bestimmten Schranken begrenzt.

(2) Jeder hat das Recht auf Leben und körperliche Unversehrtheit.
Die Freiheit der Person ist unverletzlich. Eine Einschränkung dieser Freiheit darf nur auf Grund eines Gesetzes und in den Fällen geschehen, die in einem Gesetz bestimmt sind.",0.6511627906976744,531,94,,stop,12.06297254562378
RedHatAI/gemma-4-31B-it-FP8-block,nhr_fau,GPBam Laws,gg,14,gg 14,"(1) Das Eigentum und das Erbrecht werden gewährleistet. Inhalt und Schranken werden durch die Gesetze bestimmt. (2) Eigentum verpflichtet. Sein Gebrauch soll zugleich dem Wohle der Allgemeinheit dienen. (3) Eine Enteignung ist nur zum Wohle der Allgemeinheit zulässig. Sie darf nur durch Gesetz oder auf Grund eines Gesetzes erfolgen, das Art und Ausmaß der Entschädigung regelt. Die Entschädigung ist unter gerechter Abwägung der Interessen der Allgemeinheit und der Beteiligten zu bestimmen. Wegen der Höhe der Entschädigung steht im Streitfalle der Rechtsweg vor den ordentlichen Gerichten offen.","**Art. 14 Grundgesetz (GG)**

(1) Das Eigentum und das Erbrecht werden gewährleistet. Ihr Inhalt und ihre Schranken werden durch die Gesetze bestimmt.

(2) Eigentum verpflichtet. Sein Gebrauch soll zugleich dem Wohle der Allgemeinheit dienen.

(3) Enteignungen sind nur zum Wohle der Allgemeinheit zulässig. Sie dürfen nur durch Gesetz oder aufgrund eines Gesetzes mit Entschädigung erfolgen.

(4) Land, das für landwirtschaftliche Zwecke enteignet wird, darf nur an Landwirte gegeben werden.",0.5508982035928145,433,95,,stop,9.708575010299683
RedHatAI/gemma-4-31B-it-FP8-block,nhr_fau,GPBam Laws,gg,12,gg 12,"(1) Alle Deutschen haben das Recht, Beruf, Arbeitsplatz und Ausbildungsstätte frei zu wählen. Die Berufsausübung kann durch Gesetz oder auf Grund eines Gesetzes geregelt werden. (2) Niemand darf zu einer bestimmten Arbeit gezwungen werden, außer im Rahmen einer herkömmlichen allgemeinen, für alle gleichen öffentlichen Dienstleistungspflicht. (3) Zwangsarbeit ist nur bei einer gerichtlich angeordneten Freiheitsentziehung zulässig.","**Artikel 12 Grundgesetz (GG)**

(1) Alle Deutschen haben das Recht, Beruf, Arbeitsplatz und Ausbildungsstätte frei zu wählen.

(2) Dieses Recht kann nur durch Gesetz oder aufgrund eines Gesetzes beschränkt werden.",0.46315789473684216,241,95,,stop,5.365289211273193
RedHatAI/gemma-4-31B-it-FP8-block,nhr_fau,GPBam Laws,gg,5,gg 5,"(1) Jeder hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten und sich aus allgemein zugänglichen Quellen ungehindert zu unterrichten. Die Pressefreiheit und die Freiheit der Berichterstattung durch Rundfunk und Film werden gewährleistet. Eine Zensur findet nicht statt. (2) Diese Rechte finden ihre Schranken in den Vorschriften der allgemeinen Gesetze, den gesetzlichen Bestimmungen zum Schutze der Jugend und in dem Recht der persönlichen Ehre. (3) Kunst und Wissenschaft, Forschung und Lehre sind frei. Die Freiheit der Lehre entbindet nicht von der Treue zur Verfassung.","**Artikel 5 Grundgesetz (GG)**

(1) Jedermann hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten sowie sich aus allgemein zugänglichen Quellen ungehindert zu unterrichten. Eine Zensur findet nicht statt.

(2) Diese Freiheit wird durch die allgemeinen Gesetze, die besonderen Gesetze zum Schutze der Jugend und des persönlichen Ehrenschutzes beschränkt.

(3) Kunst und Wissenschaft, Forschung und Lehre sind frei.",0.6341463414634145,430,94,,stop,9.637139081954956
RedHatAI/gemma-4-31B-it-FP8-block,nhr_fau,GPBam Laws,gg,20,gg 20,"(1) Die Bundesrepublik Deutschland ist ein demokratischer und sozialer Bundesstaat. (2) Alle Staatsgewalt geht vom Volke aus. Sie wird vom Volke in Wahlen und Abstimmungen und durch besondere Organe der Gesetzgebung, der vollziehenden Gewalt und der Rechtsprechung ausgeübt. (3) Die Gesetzgebung ist an die verfassungsmäßige Ordnung, die vollziehende Gewalt und die Rechtsprechung sind an Gesetz und Recht gebunden. (4) Gegen jeden, der es unternimmt, diese Ordnung zu beseitigen, haben alle Deutschen das Recht zum Widerstand, wenn andere Abhilfe nicht möglich ist.","**Artikel 20 Grundgesetz**

(1) Die Bundesrepublik Deutschland ist eine demokratische und soziale Bundesrepublik. Es ist eine republikanische, demokratische, soziale Bundesstaat. Alle Staatsgewalt geht vom Volke aus. Sie wird in Wahlen und Abstimmungen sowie durch besondere Organe der Gesetzgebung, der vollziehenden Gewalt und der Rechtsprechung ausgeübt.

(2) Deutschland ist ein demokratischer und sozialer Bundesstaat.

(3) Die Gesetzgebung ist an die verfassungsmäßige Ordnung, die vollziehende Gewalt und die Rechtsprechung sind an Gesetz und Recht gebunden.

(4) Gegen jedermann, der es unternimmt, diese verfassungsmäßige Ordnung zu beseitigen, haben alle Deutschen das Recht zum Widerstand, wenn andere Abhilfe nicht möglich ist.",0.8216216216216216,441,95,,stop,9.89141058921814
RedHatAI/gemma-4-31B-it-FP8-block,nhr_fau,GPBam Laws,gg,3,gg 3,"(1) Alle Menschen sind vor dem Gesetz gleich. (2) Männer und Frauen sind gleichberechtigt. Der Staat fördert die tatsächliche Durchsetzung der Gleichberechtigung von Frauen und Männern und wirkt auf die Beseitigung bestehender Nachteile hin. (3) Niemand darf wegen seines Geschlechtes, seiner Abstammung, seiner Rasse, seiner Sprache, seiner Heimat und Herkunft, seines Glaubens, seiner religiösen oder politischen Anschauungen benachteiligt oder bevorzugt werden. Niemand darf wegen seiner Behinderung benachteiligt werden.","**Art. 3 Grundgesetz (GG)**

(1) Alle Menschen sind vor dem Gesetz gleich.

(2) Niemand darf wegen seines Geschlechtes benachteiligt oder bevorzugt werden.

(3) Niemand darf wegen seines Geschlechtes, seiner Abstammung, seiner Rasse, seiner Sprache, seiner Heimat und Herkunft, seines Glaubens, religiösen oder politischen Standpunkts oder seiner Behinderung benachteiligt oder bevorzugt werden.

(4) Eine mögliche Benachteiligung oder Bevorzugung wegen des Geschlechtes kann zur Beseitigung bestehender Nachteile vermittelt werden.

(5) Die Pflege besonderer Fürsorge für Menschen mit Behinderungen ist staatliche Pflicht.",0.4743589743589744,489,94,,stop,11.034283876419067
RedHatAI/gemma-4-31B-it-FP8-block,nhr_fau,GPBam Laws,gg,8,gg 8,"(1) Alle Deutschen haben das Recht, sich ohne Anmeldung oder Erlaubnis friedlich und ohne Waffen zu versammeln. (2) Für Versammlungen unter freiem Himmel kann dieses Recht durch Gesetz oder auf Grund eines Gesetzes beschränkt werden.","Art 8 GG

(1) Alle Deutschen haben das Recht, sich ohne Anmeldung oder Erlaubnis friedlich und ohne Waffen zu versammeln.

(2) Für Versammlungen unter freiem Himmel kann dieses Recht durch Gesetz oder aufgrund eines Gesetzes beschränkt werden.",0.9210526315789475,274,94,,stop,6.090942621231079
RedHatAI/gemma-4-31B-it-FP8-block,nhr_fau,GPBam Laws,gg,19,gg 19,"(1) Soweit nach diesem Grundgesetz ein Grundrecht durch Gesetz oder auf Grund eines Gesetzes eingeschränkt werden kann, muß das Gesetz allgemein und nicht nur für den Einzelfall gelten. Außerdem muß das Gesetz das Grundrecht unter Angabe des Artikels nennen. (2) In keinem Falle darf ein Grundrecht in seinem Wesensgehalt angetastet werden. (3) Die Grundrechte gelten auch für inländische juristische Personen, soweit sie ihrem Wesen nach auf diese anwendbar sind. (4) Wird jemand durch die öffentliche Gewalt in seinen Rechten verletzt, so steht ihm der Rechtsweg offen. Soweit eine andere Zuständigkeit nicht begründet ist, ist der ordentliche Rechtsweg gegeben. Artikel 10 Abs. 2 Satz 2 bleibt unberührt.","Art. 19 GG
Zur Wahrung seiner Rechte kann jeder Einzelne den ordentlichen Klageweg ergreifen.",0.03125,236,95,,stop,5.269931793212891
RedHatAI/gemma-4-31B-it-FP8-block,nhr_fau,GPBam Laws,gg,34,gg 34,"Verletzt jemand in Ausübung eines ihm anvertrauten öffentlichen Amtes die ihm einem Dritten gegenüber obliegende Amtspflicht, so trifft die Verantwortlichkeit grundsätzlich den Staat oder die Körperschaft, in deren Dienst er steht. Bei Vorsatz oder grober Fahrlässigkeit bleibt der Rückgriff vorbehalten. Für den Anspruch auf Schadensersatz und für den Rückgriff darf der ordentliche Rechtsweg nicht ausgeschlossen werden.","Art. 34 GG:
Die Ausgaben des Bundes werden im Bundeshaushalt festgesetzt.",0.052631578947368425,244,95,,stop,5.422490119934082
RedHatAI/gemma-4-31B-it-FP8-block,nhr_fau,GPBam Laws,gg,4,gg 4,"(1) Die Freiheit des Glaubens, des Gewissens und die Freiheit des religiösen und weltanschaulichen Bekenntnisses sind unverletzlich. (2) Die ungestörte Religionsausübung wird gewährleistet. (3) Niemand darf gegen sein Gewissen zum Kriegsdienst mit der Waffe gezwungen werden. Das Nähere regelt ein Bundesgesetz.","**Art. 4**

(1) Die Glaubens-, Gewissens- und Bekenntnisfreiheit, einschließlich der Freiheit, seine Religion oder Weltanschauung zu ändern und die Freiheit, seine religiösen oder weltanschaulichen Überzeugungen privat oder öffentlich zu bekennen, sind unantastbar.

(2) Die religiösen Gesellschaften sind gleichberechtigt. Die Pflege des religiösen Lebens ist staatlich gewährleistet.

(3) Die religiösen Gesellschaften haben das Recht, Schulen und Bildungseinrichtungen zu errichten und zu unterhalten.

(4) Die religiösen Gesellschaften können Körperschaften des öffentlichen Rechts werden.",0.2698412698412698,697,94,,stop,15.853686571121216
